
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.440]   Hot
[00:00:00.440 --> 00:00:00.510]   hot
[00:00:00.510 --> 00:00:00.750]   hot
[00:00:00.750 --> 00:00:01.250]   hot
[00:00:01.250 --> 00:00:01.320]   hot
[00:00:01.320 --> 00:00:01.500]   hot
[00:00:01.500 --> 00:00:01.910]   hot
[00:00:01.910 --> 00:00:02.000]   hot
[00:00:02.000 --> 00:00:02.250]   hot
[00:00:02.250 --> 00:00:02.500]   hot
[00:00:02.500 --> 00:00:02.760]   hot
[00:00:02.760 --> 00:00:03.000]   hot
[00:00:03.000 --> 00:00:03.250]   hot
[00:00:03.250 --> 00:00:03.750]   hot
[00:00:03.750 --> 00:00:03.770]   hot
[00:00:03.770 --> 00:00:04.060]   get
[00:00:04.060 --> 00:00:04.330]   that
[00:00:04.330 --> 00:00:04.840]   monkey
[00:00:04.840 --> 00:00:06.300]   Welcome
[00:00:06.300 --> 00:00:06.720]   to
[00:00:06.720 --> 00:00:08.180]   episode
[00:00:08.180 --> 00:00:09.430]   80
[00:00:09.430 --> 00:00:09.850]   of
[00:00:09.850 --> 00:00:11.310]   texting
[00:00:11.310 --> 00:00:12.560]   hosted
[00:00:12.560 --> 00:00:12.980]   by
[00:00:12.980 --> 00:00:14.230]   myself
[00:00:14.230 --> 00:00:15.480]   Justin
[00:00:15.480 --> 00:00:16.940]   Vincent
[00:00:16.940 --> 00:00:17.560]   and
[00:00:17.560 --> 00:00:18.600]   Jason
[00:00:18.600 --> 00:00:20.060]   Roberts
[00:00:20.060 --> 00:00:21.520]   morning
[00:00:21.520 --> 00:00:22.560]   Jason
[00:00:22.560 --> 00:00:23.180]  .
[00:00:23.180 --> 00:00:23.800]   How
[00:00:23.800 --> 00:00:24.410]   you
[00:00:24.410 --> 00:00:25.460]   doing
[00:00:25.460 --> 00:00:26.200]  ?
[00:00:26.200 --> 00:00:26.250]   I
[00:00:26.250 --> 00:00:26.620]  'm
[00:00:26.620 --> 00:00:26.700]   doing
[00:00:26.700 --> 00:00:27.040]   great
[00:00:27.040 --> 00:00:27.040]  
[00:00:27.040 --> 00:00:27.200]   How
[00:00:27.200 --> 00:00:27.360]   you
[00:00:27.360 --> 00:00:27.640]   doing
[00:00:27.640 --> 00:00:28.020]  ?
[00:00:28.020 --> 00:00:28.030]   Yeah
[00:00:28.030 --> 00:00:28.130]  ,
[00:00:28.130 --> 00:00:28.460]   pretty
[00:00:28.460 --> 00:00:28.680]   good
[00:00:28.680 --> 00:00:28.840]  .
[00:00:28.840 --> 00:00:28.950]   It
[00:00:28.950 --> 00:00:29.060]  's
[00:00:29.060 --> 00:00:29.110]   a
[00:00:29.110 --> 00:00:29.330]   very
[00:00:29.330 --> 00:00:29.550]   very
[00:00:29.550 --> 00:00:29.770]   nice
[00:00:29.770 --> 00:00:29.930]   and
[00:00:29.930 --> 00:00:30.220]   sunny
[00:00:30.220 --> 00:00:30.600]   morning
[00:00:30.600 --> 00:00:30.820]   over
[00:00:30.820 --> 00:00:31.040]   here
[00:00:31.040 --> 00:00:31.150]   in
[00:00:31.150 --> 00:00:31.260]   Gl
[00:00:31.260 --> 00:00:31.420]  end
[00:00:31.420 --> 00:00:31.700]  ale
[00:00:31.700 --> 00:00:31.810]   Oh
[00:00:31.810 --> 00:00:31.940]  ,
[00:00:31.940 --> 00:00:32.200]   we
[00:00:32.200 --> 00:00:32.240]   don
[00:00:32.240 --> 00:00:32.360]  't
[00:00:32.360 --> 00:00:32.600]   have
[00:00:32.600 --> 00:00:32.840]   some
[00:00:32.840 --> 00:00:32.960]   we
[00:00:32.960 --> 00:00:33.140]  're
[00:00:33.140 --> 00:00:33.460]   rough
[00:00:33.460 --> 00:00:33.800]   what
[00:00:33.800 --> 00:00:34.060]   10
[00:00:34.060 --> 00:00:34.270]   miles
[00:00:34.270 --> 00:00:34.490]   from
[00:00:34.490 --> 00:00:34.640]   you
[00:00:34.640 --> 00:00:34.740]   in
[00:00:34.740 --> 00:00:34.900]   Pas
[00:00:34.900 --> 00:00:35.020]  ad
[00:00:35.020 --> 00:00:35.200]  ena
[00:00:35.200 --> 00:00:35.380]   And
[00:00:35.380 --> 00:00:35.520]   we
[00:00:35.520 --> 00:00:35.680]   don
[00:00:35.680 --> 00:00:35.800]  't
[00:00:35.800 --> 00:00:36.170]   really
[00:00:36.170 --> 00:00:36.420]   have
[00:00:36.420 --> 00:00:36.670]   much
[00:00:36.670 --> 00:00:36.850]   Sun
[00:00:36.850 --> 00:00:37.080]   yet
[00:00:37.080 --> 00:00:37.210]  ,
[00:00:37.210 --> 00:00:37.340]   but
[00:00:37.340 --> 00:00:37.490]   at
[00:00:37.490 --> 00:00:37.710]   least
[00:00:37.710 --> 00:00:37.810]   we
[00:00:37.810 --> 00:00:37.970]  're
[00:00:37.970 --> 00:00:38.220]   past
[00:00:38.220 --> 00:00:38.280]   I
[00:00:38.280 --> 00:00:38.570]   think
[00:00:38.570 --> 00:00:38.750]   the
[00:00:38.750 --> 00:00:39.040]   rainy
[00:00:39.040 --> 00:00:39.210]   the
[00:00:39.210 --> 00:00:39.510]   rainy
[00:00:39.510 --> 00:00:39.780]   week
[00:00:39.780 --> 00:00:40.000]   You
[00:00:40.000 --> 00:00:40.470]   you
[00:00:40.470 --> 00:00:40.550]   were
[00:00:40.550 --> 00:00:40.860]   just
[00:00:40.860 --> 00:00:41.170]   like
[00:00:41.170 --> 00:00:41.240]   a
[00:00:41.240 --> 00:00:41.630]   glass
[00:00:41.630 --> 00:00:41.780]   is
[00:00:41.780 --> 00:00:42.090]   half
[00:00:42.090 --> 00:00:42.480]   empty
[00:00:42.480 --> 00:00:42.790]   kind
[00:00:42.790 --> 00:00:42.960]   of
[00:00:42.960 --> 00:00:43.240]   guy
[00:00:43.240 --> 00:00:43.410]  .
[00:00:43.410 --> 00:00:43.580]   The
[00:00:43.580 --> 00:00:43.870]   cloud
[00:00:43.870 --> 00:00:44.090]   is
[00:00:44.090 --> 00:00:44.210]   just
[00:00:44.210 --> 00:00:44.940]   specifically
[00:00:44.940 --> 00:00:45.360]   hovering
[00:00:45.360 --> 00:00:45.590]   over
[00:00:45.590 --> 00:00:45.800]   you
[00:00:45.800 --> 00:00:46.200]   It
[00:00:46.200 --> 00:00:46.600]  's
[00:00:46.600 --> 00:00:47.200]   not
[00:00:47.200 --> 00:00:48.210]   sunny
[00:00:48.210 --> 00:00:49.040]   here
[00:00:49.040 --> 00:00:49.130]  .
[00:00:49.130 --> 00:00:49.170]   It
[00:00:49.170 --> 00:00:49.220]  's
[00:00:49.220 --> 00:00:49.380]   just
[00:00:49.380 --> 00:00:49.380]   it
[00:00:49.380 --> 00:00:49.450]  's
[00:00:49.450 --> 00:00:49.510]   it
[00:00:49.510 --> 00:00:49.600]  's
[00:00:49.600 --> 00:00:49.820]   it
[00:00:49.820 --> 00:00:50.040]  's
[00:00:50.040 --> 00:00:50.610]   partly
[00:00:50.610 --> 00:00:51.000]   cloudy
[00:00:51.000 --> 00:00:51.130]  .
[00:00:51.130 --> 00:00:51.170]   I
[00:00:51.170 --> 00:00:51.300]   don
[00:00:51.300 --> 00:00:51.390]  't
[00:00:51.390 --> 00:00:51.600]   know
[00:00:51.600 --> 00:00:51.800]  .
[00:00:51.800 --> 00:00:51.960]   It
[00:00:51.960 --> 00:00:51.990]  's
[00:00:51.990 --> 00:00:52.220]   fine
[00:00:52.220 --> 00:00:52.390]   for
[00:00:52.390 --> 00:00:52.520]   me
[00:00:52.520 --> 00:00:52.520]  
[00:00:52.520 --> 00:00:52.690]   As
[00:00:52.690 --> 00:00:53.020]   long
[00:00:53.020 --> 00:00:53.200]   as
[00:00:53.200 --> 00:00:53.540]   this
[00:00:53.540 --> 00:00:53.740]   is
[00:00:53.740 --> 00:00:54.010]   not
[00:00:54.010 --> 00:00:54.310]   that
[00:00:54.310 --> 00:00:54.930]   that
[00:00:54.930 --> 00:00:54.990]   omin
[00:00:54.990 --> 00:00:55.480]  ous
[00:00:55.480 --> 00:00:55.590]   dark
[00:00:55.590 --> 00:00:56.020]   rainy
[00:00:56.020 --> 00:00:56.280]   sky
[00:00:56.280 --> 00:00:56.800]   thing
[00:00:56.800 --> 00:00:56.890]   we
[00:00:56.890 --> 00:00:57.020]  've
[00:00:57.020 --> 00:00:57.150]   had
[00:00:57.150 --> 00:00:57.370]   going
[00:00:57.370 --> 00:00:57.460]   on
[00:00:57.460 --> 00:00:57.640]   for
[00:00:57.640 --> 00:00:57.720]   the
[00:00:57.720 --> 00:00:57.900]   last
[00:00:57.900 --> 00:00:58.120]   week
[00:00:58.120 --> 00:00:58.320]   That
[00:00:58.320 --> 00:00:58.420]  's
[00:00:58.420 --> 00:00:58.690]   that
[00:00:58.690 --> 00:00:58.770]   was
[00:00:58.770 --> 00:00:58.970]   cool
[00:00:58.970 --> 00:00:59.120]   for
[00:00:59.120 --> 00:00:59.340]   like
[00:00:59.340 --> 00:00:59.370]   a
[00:00:59.370 --> 00:00:59.520]   day
[00:00:59.520 --> 00:00:59.620]   or
[00:00:59.620 --> 00:00:59.770]   two
[00:00:59.770 --> 00:00:59.920]   and
[00:00:59.920 --> 00:01:00.020]   it
[00:01:00.020 --> 00:01:00.220]   just
[00:01:00.220 --> 00:01:00.420]   gets
[00:01:00.420 --> 00:01:00.620]   kind
[00:01:00.620 --> 00:01:00.720]   of
[00:01:00.720 --> 00:01:00.960]   old
[00:01:00.960 --> 00:01:01.160]   So
[00:01:01.160 --> 00:01:01.350]  ,
[00:01:01.350 --> 00:01:01.660]   you
[00:01:01.660 --> 00:01:02.220]   know
[00:01:02.220 --> 00:01:02.360]   one
[00:01:02.360 --> 00:01:02.860]   thing
[00:01:02.860 --> 00:01:02.960]   I
[00:01:02.960 --> 00:01:03.360]   want
[00:01:03.360 --> 00:01:03.560]   to
[00:01:03.560 --> 00:01:04.100]   start
[00:01:04.100 --> 00:01:04.360]   out
[00:01:04.360 --> 00:01:04.560]   is
[00:01:04.560 --> 00:01:04.960]   talk
[00:01:04.960 --> 00:01:05.760]   about
[00:01:05.760 --> 00:01:05.770]   our
[00:01:05.770 --> 00:01:06.360]   coffee
[00:01:06.360 --> 00:01:06.760]   with
[00:01:06.760 --> 00:01:07.060]   Rob
[00:01:07.060 --> 00:01:07.500]   Wall
[00:01:07.500 --> 00:01:07.840]  ing
[00:01:07.840 --> 00:01:08.550]   Yeah
[00:01:08.550 --> 00:01:08.580]  ,
[00:01:08.580 --> 00:01:09.180]   sure
[00:01:09.180 --> 00:01:09.250]  .
[00:01:09.250 --> 00:01:09.270]   It
[00:01:09.270 --> 00:01:09.360]  's
[00:01:09.360 --> 00:01:09.460]   go
[00:01:09.460 --> 00:01:09.590]  .
[00:01:09.590 --> 00:01:09.780]   That
[00:01:09.780 --> 00:01:09.920]   was
[00:01:09.920 --> 00:01:10.320]   awesome
[00:01:10.320 --> 00:01:11.070]   meeting
[00:01:11.070 --> 00:01:11.400]   Rob
[00:01:11.400 --> 00:01:11.570]   Well
[00:01:11.570 --> 00:01:11.830]  ,
[00:01:11.830 --> 00:01:11.960]   it
[00:01:11.960 --> 00:01:12.350]   was
[00:01:12.350 --> 00:01:12.680]   awesome
[00:01:12.680 --> 00:01:13.180]   meeting
[00:01:13.180 --> 00:01:13.440]   Rob
[00:01:13.440 --> 00:01:13.650]   But
[00:01:13.650 --> 00:01:13.860]   the
[00:01:13.860 --> 00:01:14.070]   one
[00:01:14.070 --> 00:01:14.420]   thing
[00:01:14.420 --> 00:01:14.490]   I
[00:01:14.490 --> 00:01:14.700]   was
[00:01:14.700 --> 00:01:15.050]   gonna
[00:01:15.050 --> 00:01:15.260]   say
[00:01:15.260 --> 00:01:15.440]   is
[00:01:15.440 --> 00:01:15.980]   that
[00:01:15.980 --> 00:01:16.040]   when
[00:01:16.040 --> 00:01:16.260]   Rob
[00:01:16.260 --> 00:01:16.790]   listens
[00:01:16.790 --> 00:01:16.940]   to
[00:01:16.940 --> 00:01:17.240]   our
[00:01:17.240 --> 00:01:17.720]   podcast
[00:01:17.720 --> 00:01:17.900]   he
[00:01:17.900 --> 00:01:18.090]   he
[00:01:18.090 --> 00:01:18.440]   told
[00:01:18.440 --> 00:01:18.640]   us
[00:01:18.640 --> 00:01:18.960]   over
[00:01:18.960 --> 00:01:19.440]   coffee
[00:01:19.440 --> 00:01:20.000]   That
[00:01:20.000 --> 00:01:20.010]   he
[00:01:20.010 --> 00:01:20.580]   double
