
[00:00:00.000 --> 00:00:00.080]  
[00:00:00.080 --> 00:00:00.720]   Jing
[00:00:00.720 --> 00:00:01.080]  le
[00:00:01.080 --> 00:00:02.000]   bells
[00:00:02.000 --> 00:00:02.230]  ,
[00:00:02.230 --> 00:00:02.920]   jingle
[00:00:02.920 --> 00:00:03.500]   bells
[00:00:03.500 --> 00:00:03.910]  ,
[00:00:03.910 --> 00:00:05.140]   jingle
[00:00:05.140 --> 00:00:05.750]   all
[00:00:05.750 --> 00:00:06.360]   the
[00:00:06.360 --> 00:00:07.000]   way
[00:00:07.000 --> 00:00:07.000]  .
[00:00:07.000 --> 00:00:07.280]   Oh
[00:00:07.280 --> 00:00:07.560]  ,
[00:00:07.560 --> 00:00:08.130]   what
[00:00:08.130 --> 00:00:08.550]   fun
[00:00:08.550 --> 00:00:08.830]   it
[00:00:08.830 --> 00:00:09.110]   is
[00:00:09.110 --> 00:00:09.390]   to
[00:00:09.390 --> 00:00:10.000]   ride
[00:00:10.000 --> 00:00:10.210]   in
[00:00:10.210 --> 00:00:10.310]   a
[00:00:10.310 --> 00:00:10.630]   one
[00:00:10.630 --> 00:00:10.730]  -
[00:00:10.730 --> 00:00:11.280]  horse
[00:00:11.280 --> 00:00:12.360]   open
[00:00:12.360 --> 00:00:13.170]   sle
[00:00:13.170 --> 00:00:14.000]  igh
[00:00:14.000 --> 00:00:14.000]  .
[00:00:14.000 --> 00:00:14.470]   Bull
[00:00:14.470 --> 00:00:14.970]  ocks
[00:00:14.970 --> 00:00:15.160]   to
[00:00:15.160 --> 00:00:15.720]   that
[00:00:15.720 --> 00:00:16.000]  !
[00:00:16.000 --> 00:00:25.280]   Generation
[00:00:25.280 --> 00:00:29.000]   Zero
[00:00:29.000 --> 00:00:29.000]  !
[00:00:29.000 --> 00:00:29.000]   Generation
[00:00:29.000 --> 00:00:29.000]   Zero
[00:00:29.000 --> 00:00:29.000]  !
[00:00:29.000 --> 00:00:29.000]   Generation
[00:00:29.000 --> 00:00:29.000]   Zero
[00:00:29.000 --> 00:00:29.000]  !
[00:00:29.000 --> 00:00:29.000]   Generation
[00:00:29.000 --> 00:00:29.000]   Zero
[00:00:29.000 --> 00:00:29.000]  !
[00:00:29.000 --> 00:00:29.000]  
[00:00:29.000 --> 00:00:29.430]   Welcome
[00:00:29.430 --> 00:00:29.550]   to
[00:00:29.550 --> 00:00:29.980]   episode
[00:00:29.980 --> 00:00:30.350]   95
[00:00:30.350 --> 00:00:30.470]   of
[00:00:30.470 --> 00:00:30.720]   Tech
[00:00:30.720 --> 00:00:30.780]  S
[00:00:30.780 --> 00:00:31.000]  ing
[00:00:31.000 --> 00:00:31.240]  ,
[00:00:31.240 --> 00:00:32.000]   hosted
[00:00:32.000 --> 00:00:32.080]   by
[00:00:32.080 --> 00:00:32.340]   myself
[00:00:32.340 --> 00:00:32.420]  ,
[00:00:32.420 --> 00:00:32.690]   Justin
[00:00:32.690 --> 00:00:33.000]   Vincent
[00:00:33.000 --> 00:00:33.290]  ,
[00:00:33.290 --> 00:00:33.760]   and
[00:00:33.760 --> 00:00:34.120]   Jason
[00:00:34.120 --> 00:00:34.990]   Roberts
[00:00:34.990 --> 00:00:35.000]  .
[00:00:35.000 --> 00:00:35.180]   Hey
[00:00:35.180 --> 00:00:35.290]   Jason
[00:00:35.290 --> 00:00:35.330]  ,
[00:00:35.330 --> 00:00:35.430]   how
[00:00:35.430 --> 00:00:35.530]   you
[00:00:35.530 --> 00:00:35.700]   doing
[00:00:35.700 --> 00:00:35.870]   today
[00:00:35.870 --> 00:00:36.000]  ?
[00:00:36.000 --> 00:00:36.060]   I
[00:00:36.060 --> 00:00:36.240]  'm
[00:00:36.240 --> 00:00:36.530]   doing
[00:00:36.530 --> 00:00:36.870]   great
[00:00:36.870 --> 00:00:37.000]  ,
[00:00:37.000 --> 00:00:37.200]   how
[00:00:37.200 --> 00:00:37.400]   you
[00:00:37.400 --> 00:00:38.000]   doing
[00:00:38.000 --> 00:00:38.000]  ?
[00:00:38.000 --> 00:00:38.170]   Not
[00:00:38.170 --> 00:00:38.340]   bad
[00:00:38.340 --> 00:00:38.660]   for
[00:00:38.660 --> 00:00:38.680]   8
[00:00:38.680 --> 00:00:38.730]   o
[00:00:38.730 --> 00:00:38.780]  '
[00:00:38.780 --> 00:00:39.110]  clock
[00:00:39.110 --> 00:00:39.170]   on
[00:00:39.170 --> 00:00:39.220]   a
[00:00:39.220 --> 00:00:39.560]   Monday
[00:00:39.560 --> 00:00:40.000]   evening
[00:00:40.000 --> 00:00:40.390]  ,
[00:00:40.390 --> 00:00:41.010]   and
[00:00:41.010 --> 00:00:41.120]   I
[00:00:41.120 --> 00:00:41.150]  'll
[00:00:41.150 --> 00:00:41.250]   tell
[00:00:41.250 --> 00:00:41.330]   you
[00:00:41.330 --> 00:00:41.450]   what
[00:00:41.450 --> 00:00:41.510]  ,
[00:00:41.510 --> 00:00:41.660]   the
[00:00:41.660 --> 00:00:41.820]   weather
[00:00:41.820 --> 00:00:42.000]   here
[00:00:42.000 --> 00:00:42.140]   is
[00:00:42.140 --> 00:00:43.000]   unbelievable
[00:00:43.000 --> 00:00:43.000]  .
[00:00:43.000 --> 00:00:43.060]   I
[00:00:43.060 --> 00:00:43.360]   mean
[00:00:43.360 --> 00:00:43.430]  ,
[00:00:43.430 --> 00:00:43.550]   it
[00:00:43.550 --> 00:00:43.860]   makes
[00:00:43.860 --> 00:00:44.230]   London
[00:00:44.230 --> 00:00:44.480]   look
[00:00:44.480 --> 00:00:44.780]   sunny
[00:00:44.780 --> 00:00:45.000]  .
[00:00:45.000 --> 00:00:45.360]   Yeah
[00:00:45.360 --> 00:00:45.390]  ,
[00:00:45.390 --> 00:00:45.520]   it
[00:00:45.520 --> 00:00:45.650]  's
[00:00:45.650 --> 00:00:45.910]   like
[00:00:45.910 --> 00:00:46.110]   mon
[00:00:46.110 --> 00:00:46.370]  soon
[00:00:46.370 --> 00:00:46.760]   season
[00:00:46.760 --> 00:00:47.000]  .
[00:00:47.000 --> 00:00:47.340]   What
[00:00:47.340 --> 00:00:47.490]   the
[00:00:47.490 --> 00:00:47.770]   hell
[00:00:47.770 --> 00:00:48.030]  ?
[00:00:48.030 --> 00:00:48.240]   Like
[00:00:48.240 --> 00:00:48.360]  ,
[00:00:48.360 --> 00:00:48.480]   it
[00:00:48.480 --> 00:00:48.600]  's
[00:00:48.600 --> 00:00:48.840]   been
