
[00:00:00.000 --> 00:00:00.200]  
[00:00:00.200 --> 00:00:00.790]   Join
[00:00:00.790 --> 00:00:01.100]   myself
[00:00:01.100 --> 00:00:01.460]   and
[00:00:01.460 --> 00:00:01.990]   Jason
[00:00:01.990 --> 00:00:02.130]   at
[00:00:02.130 --> 00:00:02.450]   Micro
[00:00:02.450 --> 00:00:02.720]  Conf
[00:00:02.720 --> 00:00:03.760]   2011
[00:00:03.760 --> 00:00:04.500]   June
[00:00:04.500 --> 00:00:04.740]   6
[00:00:04.740 --> 00:00:05.160]   and
[00:00:05.160 --> 00:00:05.600]   7
[00:00:05.600 --> 00:00:05.790]   in
[00:00:05.790 --> 00:00:06.070]   Las
[00:00:06.070 --> 00:00:06.750]   Vegas
[00:00:06.750 --> 00:00:07.000]  .
[00:00:07.000 --> 00:00:07.500]   For
[00:00:07.500 --> 00:00:07.600]   more
[00:00:07.600 --> 00:00:08.390]   information
[00:00:08.390 --> 00:00:08.540]   go
[00:00:08.540 --> 00:00:08.680]   to
[00:00:08.680 --> 00:00:09.040]   micro
[00:00:09.040 --> 00:00:09.330]  conf
[00:00:09.330 --> 00:00:09.540]  .
[00:00:09.540 --> 00:00:09.800]  com
[00:00:09.800 --> 00:00:10.070]   and
[00:00:10.070 --> 00:00:10.520]   enter
[00:00:10.520 --> 00:00:10.700]   in
[00:00:10.700 --> 00:00:10.790]   "
[00:00:10.790 --> 00:00:10.880]  T
[00:00:10.880 --> 00:00:11.060]  ek
[00:00:11.060 --> 00:00:11.420]  zing
[00:00:11.420 --> 00:00:11.520]  "
[00:00:11.520 --> 00:00:11.720]   to
[00:00:11.720 --> 00:00:12.020]   get
[00:00:12.020 --> 00:00:12.120]   $
[00:00:12.120 --> 00:00:13.040]  100
[00:00:13.040 --> 00:00:13.160]   off
[00:00:13.160 --> 00:00:13.200]   a
[00:00:13.200 --> 00:00:15.600]   ticket
[00:00:15.600 --> 00:00:15.600]  .
[00:00:27.440 --> 00:00:27.440]  
[00:00:27.440 --> 00:00:28.010]   Welcome
[00:00:28.010 --> 00:00:28.170]   to
[00:00:28.170 --> 00:00:28.740]   episode
[00:00:28.740 --> 00:00:29.230]   12
[00:00:29.230 --> 00:00:29.470]  6
[00:00:29.470 --> 00:00:29.620]   of
[00:00:29.620 --> 00:00:29.870]   Tek
[00:00:29.870 --> 00:00:30.240]  zing
[00:00:30.240 --> 00:00:30.310]  ,
[00:00:30.310 --> 00:00:30.570]   hosted
[00:00:30.570 --> 00:00:30.680]   by
[00:00:30.680 --> 00:00:31.040]   myself
[00:00:31.040 --> 00:00:31.100]  ,
[00:00:31.100 --> 00:00:31.360]   Justin
[00:00:31.360 --> 00:00:31.760]   Vincent
[00:00:31.760 --> 00:00:31.920]   and
