
[00:00:00.000 --> 00:00:00.140]  
[00:00:00.140 --> 00:00:13.130]   Music
[00:00:13.130 --> 00:00:21.000]  .
[00:00:21.000 --> 00:00:21.000]  
[00:00:21.000 --> 00:00:21.480]   Welcome
[00:00:21.480 --> 00:00:21.610]   to
[00:00:21.610 --> 00:00:22.090]   episode
[00:00:22.090 --> 00:00:22.490]   14
[00:00:22.490 --> 00:00:22.700]  6
[00:00:22.700 --> 00:00:22.830]   of
[00:00:22.830 --> 00:00:23.030]   Tex
[00:00:23.030 --> 00:00:23.230]  ing
[00:00:23.230 --> 00:00:23.640]   hosted
[00:00:23.640 --> 00:00:23.770]   by
[00:00:23.770 --> 00:00:24.180]   myself
[00:00:24.180 --> 00:00:24.640]   Justin
[00:00:24.640 --> 00:00:25.000]   Vincent
[00:00:25.000 --> 00:00:25.270]   and
[00:00:25.270 --> 00:00:25.720]   Jason
[00:00:25.720 --> 00:00:26.000]   Roberts
[00:00:26.000 --> 00:00:26.270]  .
[00:00:26.270 --> 00:00:26.560]   Hey
[00:00:26.560 --> 00:00:27.000]   Jason
[00:00:27.000 --> 00:00:27.210]   how
[00:00:27.210 --> 00:00:27.760]   you
[00:00:27.760 --> 00:00:27.770]   doing
[00:00:27.770 --> 00:00:28.000]  ?
[00:00:28.000 --> 00:00:28.210]   Doing
[00:00:28.210 --> 00:00:28.380]   well
[00:00:28.380 --> 00:00:28.510]   how
[00:00:28.510 --> 00:00:28.640]   you
[00:00:28.640 --> 00:00:28.850]   doing
[00:00:28.850 --> 00:00:29.000]  ?
[00:00:29.000 --> 00:00:29.520]   Doing
[00:00:29.520 --> 00:00:29.940]   very
[00:00:29.940 --> 00:00:30.390]   good
[00:00:30.390 --> 00:00:30.670]   was
[00:00:30.670 --> 00:00:31.100]   just
[00:00:31.100 --> 00:00:31.930]   watching
[00:00:31.930 --> 00:00:32.090]   a
[00:00:32.090 --> 00:00:32.550]   movie
[00:00:32.550 --> 00:00:32.650]   that
[00:00:32.650 --> 00:00:33.240]   um
[00:00:33.240 --> 00:00:33.320]   R
[00:00:33.320 --> 00:00:33.400]  iy
[00:00:33.400 --> 00:00:33.560]  ad
[00:00:33.560 --> 00:00:33.670]  h
[00:00:33.670 --> 00:00:33.810]   K
[00:00:33.810 --> 00:00:34.000]  ala
[00:00:34.000 --> 00:00:34.160]   you
[00:00:34.160 --> 00:00:34.690]   remember
[00:00:34.690 --> 00:00:34.760]   R
[00:00:34.760 --> 00:00:34.800]  iy
[00:00:34.800 --> 00:00:35.000]  adh
[00:00:35.000 --> 00:00:35.040]   K
[00:00:35.040 --> 00:00:35.160]  ala
[00:00:35.160 --> 00:00:35.520]   suggested
[00:00:35.520 --> 00:00:35.680]   that
[00:00:35.680 --> 00:00:35.810]   I
[00:00:35.810 --> 00:00:35.920]   watch
[00:00:35.920 --> 00:00:36.080]   that
[00:00:36.080 --> 00:00:36.280]   other
[00:00:36.280 --> 00:00:36.480]   movie
[00:00:36.480 --> 00:00:36.680]   about
[00:00:36.680 --> 00:00:36.760]   ju
[00:00:36.760 --> 00:00:37.000]  icing
[00:00:37.000 --> 00:00:37.000]  ?
[00:00:37.000 --> 00:00:37.620]   Right
[00:00:37.620 --> 00:00:37.740]   I
[00:00:37.740 --> 00:00:38.000]   do
[00:00:38.000 --> 00:00:38.000]  .
[00:00:38.000 --> 00:00:38.280]   Yeah
[00:00:38.280 --> 00:00:38.400]   so
[00:00:38.400 --> 00:00:38.730]   he
[00:00:38.730 --> 00:00:38.860]   has
[00:00:38.860 --> 00:00:38.900]   he
[00:00:38.900 --> 00:00:38.990]  's
[00:00:38.990 --> 00:00:39.400]   single
[00:00:39.400 --> 00:00:39.460]  -
[00:00:39.460 --> 00:00:39.760]  hand
[00:00:39.760 --> 00:00:40.030]  edly
[00:00:40.030 --> 00:00:40.410]   trying
[00:00:40.410 --> 00:00:40.590]   to
[00:00:40.590 --> 00:00:40.810]   save
[00:00:40.810 --> 00:00:40.940]   my
[00:00:40.940 --> 00:00:41.250]   life
[00:00:41.250 --> 00:00:41.340]   he
[00:00:41.340 --> 00:00:41.940]   suggested
[00:00:41.940 --> 00:00:42.430]   another
[00:00:42.430 --> 00:00:42.810]   movie
[00:00:42.810 --> 00:00:43.040]   that
[00:00:43.040 --> 00:00:43.090]   I
[00:00:43.090 --> 00:00:43.440]   watch
[00:00:43.440 --> 00:00:43.840]   called
[00:00:43.840 --> 00:00:44.140]   For
[00:00:44.140 --> 00:00:44.180]  ks
[00:00:44.180 --> 00:00:44.450]   Over
[00:00:44.450 --> 00:00:44.580]   Kn
[00:00:44.580 --> 00:00:45.000]  ives
[00:00:45.000 --> 00:00:45.000]  .
[00:00:45.000 --> 00:00:45.060]   I
[00:00:45.060 --> 00:00:45.540]  'm
[00:00:45.540 --> 00:00:45.640]   trying
[00:00:45.640 --> 00:00:45.660]   to
[00:00:45.660 --> 00:00:45.930]   save
[00:00:45.930 --> 00:00:46.150]   your
[00:00:46.150 --> 00:00:46.380]   life
[00:00:46.380 --> 00:00:46.550]   too
[00:00:46.550 --> 00:00:46.740]   but
[00:00:46.740 --> 00:00:46.920]   you
[00:00:46.920 --> 00:00:47.280]   ignore
[00:00:47.280 --> 00:00:47.460]   all
[00:00:47.460 --> 00:00:47.580]   my
[00:00:47.580 --> 00:00:48.000]   advice
[00:00:48.000 --> 00:00:48.000]  .
[00:00:48.000 --> 00:00:48.000]  
[00:00:48.000 --> 00:00:48.310]   Well
[00:00:48.310 --> 00:00:48.330]   I
[00:00:48.330 --> 00:00:48.520]  'll
[00:00:48.520 --> 00:00:48.750]   tell
[00:00:48.750 --> 00:00:48.960]   you
[00:00:48.960 --> 00:00:49.520]   something
[00:00:49.520 --> 00:00:49.790]   that
[00:00:49.790 --> 00:00:49.960]   For
[00:00:49.960 --> 00:00:50.140]  ks
[00:00:50.140 --> 00:00:50.330]   Over
[00:00:50.330 --> 00:00:50.460]   Kn
[00:00:50.460 --> 00:00:50.710]  ives
[00:00:50.710 --> 00:00:51.030]   movie
[00:00:51.030 --> 00:00:51.160]   is
[00:00:51.160 --> 00:00:51.440]   very
[00:00:51.440 --> 00:00:51.660]   very
[00:00:51.660 --> 00:00:52.360]   interesting
[00:00:52.360 --> 00:00:52.650]   very
[00:00:52.650 --> 00:00:53.010]   cool
[00:00:53.010 --> 00:00:53.170]   and
[00:00:53.170 --> 00:00:53.220]   I
[00:00:53.220 --> 00:00:53.390]   use
[00:00:53.390 --> 00:00:53.560]   the
[00:00:53.560 --> 00:00:54.230]   interesting
[00:00:54.230 --> 00:00:54.410]   word
[00:00:54.410 --> 00:00:54.620]   but
[00:00:54.620 --> 00:00:54.930]   really
[00:00:54.930 --> 00:00:55.160]   this
[00:00:55.160 --> 00:00:55.390]   time
[00:00:55.390 --> 00:00:55.490]   it
[00:00:55.490 --> 00:00:55.840]   really
[00:00:55.840 --> 00:00:56.000]   is
[00:00:56.000 --> 00:00:56.000]  .
[00:00:56.000 --> 00:00:56.320]   What
[00:00:56.320 --> 00:00:56.500]   is
[00:00:56.500 --> 00:00:56.860]   it
[00:00:56.860 --> 00:00:57.110]   about
[00:00:57.110 --> 00:00:57.710]   exactly
[00:00:57.710 --> 00:00:58.000]  ?
[00:00:58.000 --> 00:00:58.320]   It
[00:00:58.320 --> 00:00:58.520]   does
[00:00:58.520 --> 00:00:58.850]   for
[00:00:58.850 --> 00:00:59.520]   healthy
[00:00:59.520 --> 00:00:59.690]   diet
[00:00:59.690 --> 00:01:00.060]   what
[00:01:00.060 --> 00:01:00.630]   Richard
[00:01:00.630 --> 00:01:00.950]   Dol
[00:01:00.950 --> 00:01:01.030]  an
[00:01:01.030 --> 00:01:01.370]   does
[00:01:01.370 --> 00:01:01.620]   for
[00:01:01.620 --> 00:01:01.890]   UFO
[00:01:01.890 --> 00:01:02.000]  s
[00:01:02.000 --> 00:01:02.000]  .
[00:01:02.000 --> 00:01:02.920]   Like
[00:01:02.920 --> 00:01:05.000]   basically
[00:01:05.000 --> 00:01:05.000]  .
[00:01:05.000 --> 00:01:05.150]   He
[00:01:05.150 --> 00:01:05.530]   comes
[00:01:05.530 --> 00:01:05.680]   up
[00:01:05.680 --> 00:01:05.980]   with
[00:01:05.980 --> 00:01:06.130]   re
[00:01:06.130 --> 00:01:06.400]  ams
[00:01:06.400 --> 00:01:06.510]   of
[00:01:06.510 --> 00:01:07.360]   government
[00:01:07.360 --> 00:01:08.000]   documents
[00:01:08.000 --> 00:01:08.000]  .
[00:01:08.000 --> 00:01:08.000]  
[00:01:08.000 --> 00:01:08.330]   Hard
[00:01:08.330 --> 00:01:08.660]  core
[00:01:08.660 --> 00:01:09.320]   evidence
[00:01:09.320 --> 00:01:09.650]   just
[00:01:09.650 --> 00:01:09.980]   just
[00:01:09.980 --> 00:01:10.640]   evidence
[00:01:10.640 --> 00:01:11.150]   that
[00:01:11.150 --> 00:01:11.210]   you
[00:01:11.210 --> 00:01:11.450]   can
[00:01:11.450 --> 00:01:11.620]  't
[00:01:11.620 --> 00:01:11.990]   deny
[00:01:11.990 --> 00:01:12.280]   that
[00:01:12.280 --> 00:01:12.760]   points
[00:01:12.760 --> 00:01:12.950]   to
[00:01:12.950 --> 00:01:13.250]   okay
[00:01:13.250 --> 00:01:13.660]   this
[00:01:13.660 --> 00:01:13.820]   is
[00:01:13.820 --> 00:01:13.820]   a
[00:01:13.820 --> 00:01:14.240]   truth
[00:01:14.240 --> 00:01:14.470]   you
[00:01:14.470 --> 00:01:14.910]   know
