
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.750]   This
[00:00:00.750 --> 00:00:01.030]   show
[00:00:01.030 --> 00:00:01.270]   is
[00:00:01.270 --> 00:00:02.680]   distributed
[00:00:02.680 --> 00:00:02.930]   by
[00:00:02.930 --> 00:00:03.360]   Sun
[00:00:03.360 --> 00:00:03.430]  c
[00:00:03.430 --> 00:00:03.710]  ru
[00:00:03.710 --> 00:00:04.000]  bs
[00:00:04.000 --> 00:00:04.000]  .
[00:00:04.000 --> 00:00:05.000]   Welcome
[00:00:05.000 --> 00:00:05.000]  !
[00:00:26.000 --> 00:00:26.000]  
[00:00:26.000 --> 00:00:26.790]   Welcome
[00:00:26.790 --> 00:00:27.010]   to
[00:00:27.010 --> 00:00:27.800]   episode
[00:00:27.800 --> 00:00:28.480]   21
[00:00:28.480 --> 00:00:28.820]  4
[00:00:28.820 --> 00:00:29.040]   of
[00:00:29.040 --> 00:00:29.490]   Tech
[00:00:29.490 --> 00:00:29.600]  S
[00:00:29.600 --> 00:00:30.000]  ing
[00:00:30.000 --> 00:00:30.030]  h
[00:00:30.030 --> 00:00:30.090]  ,
[00:00:30.090 --> 00:00:30.270]   hosted
[00:00:30.270 --> 00:00:30.330]   by
[00:00:30.330 --> 00:00:30.510]   myself
[00:00:30.510 --> 00:00:30.570]  ,
[00:00:30.570 --> 00:00:30.750]   Justin
[00:00:30.750 --> 00:00:30.990]   Vincent
[00:00:30.990 --> 00:00:31.110]  ,
[00:00:31.110 --> 00:00:31.310]   and
[00:00:31.310 --> 00:00:31.640]   Jason
[00:00:31.640 --> 00:00:31.990]   Roberts
[00:00:31.990 --> 00:00:32.000]  .
[00:00:32.000 --> 00:00:32.120]   Hey
[00:00:32.120 --> 00:00:32.310]   Jason
[00:00:32.310 --> 00:00:32.400]  ,
[00:00:32.400 --> 00:00:32.520]   how
[00:00:32.520 --> 00:00:32.730]   you
[00:00:32.730 --> 00:00:32.840]   doing
[00:00:32.840 --> 00:00:33.000]  ?
[00:00:33.000 --> 00:00:33.070]   I
[00:00:33.070 --> 00:00:33.220]  'm
[00:00:33.220 --> 00:00:33.770]   alright
[00:00:33.770 --> 00:00:33.900]  ,
[00:00:33.900 --> 00:00:34.130]   how
[00:00:34.130 --> 00:00:34.360]   you
[00:00:34.360 --> 00:00:34.740]   doing
[00:00:34.740 --> 00:00:35.000]  ?
[00:00:35.000 --> 00:00:35.460]   Pretty
[00:00:35.460 --> 00:00:35.760]   good
[00:00:35.760 --> 00:00:36.000]  .
[00:00:36.000 --> 00:00:36.220]   Come
[00:00:36.220 --> 00:00:36.440]   back
[00:00:36.440 --> 00:00:36.660]   from
[00:00:36.660 --> 00:00:37.000]   Europe
[00:00:37.000 --> 00:00:38.000]   and
[00:00:38.000 --> 00:00:38.380]   this
[00:00:38.380 --> 00:00:38.940]   is
[00:00:38.940 --> 00:00:39.000]   like
[00:00:39.000 --> 00:00:39.230]   one
[00:00:39.230 --> 00:00:39.470]   of
[00:00:39.470 --> 00:00:39.610]   our
[00:00:39.610 --> 00:00:40.000]   first
[00:00:40.000 --> 00:00:40.760]   conversations
[00:00:40.760 --> 00:00:41.000]   that
[00:00:41.000 --> 00:00:41.000]   we
[00:00:41.000 --> 00:00:41.000]  've
[00:00:41.000 --> 00:00:41.000]   had
[00:00:41.000 --> 00:00:41.000]   since
[00:00:41.000 --> 00:00:41.000]   our
[00:00:41.000 --> 00:00:41.000]   comeback
[00:00:41.000 --> 00:00:41.000]  .
[00:00:41.000 --> 00:00:41.130]   How
[00:00:41.130 --> 00:00:41.300]   long
[00:00:41.300 --> 00:00:41.510]   have
[00:00:41.510 --> 00:00:41.510]   I
[00:00:41.510 --> 00:00:41.680]   been
[00:00:41.680 --> 00:00:41.850]   back
[00:00:41.850 --> 00:00:42.000]  ?
[00:00:42.000 --> 00:00:42.200]   About
[00:00:42.200 --> 00:00:42.240]   a
[00:00:42.240 --> 00:00:42.400]   week
[00:00:42.400 --> 00:00:42.480]   at
[00:00:42.480 --> 00:00:42.750]   this
[00:00:42.750 --> 00:00:42.840]   stage
[00:00:42.840 --> 00:00:43.000]  .
[00:00:43.000 --> 00:00:43.300]   Yeah
[00:00:43.300 --> 00:00:43.450]  ,
[00:00:43.450 --> 00:00:43.790]   yeah
[00:00:43.790 --> 00:00:44.000]  .
[00:00:44.000 --> 00:00:44.200]   So
[00:00:44.200 --> 00:00:44.390]  ,
[00:00:44.390 --> 00:00:44.750]   how
[00:00:44.750 --> 00:00:44.990]   was
[00:00:44.990 --> 00:00:45.290]   the
[00:00:45.290 --> 00:00:45.730]   trip
[00:00:45.730 --> 00:00:46.000]  ?
[00:00:46.000 --> 00:00:46.360]   Very
[00:00:46.360 --> 00:00:46.720]   good
[00:00:46.720 --> 00:00:47.000]  .
[00:00:47.000 --> 00:00:47.190]   Now
[00:00:47.190 --> 00:00:47.260]  ,
[00:00:47.260 --> 00:00:47.420]   the
[00:00:47.420 --> 00:00:47.720]   next
[00:00:47.720 --> 00:00:47.930]   thing
[00:00:47.930 --> 00:00:48.060]   you
[00:00:48.060 --> 00:00:48.220]  're
[00:00:48.220 --> 00:00:48.490]   going
[00:00:48.490 --> 00:00:48.590]   to
[00:00:48.590 --> 00:00:48.750]   say
[00:00:48.750 --> 00:00:48.880]   is
[00:00:48.880 --> 00:00:49.000]  ,
[00:00:49.000 --> 00:00:49.130]   "
[00:00:49.130 --> 00:00:49.310]  I
[00:00:49.310 --> 00:00:49.800]   told
[00:00:49.800 --> 00:00:50.190]   you
[00:00:50.190 --> 00:00:50.450]   so
[00:00:50.450 --> 00:00:51.000]  !"
[00:00:51.000 --> 00:00:51.070]   I
[00:00:51.070 --> 00:00:51.230]  'm
[00:00:51.230 --> 00:00:51.520]   just
[00:00:51.520 --> 00:00:51.900]   going
[00:00:51.900 --> 00:00:52.050]   to
[00:00:52.050 --> 00:00:52.320]   let
[00:00:52.320 --> 00:00:52.510]   you
[00:00:52.510 --> 00:00:52.840]   tell
[00:00:52.840 --> 00:00:52.950]   me
[00:00:52.950 --> 00:00:53.130]   I
[00:00:53.130 --> 00:00:53.330]   told
[00:00:53.330 --> 00:00:53.560]   you
[00:00:53.560 --> 00:00:53.710]   so
[00:00:53.710 --> 00:00:54.000]  .
[00:00:54.000 --> 00:00:54.000]  
[00:00:54.000 --> 00:00:54.870]   Alright
[00:00:54.870 --> 00:00:55.110]  ,
[00:00:55.110 --> 00:00:55.680]   okay
[00:00:55.680 --> 00:00:56.000]  .
[00:00:56.000 --> 00:00:56.290]   It
[00:00:56.290 --> 00:00:56.410]   was
[00:00:56.410 --> 00:00:56.740]   true
[00:00:56.740 --> 00:00:57.000]  .
[00:00:57.000 --> 00:00:57.240]   After
[00:00:57.240 --> 00:00:57.520]   about
[00:00:57.520 --> 00:00:57.620]   two
[00:00:57.620 --> 00:00:57.860]   weeks
[00:00:57.860 --> 00:00:57.990]  ,
[00:00:57.990 --> 00:00:58.010]   I
[00:00:58.010 --> 00:00:58.190]   was
[00:00:58.190 --> 00:00:58.470]   missing
[00:00:58.470 --> 00:00:58.810]   America
[00:00:58.810 --> 00:00:59.000]  .
[00:00:59.000 --> 00:00:59.190]   Well
[00:00:59.190 --> 00:00:59.300]  ,
[00:00:59.300 --> 00:00:59.430]   the
[00:00:59.430 --> 00:00:59.750]   other
[00:00:59.750 --> 00:00:59.900]   thing
[00:00:59.900 --> 00:01:00.070]   you
[00:01:00.070 --> 00:01:00.260]   said
[00:01:00.260 --> 00:01:00.320]  ,
[00:01:00.320 --> 00:01:00.360]   I
[00:01:00.360 --> 00:01:00.550]   said
[00:01:00.550 --> 00:01:00.640]  ,
[00:01:00.640 --> 00:01:00.680]   "
[00:01:00.680 --> 00:01:00.770]  So
[00:01:00.770 --> 00:01:00.860]  ,
[00:01:00.860 --> 00:01:01.000]   you
[00:01:01.000 --> 00:01:01.140]  're
[00:01:01.140 --> 00:01:01.470]   getting
[00:01:01.470 --> 00:01:01.510]   a
[00:01:01.510 --> 00:01:01.790]   couple
[00:01:01.790 --> 00:01:02.050]   hours
[00:01:02.050 --> 00:01:02.120]   of
[00:01:02.120 --> 00:01:02.310]   work
[00:01:02.310 --> 00:01:02.500]   done
[00:01:02.500 --> 00:01:02.540]   a
[00:01:02.540 --> 00:01:02.680]   day
[00:01:02.680 --> 00:01:03.000]  ?"
[00:01:03.000 --> 00:01:03.130]   And
[00:01:03.130 --> 00:01:03.260]   you
[00:01:03.260 --> 00:01:03.430]   said
[00:01:03.430 --> 00:01:03.510]  ,
[00:01:03.510 --> 00:01:03.550]   "
[00:01:03.550 --> 00:01:03.620]  No
[00:01:03.620 --> 00:01:03.710]  ,
[00:01:03.710 --> 00:01:03.880]   more
[00:01:03.880 --> 00:01:04.050]   like
[00:01:04.050 --> 00:01:04.090]   a
[00:01:04.090 --> 00:01:04.350]   couple
[00:01:04.350 --> 00:01:04.560]   hours
[00:01:04.560 --> 00:01:04.600]   a
[00:01:04.600 --> 00:01:04.770]   week
[00:01:04.770 --> 00:01:05.000]  ."
[00:01:05.000 --> 00:01:06.000]   Yeah
[00:01:06.000 --> 00:01:06.000]  .
[00:01:06.000 --> 00:01:06.090]   So
[00:01:06.090 --> 00:01:06.180]  ,
[00:01:06.180 --> 00:01:06.310]   you
[00:01:06.310 --> 00:01:06.580]   know
[00:01:06.580 --> 00:01:06.600]  ,
[00:01:06.600 --> 00:01:06.780]   the
[00:01:06.780 --> 00:01:06.930]   thing
[00:01:06.930 --> 00:01:06.970]   I
[00:01:06.970 --> 00:01:07.100]   was
[00:01:07.100 --> 00:01:07.460]   thinking
[00:01:07.460 --> 00:01:07.680]   about
[00:01:07.680 --> 00:01:07.860]   this
[00:01:07.860 --> 00:01:08.000]  ,
[00:01:08.000 --> 00:01:08.060]   I
[00:01:08.060 --> 00:01:08.300]   mean
[00:01:08.300 --> 00:01:08.430]  ,
[00:01:08.430 --> 00:01:08.550]   it
[00:01:08.550 --> 00:01:08.670]  's
[00:01:08.670 --> 00:01:08.920]   easy
[00:01:08.920 --> 00:01:09.030]   to
[00:01:09.030 --> 00:01:09.410]   forget
[00:01:09.410 --> 00:01:09.660]   this
[00:01:09.660 --> 00:01:10.000]   stuff
[00:01:10.000 --> 00:01:10.000]  .
[00:01:10.000 --> 00:01:10.070]   It
[00:01:10.070 --> 00:01:10.170]  's
[00:01:10.170 --> 00:01:10.290]   like
[00:01:10.290 --> 00:01:10.440]   when
[00:01:10.440 --> 00:01:10.550]   you
[00:01:10.550 --> 00:01:10.760]   order
[00:01:10.760 --> 00:01:10.770]   a
[00:01:10.770 --> 00:01:11.020]   certain
[00:01:11.020 --> 00:01:11.240]   amount
[00:01:11.240 --> 00:01:11.310]   of
[00:01:11.310 --> 00:01:11.460]   food
[00:01:11.460 --> 00:01:11.530]   at
[00:01:11.530 --> 00:01:11.560]   a
[00:01:11.560 --> 00:01:12.000]   restaurant
[00:01:12.000 --> 00:01:12.170]   and
[00:01:12.170 --> 00:01:12.400]   then
[00:01:12.400 --> 00:01:13.000]   afterwards
[00:01:13.000 --> 00:01:13.070]   you
[00:01:13.070 --> 00:01:13.140]  're
[00:01:13.140 --> 00:01:13.250]   like
[00:01:13.250 --> 00:01:13.290]  ,
[00:01:13.290 --> 00:01:13.310]   "
[00:01:13.310 --> 00:01:13.360]  Oh
[00:01:13.360 --> 00:01:13.410]  ,
[00:01:13.410 --> 00:01:13.510]   that
[00:01:13.510 --> 00:01:13.570]   was
[00:01:13.570 --> 00:01:13.650]   way
[00:01:13.650 --> 00:01:13.750]   too
[00:01:13.750 --> 00:01:13.820]   much
[00:01:13.820 --> 00:01:14.000]  ."
[00:01:14.000 --> 00:01:14.150]   And
[00:01:14.150 --> 00:01:14.340]   you
[00:01:14.340 --> 00:01:14.440]  're
[00:01:14.440 --> 00:01:14.640]   like
[00:01:14.640 --> 00:01:14.730]  ,
[00:01:14.730 --> 00:01:14.780]   "
[00:01:14.780 --> 00:01:15.000]  Why
[00:01:15.000 --> 00:01:15.070]   did
[00:01:15.070 --> 00:01:15.120]   I
[00:01:15.120 --> 00:01:15.360]   order
[00:01:15.360 --> 00:01:15.570]   that
[00:01:15.570 --> 00:01:15.760]   much
[00:01:15.760 --> 00:01:16.000]  ?"
[00:01:16.000 --> 00:01:16.100]   And
[00:01:16.100 --> 00:01:16.240]   then
[00:01:16.240 --> 00:01:16.340]   six
[00:01:16.340 --> 00:01:16.550]   months
[00:01:16.550 --> 00:01:16.730]   later
[00:01:16.730 --> 00:01:16.830]   you
[00:01:16.830 --> 00:01:16.900]   go
[00:01:16.900 --> 00:01:17.040]   back
[00:01:17.040 --> 00:01:17.140]   and
[00:01:17.140 --> 00:01:17.260]   you
[00:01:17.260 --> 00:01:17.310]   do
[00:01:17.310 --> 00:01:17.410]   the
[00:01:17.410 --> 00:01:17.550]   same
[00:01:17.550 --> 00:01:17.730]   thing
[00:01:17.730 --> 00:01:18.000]   again
[00:01:18.000 --> 00:01:18.000]  .
[00:01:18.000 --> 00:01:18.150]   You
[00:01:18.150 --> 00:01:18.300]  're
[00:01:18.300 --> 00:01:18.510]   like
[00:01:18.510 --> 00:01:18.600]  ,
[00:01:18.600 --> 00:01:18.700]   "
[00:01:18.700 --> 00:01:18.710]  I
[00:01:18.710 --> 00:01:18.900]   knew
[00:01:18.900 --> 00:01:19.120]   that
[00:01:19.120 --> 00:01:19.250]   was
[00:01:19.250 --> 00:01:19.400]   too
