
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.340]   Oh
[00:00:00.340 --> 00:00:00.360]   this
[00:00:00.360 --> 00:00:00.450]   is
[00:00:00.450 --> 00:00:00.680]   easy
[00:00:00.680 --> 00:00:00.790]   we
[00:00:00.790 --> 00:00:01.020]   take
[00:00:01.020 --> 00:00:01.130]   up
[00:00:01.130 --> 00:00:01.360]   your
[00:00:01.360 --> 00:00:01.830]   favorite
[00:00:01.830 --> 00:00:02.180]   french
[00:00:02.180 --> 00:00:02.810]   restaurant
[00:00:02.810 --> 00:00:02.880]   we
[00:00:02.880 --> 00:00:03.110]   take
[00:00:03.110 --> 00:00:03.280]   the
[00:00:03.280 --> 00:00:03.510]   baby
[00:00:03.510 --> 00:00:03.680]   and
[00:00:03.680 --> 00:00:03.740]   i
[00:00:03.740 --> 00:00:03.970]   want
[00:00:03.970 --> 00:00:04.080]   to
[00:00:04.080 --> 00:00:04.190]   do
[00:00:04.190 --> 00:00:04.360]   the
[00:00:04.360 --> 00:00:04.590]   baby
[00:00:04.590 --> 00:00:04.700]   in
[00:00:04.700 --> 00:00:04.870]   the
[00:00:04.870 --> 00:00:05.220]   reader
[00:00:05.220 --> 00:00:05.600]  .
[00:00:05.600 --> 00:00:14.600]   Music
[00:00:14.600 --> 00:00:20.000]  .
[00:00:20.000 --> 00:00:20.140]   It
[00:00:20.140 --> 00:00:20.280]  's
[00:00:20.280 --> 00:00:20.800]   episode
[00:00:20.800 --> 00:00:21.020]   two
[00:00:21.020 --> 00:00:21.540]   hundred
[00:00:21.540 --> 00:00:21.910]   sixty
[00:00:21.910 --> 00:00:22.060]   of
[00:00:22.060 --> 00:00:22.570]   texting
[00:00:22.570 --> 00:00:22.860]   what
[00:00:22.860 --> 00:00:23.000]  's
[00:00:23.000 --> 00:00:23.140]   up
[00:00:23.140 --> 00:00:23.510]   Jason
[00:00:23.510 --> 00:00:23.800]  .
[00:00:24.260 --> 00:00:24.260]  
[00:00:24.260 --> 00:00:24.340]   I
[00:00:24.340 --> 00:00:24.510]  'm
[00:00:24.510 --> 00:00:24.830]   good
[00:00:24.830 --> 00:00:25.160]   like
[00:00:25.160 --> 00:00:25.230]   a
[00:00:25.230 --> 00:00:25.740]   little
[00:00:25.740 --> 00:00:26.120]   more
[00:00:26.120 --> 00:00:26.570]   abrupt
[00:00:26.570 --> 00:00:27.040]   intro
[00:00:27.040 --> 00:00:27.320]   that
[00:00:27.320 --> 00:00:27.400]   i
[00:00:27.400 --> 00:00:27.650]   was
[00:00:27.650 --> 00:00:28.400]   expecting
[00:00:28.400 --> 00:00:28.550]   i
[00:00:28.550 --> 00:00:29.040]   wanted
[00:00:29.040 --> 00:00:29.140]   to
[00:00:29.140 --> 00:00:29.580]   throw
[00:00:29.580 --> 00:00:29.830]   you
[00:00:29.830 --> 00:00:29.890]   a
[00:00:29.890 --> 00:00:30.310]   curve
[00:00:30.310 --> 00:00:30.650]  ball
[00:00:30.650 --> 00:00:30.930]   see
[00:00:30.930 --> 00:00:31.210]   how
[00:00:31.210 --> 00:00:31.390]   you
[00:00:31.390 --> 00:00:31.890]   handle
[00:00:31.890 --> 00:00:32.050]   it
[00:00:32.050 --> 00:00:32.420]  .
[00:00:32.420 --> 00:00:32.730]   Well
[00:00:32.730 --> 00:00:32.770]   it
[00:00:32.770 --> 00:00:32.830]  's
[00:00:32.830 --> 00:00:33.110]   early
[00:00:33.110 --> 00:00:33.200]   so
[00:00:33.200 --> 00:00:33.250]   i
[00:00:33.250 --> 00:00:33.350]  'm
[00:00:33.350 --> 00:00:33.510]   not
[00:00:33.510 --> 00:00:33.780]   gonna
[00:00:33.780 --> 00:00:34.100]   handle
[00:00:34.100 --> 00:00:34.200]   it
[00:00:34.200 --> 00:00:34.410]   well
[00:00:34.410 --> 00:00:34.660]  .
[00:00:34.660 --> 00:00:34.840]   How
[00:00:34.840 --> 00:00:35.430]   you
[00:00:35.430 --> 00:00:35.510]   feeling
[00:00:35.510 --> 00:00:35.610]   you
[00:00:35.610 --> 00:00:35.790]  're
[00:00:35.790 --> 00:00:36.250]   normally
[00:00:36.250 --> 00:00:36.430]   not
[00:00:36.430 --> 00:00:36.490]   a
[00:00:36.490 --> 00:00:36.900]   morning
[00:00:36.900 --> 00:00:37.250]   person
[00:00:37.250 --> 00:00:37.480]  .
[00:00:37.480 --> 00:00:37.760]   Well
[00:00:37.760 --> 00:00:37.830]   i
[00:00:37.830 --> 00:00:38.090]  've
[00:00:38.090 --> 00:00:38.320]   been
[00:00:38.320 --> 00:00:38.460]   up
[00:00:38.460 --> 00:00:38.810]   since
[00:00:38.810 --> 00:00:39.160]   seven
[00:00:39.160 --> 00:00:39.300]   so
[00:00:39.300 --> 00:00:39.440]   it
[00:00:39.440 --> 00:00:39.610]  's
