
[00:00:00.000 --> 00:00:00.500]  
[00:00:00.500 --> 00:00:00.520]   A
[00:00:00.520 --> 00:00:02.190]   toy
[00:00:02.190 --> 00:00:02.350]  ?
[00:00:02.350 --> 00:00:02.580]   As
[00:00:02.580 --> 00:00:02.690]   I
[00:00:02.690 --> 00:00:03.750]   suspected
[00:00:03.750 --> 00:00:04.130]  .
[00:00:04.130 --> 00:00:04.170]   I
[00:00:04.170 --> 00:00:04.860]   hate
[00:00:04.860 --> 00:00:05.550]   toys
[00:00:05.550 --> 00:00:06.300]   and
[00:00:06.300 --> 00:00:06.800]   toys
[00:00:06.800 --> 00:00:07.280]   hate
[00:00:07.280 --> 00:00:07.520]   me
[00:00:07.520 --> 00:00:08.230]  .
[00:00:08.230 --> 00:00:08.480]   Either
[00:00:08.480 --> 00:00:08.680]   they
[00:00:08.680 --> 00:00:08.880]   are
[00:00:08.880 --> 00:00:09.200]   going
[00:00:09.200 --> 00:00:09.400]   or
[00:00:09.400 --> 00:00:09.640]   I
[00:00:09.640 --> 00:00:09.840]   am
[00:00:09.840 --> 00:00:09.940]   going
[00:00:09.940 --> 00:00:10.000]  .
[00:00:25.000 --> 00:00:25.000]  
[00:00:25.000 --> 00:00:25.440]   Welcome
[00:00:25.440 --> 00:00:25.560]   to
[00:00:25.560 --> 00:00:26.000]   episode
[00:00:26.000 --> 00:00:26.380]   27
[00:00:26.380 --> 00:00:26.570]  8
[00:00:26.570 --> 00:00:26.690]   of
[00:00:26.690 --> 00:00:26.940]   Tech
[00:00:26.940 --> 00:00:27.000]  S
[00:00:27.000 --> 00:00:27.180]  ing
[00:00:27.180 --> 00:00:27.250]  h
[00:00:27.250 --> 00:00:27.370]  ,
[00:00:27.370 --> 00:00:27.750]   hosted
[00:00:27.750 --> 00:00:27.870]   by
[00:00:27.870 --> 00:00:28.250]   myself
[00:00:28.250 --> 00:00:28.450]  ,
[00:00:28.450 --> 00:00:29.030]   Justin
[00:00:29.030 --> 00:00:29.720]   Vincent
[00:00:29.720 --> 00:00:29.720]  ,
[00:00:29.720 --> 00:00:29.940]   and
[00:00:29.940 --> 00:00:30.190]   the
[00:00:30.190 --> 00:00:30.450]   inim
[00:00:30.450 --> 00:00:30.890]  itable
[00:00:30.890 --> 00:00:31.330]   Jason
[00:00:31.330 --> 00:00:31.780]   Roberts
[00:00:31.780 --> 00:00:32.030]  .
[00:00:32.030 --> 00:00:32.980]   Welcome
[00:00:32.980 --> 00:00:33.000]  ,
[00:00:33.000 --> 00:00:33.540]   Jason
[00:00:33.540 --> 00:00:33.990]  .
[00:00:33.990 --> 00:00:34.070]   How
[00:00:34.070 --> 00:00:34.100]   are
[00:00:34.100 --> 00:00:34.210]   you
[00:00:34.210 --> 00:00:34.390]   doing
[00:00:34.390 --> 00:00:34.520]  ?
[00:00:34.520 --> 00:00:35.180]   All
[00:00:35.180 --> 00:00:35.270]   right
[00:00:35.270 --> 00:00:35.560]  .
[00:00:35.560 --> 00:00:35.760]   It
[00:00:35.760 --> 00:00:36.110]  's
[00:00:36.110 --> 00:00:36.260]   a
[00:00:36.260 --> 00:00:37.120]   beautiful
[00:00:37.120 --> 00:00:37.480]   day
