
[00:00:00.000 --> 00:00:00.810]  
[00:00:00.810 --> 00:00:03.060]   [
[00:00:03.060 --> 00:00:17.990]  Music
[00:00:17.990 --> 00:00:21.000]  ]
[00:00:21.000 --> 00:00:21.550]   Welcome
[00:00:21.550 --> 00:00:21.710]   to
[00:00:21.710 --> 00:00:22.260]   episode
[00:00:22.260 --> 00:00:22.740]   28
[00:00:22.740 --> 00:00:23.000]  1
[00:00:23.000 --> 00:00:23.120]  ,
[00:00:23.120 --> 00:00:23.490]   hosted
[00:00:23.490 --> 00:00:23.610]   by
[00:00:23.610 --> 00:00:24.000]   myself
[00:00:24.000 --> 00:00:24.130]  ,
[00:00:24.130 --> 00:00:24.520]   Justin
[00:00:24.520 --> 00:00:24.590]   V
[00:00:24.590 --> 00:00:24.780]  inc
[00:00:24.780 --> 00:00:25.000]  ent
[00:00:25.000 --> 00:00:25.160]  ,
[00:00:25.160 --> 00:00:25.410]   and
[00:00:25.410 --> 00:00:26.000]   himself
[00:00:26.000 --> 00:00:26.140]  ,
[00:00:26.140 --> 00:00:26.490]   Jason
[00:00:26.490 --> 00:00:27.000]   Roberts
[00:00:27.000 --> 00:00:27.000]  .
[00:00:27.000 --> 00:00:27.000]  
[00:00:27.000 --> 00:00:27.380]   Hey
[00:00:27.380 --> 00:00:28.020]   Jason
[00:00:28.020 --> 00:00:28.220]  ,
[00:00:28.220 --> 00:00:28.790]   how
[00:00:28.790 --> 00:00:29.010]   you
[00:00:29.010 --> 00:00:29.610]   doing
[00:00:29.610 --> 00:00:30.000]  ?
[00:00:30.000 --> 00:00:30.280]   This
[00:00:30.280 --> 00:00:30.420]   is
[00:00:30.420 --> 00:00:30.630]   our
[00:00:30.630 --> 00:00:31.060]   first
[00:00:31.060 --> 00:00:31.470]   Per
[00:00:31.470 --> 00:00:31.660]  isc
[00:00:31.660 --> 00:00:32.000]  ope
[00:00:32.000 --> 00:00:32.770]   version
[00:00:32.770 --> 00:00:33.000]   of
[00:00:33.000 --> 00:00:33.280]   texting
[00:00:33.280 --> 00:00:33.410]  .
[00:00:33.410 --> 00:00:33.530]   How
[00:00:33.530 --> 00:00:33.750]   you
[00:00:33.750 --> 00:00:33.850]   doing
[00:00:33.850 --> 00:00:34.000]  ?
[00:00:34.000 --> 00:00:34.040]   I
[00:00:34.040 --> 00:00:34.340]  'm
[00:00:34.340 --> 00:00:34.430]   doing
[00:00:34.430 --> 00:00:34.810]   alright
[00:00:34.810 --> 00:00:35.000]  .
[00:00:35.000 --> 00:00:35.270]   Well
[00:00:35.270 --> 00:00:35.350]  ,
[00:00:35.350 --> 00:00:35.400]   so
[00:00:35.400 --> 00:00:35.450]   I
[00:00:35.450 --> 00:00:35.600]   don
[00:00:35.600 --> 00:00:35.710]  't
[00:00:35.710 --> 00:00:35.900]   even
[00:00:35.900 --> 00:00:36.090]   know
[00:00:36.090 --> 00:00:36.300]   what
[00:00:36.300 --> 00:00:36.500]   this
[00:00:36.500 --> 00:00:36.650]   Per
[00:00:36.650 --> 00:00:36.800]  isc
[00:00:36.800 --> 00:00:37.040]  ope
[00:00:37.040 --> 00:00:37.330]   thing
[00:00:37.330 --> 00:00:37.460]   is
[00:00:37.460 --> 00:00:37.650]  .
[00:00:37.650 --> 00:00:37.710]   I
[00:00:37.710 --> 00:00:38.000]   just
[00:00:38.000 --> 00:00:38.330]   sat
[00:00:38.330 --> 00:00:38.920]   down
[00:00:38.920 --> 00:00:39.000]  ,
[00:00:39.000 --> 00:00:39.090]   I
[00:00:39.090 --> 00:00:39.450]   have
[00:00:39.450 --> 00:00:39.540]   a
[00:00:39.540 --> 00:00:40.080]   camera
[00:00:40.080 --> 00:00:40.260]   in
[00:00:40.260 --> 00:00:40.440]   my
[00:00:40.440 --> 00:00:40.480]   face
[00:00:40.480 --> 00:00:41.100]  ,
[00:00:41.100 --> 00:00:41.200]   you
[00:00:41.200 --> 00:00:41.240]   have
[00:00:41.240 --> 00:00:41.270]   a
[00:00:41.270 --> 00:00:41.370]   big
[00:00:41.370 --> 00:00:41.540]   smile
[00:00:41.540 --> 00:00:41.630]   on
[00:00:41.630 --> 00:00:41.750]   your
[00:00:41.750 --> 00:00:41.890]   face
[00:00:41.890 --> 00:00:42.000]  ,
[00:00:42.000 --> 00:00:42.090]   I
[00:00:42.090 --> 00:00:42.280]   feel
[00:00:42.280 --> 00:00:42.560]   like
[00:00:42.560 --> 00:00:42.580]   I
[00:00:42.580 --> 00:00:42.670]  'm
[00:00:42.670 --> 00:00:43.000]   being
[00:00:43.000 --> 00:00:43.000]   punk
[00:00:43.000 --> 00:00:43.000]  ed
[00:00:43.000 --> 00:00:43.000]  .
[00:00:43.000 --> 00:00:43.140]   No
[00:00:43.140 --> 00:00:43.280]  ,
[00:00:43.280 --> 00:00:43.610]   you
[00:00:43.610 --> 00:00:43.720]  're
[00:00:43.720 --> 00:00:43.940]   not
[00:00:43.940 --> 00:00:44.310]   being
[00:00:44.310 --> 00:00:44.640]   punk
[00:00:44.640 --> 00:00:44.740]  ed
[00:00:44.740 --> 00:00:45.000]  .
[00:00:45.000 --> 00:00:45.090]   No
[00:00:45.090 --> 00:00:45.180]  ,
[00:00:45.180 --> 00:00:45.270]   no
[00:00:45.270 --> 00:00:45.360]  ,
[00:00:45.360 --> 00:00:45.450]   no
[00:00:45.450 --> 00:00:45.580]  .
[00:00:45.580 --> 00:00:45.730]   So
[00:00:45.730 --> 00:00:45.760]  ,
[00:00:45.760 --> 00:00:46.080]   because
[00:00:46.080 --> 00:00:46.120]   I
[00:00:46.120 --> 00:00:46.300]   told
[00:00:46.300 --> 00:00:46.470]   you
[00:00:46.470 --> 00:00:46.470]   I
[00:00:46.470 --> 00:00:46.610]   was
[00:00:46.610 --> 00:00:46.880]   going
[00:00:46.880 --> 00:00:47.000]   to
[00:00:47.000 --> 00:00:47.270]   stream
[00:00:47.270 --> 00:00:47.360]   it
[00:00:47.360 --> 00:00:47.540]   live
[00:00:47.540 --> 00:00:47.630]  ,
[00:00:47.630 --> 00:00:47.850]   right
[00:00:47.850 --> 00:00:48.000]  ?
[00:00:48.000 --> 00:00:48.260]   Right
[00:00:48.260 --> 00:00:48.360]  ,
[00:00:48.360 --> 00:00:48.410]   I
[00:00:48.410 --> 00:00:48.620]   knew
[00:00:48.620 --> 00:00:48.830]   that
[00:00:48.830 --> 00:00:49.000]  .
[00:00:49.000 --> 00:00:49.300]   And
[00:00:49.300 --> 00:00:49.500]   you
[00:00:49.500 --> 00:00:49.840]   said
[00:00:49.840 --> 00:00:50.000]  ,
[00:00:50.000 --> 00:00:50.340]   okay
[00:00:50.340 --> 00:00:50.520]  ,
[00:00:50.520 --> 00:00:50.840]   well
[00:00:50.840 --> 00:00:51.000]  ,
[00:00:51.000 --> 00:00:51.340]   send
[00:00:51.340 --> 00:00:51.510]   an
[00:00:51.510 --> 00:00:51.930]   email
[00:00:51.930 --> 00:00:52.100]   to
[00:00:52.100 --> 00:00:52.350]   the
[00:00:52.350 --> 00:00:52.720]   list
[00:00:52.720 --> 00:00:53.000]  .
[00:00:53.000 --> 00:00:53.400]   But
[00:00:53.400 --> 00:00:53.600]   the
[00:00:53.600 --> 00:00:54.350]   way
[00:00:54.350 --> 00:00:54.980]   that
[00:00:54.980 --> 00:00:55.000]  ,
[00:00:55.000 --> 00:00:55.050]   I
[00:00:55.050 --> 00:00:55.380]   mean
[00:00:55.380 --> 00:00:55.390]  ,
[00:00:55.390 --> 00:00:55.650]   that
[00:00:55.650 --> 00:00:55.730]   is
[00:00:55.730 --> 00:00:56.000]   kind
[00:00:56.000 --> 00:00:56.000]   of
[00:00:56.000 --> 00:00:56.000]   cool
[00:00:56.000 --> 00:00:56.000]  
[00:00:56.000 --> 00:00:56.260]   to
[00:00:56.260 --> 00:00:56.300]   do
[00:00:56.300 --> 00:00:56.560]   that
[00:00:56.560 --> 00:00:56.700]  ,
[00:00:56.700 --> 00:00:57.450]   obviously
[00:00:57.450 --> 00:00:57.490]   to
[00:00:57.490 --> 00:00:57.720]   get
[00:00:57.720 --> 00:00:57.980]   more
[00:00:57.980 --> 00:00:58.770]   listeners
[00:00:58.770 --> 00:00:58.980]  ,
[00:00:58.980 --> 00:00:59.060]   but
[00:00:59.060 --> 00:00:59.190]   Per
[00:00:59.190 --> 00:00:59.400]  isc
[00:00:59.400 --> 00:00:59.610]  ope
[00:00:59.610 --> 00:00:59.760]  's
[00:00:59.760 --> 00:00:59.820]   a
[00:00:59.820 --> 00:01:00.030]   bit
[00:01:00.030 --> 00:01:00.350]   more
[00:01:00.350 --> 00:01:00.620]   like
[00:01:00.620 --> 00:01:01.000]   just
[00:01:01.000 --> 00:01:01.250]   laisse
[00:01:01.250 --> 00:01:01.330]  z
[00:01:01.330 --> 00:01:01.370]  -
[00:01:01.370 --> 00:01:01.370]  f
[00:01:01.370 --> 00:01:01.530]  aire
[00:01:01.530 --> 00:01:01.690]   than
[00:01:01.690 --> 00:01:01.850]   that
[00:01:01.850 --> 00:01:02.000]  .
[00:01:02.000 --> 00:01:02.650]   Basically
[00:01:02.650 --> 00:01:02.780]  ,
