
[00:00:00.000 --> 00:00:00.830]  
[00:00:00.830 --> 00:00:03.060]   [
[00:00:03.060 --> 00:00:17.990]  Music
[00:00:17.990 --> 00:00:21.000]  ]
[00:00:21.000 --> 00:00:21.870]   Welcome
[00:00:21.870 --> 00:00:22.120]   to
[00:00:22.120 --> 00:00:23.000]   episode
[00:00:23.000 --> 00:00:23.330]   2
[00:00:23.330 --> 00:00:24.000]  99
[00:00:24.000 --> 00:00:24.180]   and
[00:00:24.180 --> 00:00:24.240]   a
[00:00:24.240 --> 00:00:24.480]   half
[00:00:24.480 --> 00:00:24.600]   of
[00:00:24.600 --> 00:00:24.780]   Tex
[00:00:24.780 --> 00:00:25.000]  ing
[00:00:25.000 --> 00:00:25.000]  ,
[00:00:25.000 --> 00:00:25.370]   hosted
[00:00:25.370 --> 00:00:25.490]   by
[00:00:25.490 --> 00:00:25.860]   myself
[00:00:25.860 --> 00:00:25.990]  ,
[00:00:25.990 --> 00:00:26.460]   Justin
[00:00:26.460 --> 00:00:26.990]   Vincent
[00:00:26.990 --> 00:00:27.110]  ,
[00:00:27.110 --> 00:00:27.280]   and
[00:00:27.280 --> 00:00:27.570]   Jason
[00:00:27.570 --> 00:00:28.000]   Roberts
[00:00:28.000 --> 00:00:28.000]  .
[00:00:28.000 --> 00:00:28.000]  
[00:00:28.000 --> 00:00:28.170]   Hey
[00:00:28.170 --> 00:00:28.540]   there
[00:00:28.540 --> 00:00:28.990]   Jason
[00:00:28.990 --> 00:00:29.010]  ,
[00:00:29.010 --> 00:00:29.210]   how
[00:00:29.210 --> 00:00:29.440]   you
[00:00:29.440 --> 00:00:29.750]   doing
[00:00:29.750 --> 00:00:30.000]  ?
[00:00:30.000 --> 00:00:30.020]   I
[00:00:30.020 --> 00:00:30.070]  'm
[00:00:30.070 --> 00:00:30.200]   doing
[00:00:30.200 --> 00:00:30.390]   alright
[00:00:30.390 --> 00:00:30.440]  ,
[00:00:30.440 --> 00:00:30.520]   how
[00:00:30.520 --> 00:00:30.650]   about
[00:00:30.650 --> 00:00:30.890]   yourself
[00:00:30.890 --> 00:00:31.000]  ?
[00:00:31.000 --> 00:00:31.540]   Not
[00:00:31.540 --> 00:00:31.610]   too
[00:00:31.610 --> 00:00:31.810]   bad
[00:00:31.810 --> 00:00:32.050]  ,
[00:00:32.050 --> 00:00:32.080]   I
[00:00:32.080 --> 00:00:32.390]   love
[00:00:32.390 --> 00:00:32.740]   the
[00:00:32.740 --> 00:00:32.870]   2
[00:00:32.870 --> 00:00:33.340]  99
[00:00:33.340 --> 00:00:33.580]   and
[00:00:33.580 --> 00:00:33.730]   a
[00:00:33.730 --> 00:00:34.000]   half
[00:00:34.000 --> 00:00:34.000]  ,
[00:00:34.000 --> 00:00:34.140]   it
[00:00:34.140 --> 00:00:34.280]  's
[00:00:34.280 --> 00:00:34.630]   like
[00:00:34.630 --> 00:00:34.790]   the
[00:00:34.790 --> 00:00:35.380]   Hogwarts
[00:00:35.380 --> 00:00:36.000]   platform
[00:00:36.000 --> 00:00:36.460]   9
[00:00:36.460 --> 00:00:36.490]   and
[00:00:36.490 --> 00:00:36.690]   3
[00:00:36.690 --> 00:00:36.760]  /
[00:00:36.760 --> 00:00:36.990]  4
[00:00:36.990 --> 00:00:37.000]  .
[00:00:37.000 --> 00:00:37.100]   I
[00:00:37.100 --> 00:00:37.990]   thought
[00:00:37.990 --> 00:00:38.040]  ,
[00:00:38.040 --> 00:00:38.350]   you
[00:00:38.350 --> 00:00:38.770]   know
[00:00:38.770 --> 00:00:39.060]  ,
[00:00:39.060 --> 00:00:39.150]   when
[00:00:39.150 --> 00:00:39.220]   we
[00:00:39.220 --> 00:00:39.420]   were
[00:00:39.420 --> 00:00:39.600]   trying
[00:00:39.600 --> 00:00:39.670]   to
[00:00:39.670 --> 00:00:40.000]   organize
[00:00:40.000 --> 00:00:40.250]   the
[00:00:40.250 --> 00:00:40.880]   special
[00:00:40.880 --> 00:00:41.490]   300
[00:00:41.490 --> 00:00:41.800]   show
[00:00:41.800 --> 00:00:42.190]   which
[00:00:42.190 --> 00:00:42.420]   Rob
[00:00:42.420 --> 00:00:42.730]   Wall
[00:00:42.730 --> 00:00:42.990]  ing
[00:00:42.990 --> 00:00:43.000]   is
[00:00:43.000 --> 00:00:43.000]   going
[00:00:43.000 --> 00:00:43.000]   to
[00:00:43.000 --> 00:00:43.000]   host
[00:00:43.000 --> 00:00:43.000]  ,
[00:00:43.000 --> 00:00:43.280]   we
[00:00:43.280 --> 00:00:43.830]   just
[00:00:43.830 --> 00:00:44.620]   couldn
[00:00:44.620 --> 00:00:44.670]  't
[00:00:44.670 --> 00:00:45.290]   get
[00:00:45.290 --> 00:00:45.600]   a
[00:00:45.600 --> 00:00:46.040]   date
[00:00:46.040 --> 00:00:46.190]   that
[00:00:46.190 --> 00:00:46.330]   was
[00:00:46.330 --> 00:00:46.560]   going
[00:00:46.560 --> 00:00:46.650]   to
[00:00:46.650 --> 00:00:46.930]   work
[00:00:46.930 --> 00:00:47.000]   out
[00:00:47.000 --> 00:00:47.250]   until
[00:00:47.250 --> 00:00:47.340]  ,
[00:00:47.340 --> 00:00:47.630]   what
[00:00:47.630 --> 00:00:47.700]  ,
[00:00:47.700 --> 00:00:47.780]   end
[00:00:47.780 --> 00:00:47.910]   of
[00:00:47.910 --> 00:00:47.960]   the
[00:00:47.960 --> 00:00:48.270]   month
[00:00:48.270 --> 00:00:48.540]   or
[00:00:48.540 --> 00:00:48.820]   something
[00:00:48.820 --> 00:00:49.000]  ?
[00:00:49.000 --> 00:00:50.000]   Yeah
[00:00:50.000 --> 00:00:50.000]  .
[00:00:50.000 --> 00:00:50.100]   And
[00:00:50.100 --> 00:00:50.160]   it
[00:00:50.160 --> 00:00:50.260]   had
[00:00:50.260 --> 00:00:50.500]   already
[00:00:50.500 --> 00:00:50.630]   been
[00:00:50.630 --> 00:00:50.760]   like
[00:00:50.760 --> 00:00:50.790]   a
[00:00:50.790 --> 00:00:51.000]   month
[00:00:51.000 --> 00:00:51.000]  ,
[00:00:51.000 --> 00:00:51.120]   so
[00:00:51.120 --> 00:00:51.150]   I
[00:00:51.150 --> 00:00:51.550]   figured
[00:00:51.550 --> 00:00:51.620]   we
[00:00:51.620 --> 00:00:51.890]   gotta
[00:00:51.890 --> 00:00:52.050]   get
[00:00:52.050 --> 00:00:52.610]   something
[00:00:52.610 --> 00:00:52.800]   going
[00:00:52.800 --> 00:00:53.000]  .
[00:00:53.000 --> 00:00:53.110]   Oh
[00:00:53.110 --> 00:00:53.220]  ,
[00:00:53.220 --> 00:00:53.270]   I
[00:00:53.270 --> 00:00:53.500]   love
[00:00:53.500 --> 00:00:53.650]   the
[00:00:53.650 --> 00:00:53.870]   idea
[00:00:53.870 --> 00:00:54.030]  ,
[00:00:54.030 --> 00:00:54.250]   when
[00:00:54.250 --> 00:00:54.380]   you
[00:00:54.380 --> 00:00:54.690]   said
[00:00:54.690 --> 00:00:54.760]   let
[00:00:54.760 --> 00:00:54.870]  's
[00:00:54.870 --> 00:00:55.000]   do
[00:00:55.000 --> 00:00:55.000]   a
[00:00:55.000 --> 00:00:55.000]   show
[00:00:55.000 --> 00:00:55.000]  ,
[00:00:55.000 --> 00:00:55.110]  
[00:00:55.110 --> 00:00:55.170]   you
[00:00:55.170 --> 00:00:55.400]   know
[00:00:55.400 --> 00:00:55.510]  ,
[00:00:55.510 --> 00:00:55.860]   99
[00:00:55.860 --> 00:00:56.030]   and
[00:00:56.030 --> 00:00:56.080]   a
[00:00:56.080 --> 00:00:56.310]   half
[00:00:56.310 --> 00:00:56.420]  ,
[00:00:56.420 --> 00:00:56.460]   I
[00:00:56.460 --> 00:00:56.580]  'm
[00:00:56.580 --> 00:00:56.810]   like
[00:00:56.810 --> 00:00:57.000]  ,
[00:00:57.000 --> 00:00:57.660]   yep
[00:00:57.660 --> 00:00:58.000]  ,
[00:00:58.000 --> 00:00:58.000]   that
[00:00:58.000 --> 00:00:58.000]  's
[00:00:58.000 --> 00:00:58.000]   awesome
[00:00:58.000 --> 00:00:58.000]  .
[00:00:58.000 --> 00:00:58.260]   That
[00:00:58.260 --> 00:00:58.340]  's
[00:00:58.340 --> 00:00:58.520]   so
[00:00:58.520 --> 00:00:58.620]   Tex
[00:00:58.620 --> 00:00:58.800]  ing
[00:00:58.800 --> 00:00:59.000]  .
[00:00:59.000 --> 00:00:59.050]   I
[00:00:59.050 --> 00:00:59.240]   mean
[00:00:59.240 --> 00:00:59.420]  ,
[00:00:59.420 --> 00:00:59.480]   but
[00:00:59.480 --> 00:00:59.630]   the
[00:00:59.630 --> 00:00:59.890]   truth
[00:00:59.890 --> 00:01:00.000]   is
[00:01:00.000 --> 00:01:00.190]  ,
[00:01:00.190 --> 00:01:00.390]   this
[00:01:00.390 --> 00:01:00.850]   already
[00:01:00.850 --> 00:01:01.000]   is
[00:01:01.000 --> 00:01:02.000]   episode
[00:01:02.000 --> 00:01:03.000]   30
[00:01:03.000 --> 00:01:03.040]  1
[00:01:03.040 --> 00:01:03.620]   right
[00:01:03.620 --> 00:01:03.990]   now
