
[00:00:00.000 --> 00:00:00.990]  
[00:00:00.990 --> 00:00:01.110]   Welcome
[00:00:01.110 --> 00:00:01.960]   to
[00:00:01.960 --> 00:00:02.660]   episode
[00:00:02.660 --> 00:00:03.500]   32
[00:00:03.500 --> 00:00:03.980]  3
[00:00:03.980 --> 00:00:04.310]   of
[00:00:04.310 --> 00:00:04.690]   Tech
[00:00:04.690 --> 00:00:04.740]  S
[00:00:04.740 --> 00:00:05.000]  ing
[00:00:05.000 --> 00:00:05.170]  ,
[00:00:05.170 --> 00:00:05.690]   hosted
[00:00:05.690 --> 00:00:05.900]   by
[00:00:05.900 --> 00:00:06.490]   myself
[00:00:06.490 --> 00:00:06.880]  ,
[00:00:06.880 --> 00:00:07.000]   Jason
[00:00:07.000 --> 00:00:26.010]   Roberts
[00:00:26.010 --> 00:00:26.080]  .
[00:00:26.080 --> 00:00:26.080]  
[00:00:26.080 --> 00:00:26.200]   On
[00:00:26.200 --> 00:00:26.520]   today
[00:00:26.520 --> 00:00:26.630]  's
[00:00:26.630 --> 00:00:26.880]   show
[00:00:26.880 --> 00:00:27.000]  ,
[00:00:27.000 --> 00:00:27.150]   we
[00:00:27.150 --> 00:00:27.310]   are
[00:00:27.310 --> 00:00:27.430]   in
[00:00:27.430 --> 00:00:27.790]   Jason
[00:00:27.790 --> 00:00:27.860]  's
[00:00:27.860 --> 00:00:28.300]   Bat
[00:00:28.300 --> 00:00:28.340]  cave
[00:00:28.340 --> 00:00:28.420]  ,
[00:00:28.420 --> 00:00:28.670]   and
[00:00:28.670 --> 00:00:28.710]   I
[00:00:28.710 --> 00:00:28.790]   am
[00:00:28.790 --> 00:00:29.320]   sitting
[00:00:29.320 --> 00:00:29.480]   with
[00:00:29.480 --> 00:00:29.580]   a
[00:00:29.580 --> 00:00:30.070]   broken
[00:00:30.070 --> 00:00:30.160]  ,
[00:00:30.160 --> 00:00:30.430]   halluc
[00:00:30.430 --> 00:00:30.760]  inating
[00:00:30.760 --> 00:00:31.380]   Jason
[00:00:31.380 --> 00:00:31.760]  .
[00:00:31.760 --> 00:00:31.860]   Wow
[00:00:31.860 --> 00:00:31.950]  ,
[00:00:31.950 --> 00:00:32.150]   Jason
[00:00:32.150 --> 00:00:32.160]  ,
[00:00:32.160 --> 00:00:32.250]   how
[00:00:32.250 --> 00:00:32.350]   are
[00:00:32.350 --> 00:00:32.450]   you
[00:00:32.450 --> 00:00:32.620]   doing
[00:00:32.620 --> 00:00:32.760]  ?
[00:00:32.760 --> 00:00:33.010]   What
[00:00:33.010 --> 00:00:33.130]  's
[00:00:33.130 --> 00:00:33.560]   going
[00:00:33.560 --> 00:00:33.630]   on
[00:00:33.630 --> 00:00:33.760]  ?
[00:00:33.760 --> 00:00:33.900]   Yeah
[00:00:33.900 --> 00:00:33.970]  ,
[00:00:33.970 --> 00:00:34.130]   I
[00:00:34.130 --> 00:00:34.170]   think
[00:00:34.170 --> 00:00:34.270]   you
[00:00:34.270 --> 00:00:34.370]   got
[00:00:34.370 --> 00:00:34.440]   it
[00:00:34.440 --> 00:00:34.610]   right
[00:00:34.610 --> 00:00:34.760]  .
[00:00:34.760 --> 00:00:34.830]   I
[00:00:34.830 --> 00:00:35.000]   do
[00:00:35.000 --> 00:00:35.250]   feel
[00:00:35.250 --> 00:00:35.660]   broken
[00:00:35.660 --> 00:00:35.880]  .
[00:00:35.880 --> 00:00:36.020]   I
[00:00:36.020 --> 00:00:36.300]   am
[00:00:36.300 --> 00:00:37.150]   halluc
[00:00:37.150 --> 00:00:38.160]  inating
[00:00:38.160 --> 00:00:38.600]  .
[00:00:38.600 --> 00:00:38.710]   I
[00:00:38.710 --> 00:00:39.180]   took
[00:00:39.180 --> 00:00:39.530]   two
[00:00:39.530 --> 00:00:39.640]   P
[00:00:39.640 --> 00:00:39.980]  erc
[00:00:39.980 --> 00:00:40.470]  oc
[00:00:40.470 --> 00:00:40.630]  ets
[00:00:40.630 --> 00:00:41.150]   this
[00:00:41.150 --> 00:00:41.860]   morning
[00:00:41.860 --> 00:00:42.280]  .
[00:00:42.280 --> 00:00:43.160]   Okay
[00:00:43.160 --> 00:00:43.280]  .
[00:00:43.280 --> 00:00:43.330]   I
[00:00:43.330 --> 00:00:43.590]   have
[00:00:43.590 --> 00:00:43.600]   a
[00:00:43.600 --> 00:00:43.880]   bunch
[00:00:43.880 --> 00:00:43.950]   of
[00:00:43.950 --> 00:00:44.160]   like
[00:00:44.160 --> 00:00:44.210]   a
[00:00:44.210 --> 00:00:44.310]   pa
[00:00:44.310 --> 00:00:44.460]  ink
[00:00:44.460 --> 00:00:44.720]  iller
[00:00:44.720 --> 00:00:44.920]  .
[00:00:44.920 --> 00:00:45.320]   And
[00:00:45.320 --> 00:00:45.370]   normally
[00:00:45.370 --> 00:00:45.410]   I
[00:00:45.410 --> 00:00:45.530]   was
[00:00:45.530 --> 00:00:45.690]   just
[00:00:45.690 --> 00:00:45.940]   taking
[00:00:45.940 --> 00:00:46.060]   one
[00:00:46.060 --> 00:00:46.140]  ,
[00:00:46.140 --> 00:00:46.260]   but
[00:00:46.260 --> 00:00:46.300]   I
[00:00:46.300 --> 00:00:46.490]   woke
[00:00:46.490 --> 00:00:46.540]   up
[00:00:46.540 --> 00:00:46.660]   and
[00:00:46.660 --> 00:00:46.700]   I
[00:00:46.700 --> 00:00:46.930]   was
[00:00:46.930 --> 00:00:46.980]   kind
[00:00:46.980 --> 00:00:47.060]   of
[00:00:47.060 --> 00:00:47.140]   in
[00:00:47.140 --> 00:00:47.180]   a
[00:00:47.180 --> 00:00:47.300]   bit
[00:00:47.300 --> 00:00:47.380]   of
[00:00:47.380 --> 00:00:47.680]   pain
[00:00:47.680 --> 00:00:47.880]  .
[00:00:47.880 --> 00:00:47.980]   So
[00:00:47.980 --> 00:00:48.030]   I
[00:00:48.030 --> 00:00:48.330]   said
[00:00:48.330 --> 00:00:48.330]  ,
[00:00:48.330 --> 00:00:48.380]   "
[00:00:48.380 --> 00:00:48.530]  All
[00:00:48.530 --> 00:00:48.790]   right
[00:00:48.790 --> 00:00:49.030]  ,
[00:00:49.030 --> 00:00:49.080]   well
[00:00:49.080 --> 00:00:49.230]  ,
[00:00:49.230 --> 00:00:49.260]   I
[00:00:49.260 --> 00:00:49.380]  'll
[00:00:49.380 --> 00:00:49.580]   take
[00:00:49.580 --> 00:00:49.730]   two
[00:00:49.730 --> 00:00:49.880]  ,"
[00:00:49.880 --> 00:00:50.130]   which
[00:00:50.130 --> 00:00:50.230]   is
[00:00:50.230 --> 00:00:50.430]   what
[00:00:50.430 --> 00:00:50.590]   the
[00:00:50.590 --> 00:00:50.870]   doctor
[00:00:50.870 --> 00:00:50.980]  ,
[00:00:50.980 --> 00:00:51.230]   you
[00:00:51.230 --> 00:00:51.330]   know
[00:00:51.330 --> 00:00:51.510]  ,
[00:00:51.510 --> 00:00:51.520]   said
[00:00:51.520 --> 00:00:51.520]  ,
[00:00:51.520 --> 00:00:51.670]   "
[00:00:51.670 --> 00:00:51.700]  You
[00:00:51.700 --> 00:00:51.840]   can
[00:00:51.840 --> 00:00:52.030]   take
[00:00:52.030 --> 00:00:52.170]   one
[00:00:52.170 --> 00:00:52.310]   or
[00:00:52.310 --> 00:00:52.400]   two
[00:00:52.400 --> 00:00:52.640]  ."
[00:00:52.640 --> 00:00:52.830]   And
[00:00:52.830 --> 00:00:52.960]   now
[00:00:52.960 --> 00:00:53.010]   I
[00:00:53.010 --> 00:00:53.120]  'm
[00:00:53.120 --> 00:00:53.480]   feeling
[00:00:53.480 --> 00:00:53.530]   a
[00:00:53.530 --> 00:00:53.840]   little
[00:00:53.840 --> 00:00:54.380]   light
[00:00:54.380 --> 00:00:54.440]  headed
[00:00:54.440 --> 00:00:54.640]  .
[00:00:54.640 --> 00:00:54.640]  
[00:00:54.640 --> 00:00:54.810]   And
[00:00:54.810 --> 00:00:54.860]   I
[00:00:54.860 --> 00:00:55.130]   think
[00:00:55.130 --> 00:00:55.370]   you
[00:00:55.370 --> 00:00:55.480]  're
[00:00:55.480 --> 00:00:55.920]   sitting
[00:00:55.920 --> 00:00:55.990]   in
[00:00:55.990 --> 00:00:56.270]   front
[00:00:56.270 --> 00:00:56.420]   of
[00:00:56.420 --> 00:00:56.490]   me
[00:00:56.490 --> 00:00:56.720]  .
[00:00:56.720 --> 00:00:56.830]   How
[00:00:56.830 --> 00:00:56.970]   long
[00:00:56.970 --> 00:00:57.080]   ago
[00:00:57.080 --> 00:00:57.190]   did
[00:00:57.190 --> 00:00:57.300]   you
[00:00:57.300 --> 00:00:57.440]   take
[00:00:57.440 --> 00:00:57.580]   them
[00:00:57.580 --> 00:00:57.720]  ?
[00:00:57.720 --> 00:00:58.000]   I
[00:00:58.000 --> 00:00:58.000]   don
[00:00:58.000 --> 00:00:58.140]  't
[00:00:58.140 --> 00:00:58.420]   know
[00:00:58.420 --> 00:00:58.840]  ,
[00:00:58.840 --> 00:00:58.910]   maybe
[00:00:58.910 --> 00:00:59.250]   just
[00:00:59.250 --> 00:00:59.330]   an
[00:00:59.330 --> 00:00:59.610]   hour
[00:00:59.610 --> 00:00:59.820]   ago
[00:00:59.820 --> 00:00:59.960]  ,
[00:00:59.960 --> 00:01:00.380]   45
[00:01:00.380 --> 00:01:00.870]   minutes
[00:01:00.870 --> 00:01:01.080]   ago
[00:01:01.080 --> 00:01:01.320]  .
