
[00:00:00.000 --> 00:00:00.010]  
[00:00:00.010 --> 00:00:00.540]   '
[00:00:00.540 --> 00:00:02.170]  Kay
[00:00:02.170 --> 00:00:03.800]   let
[00:00:03.800 --> 00:00:04.880]  's
[00:00:04.880 --> 00:00:05.960]  ,
[00:00:05.960 --> 00:00:07.590]   get
[00:00:07.590 --> 00:00:11.400]   started
[00:00:11.400 --> 00:00:13.080]  .
[00:00:13.080 --> 00:00:13.080]  
[00:00:13.080 --> 00:00:13.270]   Uh
[00:00:13.270 --> 00:00:13.960]   welcome
[00:00:13.960 --> 00:00:14.150]   to
[00:00:14.150 --> 00:00:14.840]   episode
[00:00:14.840 --> 00:00:15.430]   twenty
[00:00:15.430 --> 00:00:15.720]   six
[00:00:15.720 --> 00:00:15.910]   of
[00:00:15.910 --> 00:00:16.300]   Tech
[00:00:16.300 --> 00:00:16.390]  S
[00:00:16.390 --> 00:00:16.680]  ink
[00:00:16.680 --> 00:00:17.270]   hosted
[00:00:17.270 --> 00:00:17.460]   by
[00:00:17.460 --> 00:00:18.050]   myself
[00:00:18.050 --> 00:00:18.640]   Justin
[00:00:18.640 --> 00:00:18.830]  ,
[00:00:18.830 --> 00:00:19.520]   Vincent
[00:00:19.520 --> 00:00:19.810]   and
[00:00:19.810 --> 00:00:20.300]   Jason
[00:00:20.300 --> 00:00:20.990]   Roberts
[00:00:20.990 --> 00:00:21.280]  .
[00:00:21.280 --> 00:00:21.570]   And
[00:00:21.570 --> 00:00:22.060]   today
[00:00:22.060 --> 00:00:22.250]   we
[00:00:22.250 --> 00:00:22.640]   have
[00:00:22.640 --> 00:00:22.730]   a
[00:00:22.730 --> 00:00:23.420]   special
[00:00:23.420 --> 00:00:23.910]   guest
[00:00:23.910 --> 00:00:24.300]   with
[00:00:24.300 --> 00:00:24.490]   us
[00:00:24.490 --> 00:00:25.180]   Jessica
[00:00:25.180 --> 00:00:25.370]   Ma
[00:00:25.370 --> 00:00:25.660]  .
[00:00:25.660 --> 00:00:26.350]   Jessica
[00:00:26.350 --> 00:00:26.640]   who
[00:00:26.640 --> 00:00:27.320]   studied
[00:00:27.320 --> 00:00:28.120]   computer
[00:00:28.120 --> 00:00:28.830]   science
[00:00:28.830 --> 00:00:29.240]   at
[00:00:29.240 --> 00:00:29.790]   Berkeley
[00:00:29.790 --> 00:00:30.080]   and
[00:00:30.080 --> 00:00:30.280]   is
[00:00:30.280 --> 00:00:30.560]   now
[00:00:30.560 --> 00:00:30.850]   the
[00:00:30.850 --> 00:00:31.540]   founder
[00:00:31.540 --> 00:00:31.730]   of
[00:00:31.730 --> 00:00:32.050]   ind
[00:00:32.050 --> 00:00:32.210]  in
[00:00:32.210 --> 00:00:32.500]  ero
[00:00:32.500 --> 00:00:32.620]   dot
[00:00:32.620 --> 00:00:33.370]   com
[00:00:33.370 --> 00:00:33.410]   How
[00:00:33.410 --> 00:00:33.660]  .
[00:00:33.660 --> 00:00:33.940]   do
[00:00:33.940 --> 00:00:33.950]   I
[00:00:33.950 --> 00:00:34.830]   pronounce
[00:00:34.830 --> 00:00:35.220]   that
[00:00:35.220 --> 00:00:35.910]   Jessica
[00:00:35.910 --> 00:00:37.340]  ? [SPEAKER_TURN]
[00:00:37.340 --> 00:00:37.650]   Yeah
[00:00:37.650 --> 00:00:37.800]   it
[00:00:37.800 --> 00:00:37.950]  's
[00:00:37.950 --> 00:00:38.100]   uh
[00:00:38.100 --> 00:00:38.330]   ind
[00:00:38.330 --> 00:00:38.480]  in
[00:00:38.480 --> 00:00:38.710]  ero
[00:00:38.710 --> 00:00:38.940]   dot
[00:00:38.940 --> 00:00:39.170]   com
[00:00:39.170 --> 00:00:39.480]  . [SPEAKER_TURN]
[00:00:39.480 --> 00:00:39.580]   Ind
