
[00:00:00.000 --> 00:00:00.020]  
[00:00:00.020 --> 00:00:01.440]   All
[00:00:01.440 --> 00:00:03.840]   right
[00:00:03.840 --> 00:00:04.320]   g
[00:00:04.320 --> 00:00:05.280]  ee
[00:00:05.280 --> 00:00:06.720]  zer
[00:00:06.720 --> 00:00:07.680]  ,
[00:00:07.680 --> 00:00:11.050]   Welcome
[00:00:11.050 --> 00:00:12.010]   to
[00:00:12.010 --> 00:00:15.380]   episode
[00:00:15.380 --> 00:00:18.270]   thirty
[00:00:18.270 --> 00:00:19.710]   one
[00:00:19.710 --> 00:00:20.670]   of
[00:00:20.670 --> 00:00:24.030]   texting
[00:00:24.030 --> 00:00:25.540]  .
[00:00:25.540 --> 00:00:25.540]  
[00:00:25.540 --> 00:00:26.260]   I
[00:00:26.260 --> 00:00:32.720]  'm
[00:00:32.720 --> 00:00:33.000]   Very
[00:00:33.000 --> 00:00:33.280]   nice
[00:00:33.280 --> 00:00:33.480]  .
[00:00:33.480 --> 00:00:33.750]   You
[00:00:33.750 --> 00:00:34.140]   know
[00:00:34.140 --> 00:00:34.250]   what
[00:00:34.250 --> 00:00:34.320]   I
[00:00:34.320 --> 00:00:34.500]   I
[00:00:34.500 --> 00:00:34.670]   feel
[00:00:34.670 --> 00:00:34.950]   like
[00:00:34.950 --> 00:00:35.080]   I
[00:00:35.080 --> 00:00:35.150]  'm
[00:00:35.150 --> 00:00:35.980]   experiencing
[00:00:35.980 --> 00:00:36.120]   de
[00:00:36.120 --> 00:00:36.250]  ja
[00:00:36.250 --> 00:00:36.320]   v
[00:00:36.320 --> 00:00:36.380]  u
[00:00:36.380 --> 00:00:36.630]  .
[00:00:36.630 --> 00:00:36.730]   I
[00:00:36.730 --> 00:00:36.910]   don
[00:00:36.910 --> 00:00:37.360]  't
[00:00:37.360 --> 00:00:37.400]   know
[00:00:37.400 --> 00:00:37.580]   why
[00:00:37.580 --> 00:00:38.400]  . [SPEAKER_TURN]
[00:00:38.400 --> 00:00:38.460]   '
[00:00:38.460 --> 00:00:38.510]  Cause
[00:00:38.510 --> 00:00:39.060]   we
[00:00:39.060 --> 00:00:39.480]   recorded
[00:00:39.480 --> 00:00:39.610]   an
[00:00:39.610 --> 00:00:40.020]   entire
[00:00:40.020 --> 00:00:40.290]   show
[00:00:40.290 --> 00:00:40.560]   last
[00:00:40.560 --> 00:00:40.830]   week
[00:00:40.830 --> 00:00:41.030]   and
[00:00:41.030 --> 00:00:41.160]   uh
[00:00:41.160 --> 00:00:41.610]   forgot
[00:00:41.610 --> 00:00:41.700]   to
[00:00:41.700 --> 00:00:42.040]   press
[00:00:42.040 --> 00:00:42.280]   the
[00:00:42.280 --> 00:00:42.650]   record
[00:00:42.650 --> 00:00:43.060]   button
[00:00:43.060 --> 00:00:43.400]  . [SPEAKER_TURN]
[00:00:44.560 --> 00:00:44.650]  
[00:00:44.650 --> 00:00:44.830]   Yeah
[00:00:44.830 --> 00:00:44.960]  ,
[00:00:44.960 --> 00:00:45.230]   that
[00:00:45.230 --> 00:00:45.830]   pretty
[00:00:45.830 --> 00:00:45.910]   much
[00:00:45.910 --> 00:00:46.320]   sucked
[00:00:46.320 --> 00:00:46.520]  .
[00:00:46.520 --> 00:00:46.660]   So
[00:00:46.660 --> 00:00:46.800]   uh
[00:00:46.800 --> 00:00:46.940]   if
[00:00:46.940 --> 00:00:47.540]   everyone
[00:00:47.540 --> 00:00:47.900]   anyone
[00:00:47.900 --> 00:00:48.100]   out
[00:00:48.100 --> 00:00:48.440]   there
[00:00:48.440 --> 00:00:48.660]   who
[00:00:48.660 --> 00:00:48.770]  's
[00:00:48.770 --> 00:00:49.390]   wondering
[00:00:49.390 --> 00:00:49.590]   why
[00:00:49.590 --> 00:00:49.930]   there
[00:00:49.930 --> 00:00:50.130]   was
[00:00:50.130 --> 00:00:50.200]   a
[00:00:50.200 --> 00:00:50.470]   long
[00:00:50.470 --> 00:00:50.540]   I
