
[00:00:00.000 --> 00:00:00.020]  
[00:00:00.020 --> 00:00:05.390]   â™
[00:00:05.390 --> 00:00:08.080]  ª
[00:00:20.920 --> 00:00:20.920]  
[00:00:20.920 --> 00:00:21.360]   Welcome
[00:00:21.360 --> 00:00:21.480]   to
[00:00:21.480 --> 00:00:21.920]   episode
[00:00:21.920 --> 00:00:22.230]   fifty
[00:00:22.230 --> 00:00:22.420]   one
[00:00:22.420 --> 00:00:22.540]   of
[00:00:22.540 --> 00:00:22.980]   texting
[00:00:22.980 --> 00:00:23.100]  ,
[00:00:23.100 --> 00:00:23.470]   hosted
[00:00:23.470 --> 00:00:23.590]   by
[00:00:23.590 --> 00:00:23.960]   myself
[00:00:23.960 --> 00:00:24.330]   Justin
[00:00:24.330 --> 00:00:24.450]  ,
[00:00:24.450 --> 00:00:24.890]   Vincent
[00:00:24.890 --> 00:00:25.080]   and
[00:00:25.080 --> 00:00:25.390]   Jason
[00:00:25.390 --> 00:00:25.830]   Roberts
[00:00:25.830 --> 00:00:26.050]  .
[00:00:26.050 --> 00:00:26.200]   And
[00:00:26.200 --> 00:00:26.350]   on
[00:00:26.350 --> 00:00:26.580]   this
[00:00:26.580 --> 00:00:26.820]   week
[00:00:26.820 --> 00:00:26.940]  's
[00:00:26.940 --> 00:00:27.190]   show
[00:00:27.190 --> 00:00:27.310]   we
[00:00:27.310 --> 00:00:27.560]   have
[00:00:27.560 --> 00:00:27.620]   a
[00:00:27.620 --> 00:00:27.870]   very
[00:00:27.870 --> 00:00:28.310]   special
[00:00:28.310 --> 00:00:28.560]   guest
[00:00:28.560 --> 00:00:28.850]   with
[00:00:28.850 --> 00:00:29.120]   us
[00:00:29.120 --> 00:00:29.550]   Sebastian
[00:00:29.550 --> 00:00:29.670]  ,
[00:00:29.670 --> 00:00:29.870]   Ar
[00:00:29.870 --> 00:00:29.910]  no
[00:00:29.910 --> 00:00:30.100]   who
[00:00:30.100 --> 00:00:30.220]  ,
[00:00:30.220 --> 00:00:30.280]   I
[00:00:30.280 --> 00:00:30.530]   met
[00:00:30.530 --> 00:00:30.930]   because
[00:00:30.930 --> 00:00:31.030]   uh
[00:00:31.030 --> 00:00:31.280]   some
[00:00:31.280 --> 00:00:31.390]   of
[00:00:31.390 --> 00:00:31.590]   you
[00:00:31.590 --> 00:00:31.780]   may
[00:00:31.780 --> 00:00:32.050]   may
[00:00:32.050 --> 00:00:32.220]   have
[00:00:32.220 --> 00:00:32.470]   been
[00:00:32.470 --> 00:00:33.030]   following
[00:00:33.030 --> 00:00:33.220]   the
[00:00:33.220 --> 00:00:33.580]   show
[00:00:33.580 --> 00:00:33.660]   and
[00:00:33.660 --> 00:00:33.910]   know
[00:00:33.910 --> 00:00:34.160]   that
[00:00:34.160 --> 00:00:34.220]   I
[00:00:34.220 --> 00:00:34.660]   created
[00:00:34.660 --> 00:00:34.910]   this
[00:00:34.910 --> 00:00:35.220]   board
[00:00:35.220 --> 00:00:35.530]   game
[00:00:35.530 --> 00:00:35.840]   called
[00:00:35.840 --> 00:00:36.420]   Swarm
[00:00:36.420 --> 00:00:36.600]  .
[00:00:36.600 --> 00:00:36.950]   And
[00:00:36.950 --> 00:00:36.990]   one
[00:00:36.990 --> 00:00:37.060]   of
[00:00:37.060 --> 00:00:37.220]   the
[00:00:37.220 --> 00:00:37.610]   things
[00:00:37.610 --> 00:00:37.810]   that
[00:00:37.810 --> 00:00:37.860]   I
[00:00:37.860 --> 00:00:38.210]   really
[00:00:38.210 --> 00:00:38.440]   need
[00:00:38.440 --> 00:00:38.730]   help
[00:00:38.730 --> 00:00:38.900]   with
[00:00:38.900 --> 00:00:39.010]   is
[00:00:39.010 --> 00:00:39.120]   uh
[00:00:39.120 --> 00:00:39.230]   an
[00:00:39.230 --> 00:00:39.280]   A
[00:00:39.280 --> 00:00:39.330]  _
[00:00:39.330 --> 00:00:39.380]  I
[00:00:39.380 --> 00:00:39.430]  _
[00:00:39.430 --> 00:00:39.840]   created
[00:00:39.840 --> 00:00:40.010]   for
[00:00:40.010 --> 00:00:40.240]   this
[00:00:40.240 --> 00:00:40.630]   board
[00:00:40.630 --> 00:00:40.760]   game
[00:00:40.760 --> 00:00:41.110]  .
[00:00:41.110 --> 00:00:41.270]   One
[00:00:41.270 --> 00:00:41.450]   of
[00:00:41.450 --> 00:00:41.530]   the
[00:00:41.530 --> 00:00:41.730]   very
[00:00:41.730 --> 00:00:42.000]   first
[00:00:42.000 --> 00:00:42.200]   blog
[00:00:42.200 --> 00:00:42.460]   posts
[00:00:42.460 --> 00:00:42.670]   that
[00:00:42.670 --> 00:00:42.720]   I
[00:00:42.720 --> 00:00:42.870]   did
[00:00:42.870 --> 00:00:43.160]   about
[00:00:43.160 --> 00:00:43.390]   Swarm
[00:00:43.390 --> 00:00:43.440]   I
[00:00:43.440 --> 00:00:43.540]  ,
[00:00:43.540 --> 00:00:43.760]   said
