
[00:00:00.000 --> 00:00:00.570]  
[00:00:00.570 --> 00:00:00.640]   [
[00:00:00.640 --> 00:00:01.280]  M
[00:00:01.280 --> 00:00:02.560]  US
[00:00:02.560 --> 00:00:03.840]  IC
[00:00:03.840 --> 00:00:04.500]  ]
[00:00:04.500 --> 00:00:05.700]   Tech
[00:00:05.700 --> 00:00:05.900]  .
[00:00:05.900 --> 00:00:06.100]   The
[00:00:06.100 --> 00:00:06.440]   final
[00:00:06.440 --> 00:00:06.990]   frontier
[00:00:06.990 --> 00:00:07.220]  .
[00:00:07.220 --> 00:00:07.890]   These
[00:00:07.890 --> 00:00:08.280]   are
[00:00:08.280 --> 00:00:08.690]   the
[00:00:08.690 --> 00:00:09.090]   voy
[00:00:09.090 --> 00:00:09.630]  ages
[00:00:09.630 --> 00:00:09.900]   of
[00:00:09.900 --> 00:00:10.300]   the
[00:00:10.300 --> 00:00:10.840]   star
[00:00:10.840 --> 00:00:11.380]   ship
[00:00:11.380 --> 00:00:11.700]  ,
[00:00:11.700 --> 00:00:12.000]   Tex
[00:00:12.000 --> 00:00:12.300]  ing
[00:00:12.300 --> 00:00:12.620]  .
[00:00:12.620 --> 00:00:13.110]   Its
[00:00:13.110 --> 00:00:13.770]   five
[00:00:13.770 --> 00:00:14.430]   year
[00:00:14.430 --> 00:00:15.590]   mission
[00:00:15.590 --> 00:00:15.920]   to
[00:00:15.920 --> 00:00:17.080]   explore
[00:00:17.080 --> 00:00:18.240]   strange
[00:00:18.240 --> 00:00:18.730]   new
[00:00:18.730 --> 00:00:19.760]   guests
[00:00:19.760 --> 00:00:19.760]  .
[00:00:19.760 --> 00:00:20.050]   To
[00:00:20.050 --> 00:00:20.640]   seek
[00:00:20.640 --> 00:00:21.080]   out
[00:00:21.080 --> 00:00:22.110]   strange
[00:00:22.110 --> 00:00:22.550]   new
[00:00:22.550 --> 00:00:23.290]   hacks
[00:00:23.290 --> 00:00:23.730]   and
[00:00:23.730 --> 00:00:24.320]   geek
[00:00:24.320 --> 00:00:24.760]  ery
[00:00:24.760 --> 00:00:25.260]  .
[00:00:29.020 --> 00:00:29.060]  
[00:00:29.060 --> 00:00:29.410]   And
[00:00:29.410 --> 00:00:30.190]   boldly
[00:00:30.190 --> 00:00:30.450]   go
[00:00:30.450 --> 00:00:31.100]   where
[00:00:31.100 --> 00:00:31.360]   no
[00:00:31.360 --> 00:00:31.880]   tech
[00:00:31.880 --> 00:00:32.790]   podcast
[00:00:32.790 --> 00:00:33.180]   has
[00:00:33.180 --> 00:00:33.700]   gone
[00:00:33.700 --> 00:00:34.520]   before
[00:00:34.520 --> 00:00:34.520]  .
[00:00:34.520 --> 00:00:36.320]   Just
[00:00:36.320 --> 00:00:39.480]   kidding
[00:00:39.480 --> 00:00:40.840]  .
[00:00:54.960 --> 00:00:54.970]  
[00:00:54.970 --> 00:00:55.520]   Welcome
[00:00:55.520 --> 00:00:55.680]   to
[00:00:55.680 --> 00:00:56.240]   episode
[00:00:56.240 --> 00:00:56.720]   eighty
[00:00:56.720 --> 00:00:56.960]   six
[00:00:56.960 --> 00:00:57.120]   of
[00:00:57.120 --> 00:00:57.360]   the
[00:00:57.360 --> 00:00:58.080]   fantastic
[00:00:58.080 --> 00:00:58.320]   Tex
[00:00:58.320 --> 00:00:58.560]  ing
[00:00:58.560 --> 00:00:59.050]   hosted
[00:00:59.050 --> 00:00:59.200]   by
[00:00:59.200 --> 00:00:59.680]   myself
[00:00:59.680 --> 00:01:00.160]   Justin
[00:01:00.160 --> 00:01:00.320]  ,
[00:01:00.320 --> 00:01:00.890]   Vincent
[00:01:00.890 --> 00:01:01.180]   and
[00:01:01.180 --> 00:01:01.520]   Jason
[00:01:01.520 --> 00:01:02.080]   Roberts
[00:01:02.080 --> 00:01:02.380]  . [SPEAKER_TURN]
[00:01:02.380 --> 00:01:02.650]   Don
[00:01:02.650 --> 00:01:02.680]  't
[00:01:02.680 --> 00:01:02.860]   you
[00:01:02.860 --> 00:01:03.120]   mean
[00:01:03.120 --> 00:01:03.480]   eighty
[00:01:03.480 --> 00:01:03.660]   six
[00:01:03.660 --> 00:01:03.720]   B
[00:01:03.720 --> 00:01:03.780]  _
[00:01:03.780 --> 00:01:04.520]  ? [SPEAKER_TURN]
[00:01:04.520 --> 00:01:04.660]   Oh
[00:01:04.660 --> 00:01:04.800]   my
[00:01:04.800 --> 00:01:05.200]   lord
[00:01:05.200 --> 00:01:05.310]  .
[00:01:05.310 --> 00:01:05.380]   I
[00:01:05.380 --> 00:01:05.450]   I
[00:01:05.450 --> 00:01:05.740]   tell
[00:01:05.740 --> 00:01:05.960]   you
[00:01:05.960 --> 00:01:06.100]   it
[00:01:06.100 --> 00:01:06.240]  's
[00:01:06.240 --> 00:01:06.600]   taken
[00:01:06.600 --> 00:01:06.820]   all
[00:01:06.820 --> 00:01:06.960]   my
[00:01:06.960 --> 00:01:07.540]   strength
[00:01:07.540 --> 00:01:07.850]   to
[00:01:07.850 --> 00:01:08.040]   sound
[00:01:08.040 --> 00:01:08.910]   enthusiastic
[00:01:08.910 --> 00:01:09.210]   with
[00:01:09.210 --> 00:01:09.500]   that
[00:01:09.500 --> 00:01:09.910]   intro
[00:01:09.910 --> 00:01:10.220]   right
[00:01:10.220 --> 00:01:10.580]   there
[00:01:10.580 --> 00:01:10.940]  . [SPEAKER_TURN]
[00:01:10.940 --> 00:01:11.530]   Well
[00:01:11.530 --> 00:01:11.850]   alright
[00:01:11.850 --> 00:01:12.070]   why
[00:01:12.070 --> 00:01:12.230]   don
[00:01:12.230 --> 00:01:12.380]  't
[00:01:12.380 --> 00:01:12.610]   you
[00:01:12.610 --> 00:01:12.910]   give
[00:01:12.910 --> 00:01:13.140]   the
[00:01:13.140 --> 00:01:13.290]   uh
[00:01:13.290 --> 00:01:13.590]   tell
[00:01:13.590 --> 00:01:13.820]   the
[00:01:13.820 --> 00:01:14.200]   story
[00:01:14.200 --> 00:01:15.080]  . [SPEAKER_TURN]
[00:01:15.480 --> 00:01:15.550]  
[00:01:15.550 --> 00:01:15.730]   The
[00:01:15.730 --> 00:01:16.100]   story
[00:01:16.100 --> 00:01:16.190]   is
[00:01:16.190 --> 00:01:16.470]   that
[00:01:16.470 --> 00:01:17.120]   yesterday
[00:01:17.120 --> 00:01:17.270]   we
[00:01:17.270 --> 00:01:17.880]   recorded
[00:01:17.880 --> 00:01:18.110]   once
[00:01:18.110 --> 00:01:18.550]   again
[00:01:18.550 --> 00:01:18.640]   th
[00:01:18.640 --> 00:01:18.900]   this
[00:01:18.900 --> 00:01:19.100]   the
[00:01:19.100 --> 00:01:19.340]   second
[00:01:19.340 --> 00:01:19.950]   time
[00:01:19.950 --> 00:01:20.010]   we
[00:01:20.010 --> 00:01:20.160]  've
[00:01:20.160 --> 00:01:20.440]   lost
[00:01:20.440 --> 00:01:20.510]   a
[00:01:20.510 --> 00:01:20.790]   show
[00:01:20.790 --> 00:01:20.930]  ,
[00:01:20.930 --> 00:01:21.160]   and
[00:01:21.160 --> 00:01:21.320]   it
[00:01:21.320 --> 00:01:21.490]   was
[00:01:21.490 --> 00:01:21.560]   a
[00:01:21.560 --> 00:01:21.630]   d
[00:01:21.630 --> 00:01:21.760]  **
[00:01:21.760 --> 00:01:21.830]  n
[00:01:21.830 --> 00:01:22.310]   good
[00:01:22.310 --> 00:01:22.400]   show
[00:01:22.400 --> 00:01:22.610]  .
[00:01:22.610 --> 00:01:22.820]   And
[00:01:22.820 --> 00:01:23.100]   what
[00:01:23.100 --> 00:01:23.670]   happened
[00:01:23.670 --> 00:01:23.880]   was
[00:01:23.880 --> 00:01:24.100]   the
[00:01:24.100 --> 00:01:24.450]   first
[00:01:24.450 --> 00:01:24.730]   time
[00:01:24.730 --> 00:01:24.870]   it
[00:01:24.870 --> 00:01:25.080]   was
[00:01:25.080 --> 00:01:25.940]   completely
[00:01:25.940 --> 00:01:26.030]   my
[00:01:26.030 --> 00:01:26.300]   fault
[00:01:26.300 --> 00:01:26.520]  .
[00:01:26.520 --> 00:01:26.720]   The
[00:01:26.720 --> 00:01:27.080]   first
[00:01:27.080 --> 00:01:27.360]   time
[00:01:27.360 --> 00:01:27.570]   tha
[00:01:27.570 --> 00:01:27.850]   like
[00:01:27.850 --> 00:01:28.210]   those
[00:01:28.210 --> 00:01:28.530]   few
[00:01:28.530 --> 00:01:28.880]   months
[00:01:28.880 --> 00:01:29.060]   ago
[00:01:29.060 --> 00:01:29.200]  ,
[00:01:29.200 --> 00:01:29.620]   those
[00:01:29.620 --> 00:01:29.910]   many
[00:01:29.910 --> 00:01:30.270]   months
[00:01:30.270 --> 00:01:30.480]   ago
[00:01:30.480 --> 00:01:30.620]  ,
[00:01:30.620 --> 00:01:30.690]   I
[00:01:30.690 --> 00:01:31.120]   forgot
[00:01:31.120 --> 00:01:31.260]   to
[00:01:31.260 --> 00:01:31.670]   press
[00:01:31.670 --> 00:01:32.100]   record
[00:01:32.100 --> 00:01:32.600]  .
[00:01:32.600 --> 00:01:33.160]   But
[00:01:33.160 --> 00:01:33.330]   yesterday
