
[00:00:00.000 --> 00:00:00.070]  
[00:00:00.070 --> 00:00:00.160]   J
[00:00:00.160 --> 00:00:00.970]  ingle
[00:00:00.970 --> 00:00:01.780]   bells
[00:00:01.780 --> 00:00:02.100]  ,
[00:00:02.100 --> 00:00:02.260]   j
[00:00:02.260 --> 00:00:03.060]  ingle
[00:00:03.060 --> 00:00:03.880]   bells
[00:00:03.880 --> 00:00:04.200]  ,
[00:00:04.200 --> 00:00:04.360]   j
[00:00:04.360 --> 00:00:05.170]  ingle
[00:00:05.170 --> 00:00:05.660]   all
[00:00:05.660 --> 00:00:06.150]   the
[00:00:06.150 --> 00:00:06.700]   way
[00:00:06.700 --> 00:00:07.060]   Oh
[00:00:07.060 --> 00:00:07.800]   what
[00:00:07.800 --> 00:00:08.290]   fun
[00:00:08.290 --> 00:00:08.640]   it
[00:00:08.640 --> 00:00:08.990]   is
[00:00:08.990 --> 00:00:09.340]   to
[00:00:09.340 --> 00:00:10.050]   ride
[00:00:10.050 --> 00:00:10.400]   on
[00:00:10.400 --> 00:00:10.570]   a
[00:00:10.570 --> 00:00:11.100]   one
[00:00:11.100 --> 00:00:11.270]  -
[00:00:11.270 --> 00:00:12.160]  horse
[00:00:12.160 --> 00:00:12.870]   open
[00:00:12.870 --> 00:00:13.400]   sle
[00:00:13.400 --> 00:00:14.040]  igh
[00:00:14.040 --> 00:00:14.040]  .
[00:00:14.040 --> 00:00:14.360]   Bon
[00:00:14.360 --> 00:00:14.970]   looks
[00:00:14.970 --> 00:00:15.100]   to
[00:00:15.100 --> 00:00:15.540]   that
[00:00:15.540 --> 00:00:15.540]  .
[00:00:29.420 --> 00:00:29.420]  
[00:00:29.420 --> 00:00:29.860]   Welcome
[00:00:29.860 --> 00:00:29.980]   to
[00:00:29.980 --> 00:00:30.420]   episode
[00:00:30.420 --> 00:00:30.800]   ninety
[00:00:30.800 --> 00:00:31.050]   five
[00:00:31.050 --> 00:00:31.170]   of
[00:00:31.170 --> 00:00:31.420]   Tech
[00:00:31.420 --> 00:00:31.480]  S
[00:00:31.480 --> 00:00:31.670]  ink
[00:00:31.670 --> 00:00:32.050]   hosted
[00:00:32.050 --> 00:00:32.170]   by
[00:00:32.170 --> 00:00:32.550]   myself
[00:00:32.550 --> 00:00:32.930]   Justin
[00:00:32.930 --> 00:00:33.050]  ,
[00:00:33.050 --> 00:00:33.490]   Vincent
[00:00:33.490 --> 00:00:33.710]   and
[00:00:33.710 --> 00:00:33.990]   Jason
[00:00:33.990 --> 00:00:34.430]   Roberts
[00:00:34.430 --> 00:00:34.690]  .
[00:00:34.690 --> 00:00:34.840]   Hey
[00:00:34.840 --> 00:00:35.080]   Jason
[00:00:35.080 --> 00:00:35.180]  ,
[00:00:35.180 --> 00:00:35.320]   how
[00:00:35.320 --> 00:00:35.520]   you
[00:00:35.520 --> 00:00:35.690]   doing
[00:00:35.690 --> 00:00:35.940]   today
[00:00:35.940 --> 00:00:36.140]  ?
[00:00:36.140 --> 00:00:36.190]   I
[00:00:36.190 --> 00:00:36.230]  'm
[00:00:36.230 --> 00:00:36.510]   doing
[00:00:36.510 --> 00:00:36.630]   great
[00:00:36.630 --> 00:00:36.730]   how
[00:00:36.730 --> 00:00:36.800]  ,
[00:00:36.800 --> 00:00:36.910]   you
[00:00:36.910 --> 00:00:37.100]   doing
[00:00:37.100 --> 00:00:37.600]  ? [SPEAKER_TURN]
[00:00:37.600 --> 00:00:37.760]   Not
[00:00:37.760 --> 00:00:38.080]   bad
[00:00:38.080 --> 00:00:38.110]   for
[00:00:38.110 --> 00:00:38.220]   uh
[00:00:38.220 --> 00:00:38.490]   eight
[00:00:38.490 --> 00:00:38.600]   o
[00:00:38.600 --> 00:00:38.660]  '
[00:00:38.660 --> 00:00:38.880]  clock
[00:00:38.880 --> 00:00:38.990]   on
[00:00:38.990 --> 00:00:39.040]   a
[00:00:39.040 --> 00:00:39.440]   Monday
[00:00:39.440 --> 00:00:39.780]   evening
[00:00:39.780 --> 00:00:39.950]   and
[00:00:39.950 --> 00:00:40.000]   I
[00:00:40.000 --> 00:00:40.230]   tell
[00:00:40.230 --> 00:00:40.400]   you
[00:00:40.400 --> 00:00:40.680]   what
[00:00:40.680 --> 00:00:40.800]   the
[00:00:40.800 --> 00:00:40.910]  ,
[00:00:40.910 --> 00:00:41.310]   weather
[00:00:41.310 --> 00:00:41.540]   here
[00:00:41.540 --> 00:00:41.660]   is
[00:00:41.660 --> 00:00:42.350]   unbelievable
[00:00:42.350 --> 00:00:42.390]   I
[00:00:42.390 --> 00:00:42.560]  .
[00:00:42.560 --> 00:00:42.790]   mean
[00:00:42.790 --> 00:00:42.900]   it
[00:00:42.900 --> 00:00:43.180]   makes
[00:00:43.180 --> 00:00:43.520]   London
[00:00:43.520 --> 00:00:43.750]   look
[00:00:43.750 --> 00:00:44.030]   sunny
[00:00:44.030 --> 00:00:44.840]  . [SPEAKER_TURN]
[00:00:44.840 --> 00:00:45.040]   Yeah
[00:00:45.040 --> 00:00:45.240]   it
[00:00:45.240 --> 00:00:45.360]  's
[00:00:45.360 --> 00:00:45.440]   like
[00:00:45.440 --> 00:00:45.640]   mon
[00:00:45.640 --> 00:00:45.790]  soon
[00:00:45.790 --> 00:00:46.100]   season
[00:00:46.100 --> 00:00:46.700]  . [SPEAKER_TURN]
[00:00:46.700 --> 00:00:46.700]   What
[00:00:46.700 --> 00:00:47.180]   the
[00:00:47.180 --> 00:00:47.250]   hell
[00:00:47.250 --> 00:00:47.450]   like
[00:00:47.450 --> 00:00:47.550]  ,
[00:00:47.550 --> 00:00:47.650]   it
[00:00:47.650 --> 00:00:47.750]  's
[00:00:47.750 --> 00:00:47.950]   been
[00:00:47.950 --> 00:00:48.310]   raining
[00:00:48.310 --> 00:00:48.460]   non
[00:00:48.460 --> 00:00:48.510]  -
[00:00:48.510 --> 00:00:48.710]  stop
[00:00:48.710 --> 00:00:48.860]   for
[00:00:48.860 --> 00:00:49.120]   about
[00:00:49.120 --> 00:00:49.380]   three
[00:00:49.380 --> 00:00:49.680]   days
[00:00:49.680 --> 00:00:50.240]  . [SPEAKER_TURN]
[00:00:51.020 --> 00:00:51.080]  
[00:00:51.080 --> 00:00:51.280]   Yeah
[00:00:51.280 --> 00:00:51.540]   well
[00:00:51.540 --> 00:00:51.730]   you
[00:00:51.730 --> 00:00:51.980]   know
[00:00:51.980 --> 00:00:52.250]   what
[00:00:52.250 --> 00:00:52.710]   happens
[00:00:52.710 --> 00:00:52.970]   that
[00:00:52.970 --> 00:00:53.160]   way
[00:00:53.160 --> 00:00:53.290]   in
[00:00:53.290 --> 00:00:53.480]   the
[00:00:53.480 --> 00:00:53.770]   south
[00:00:53.770 --> 00:00:54.050]   land
[00:00:54.050 --> 00:00:54.360]   I
[00:00:54.360 --> 00:00:54.460]   guess
[00:00:54.460 --> 00:00:54.590]   is
[00:00:54.590 --> 00:00:54.850]   that
[00:00:54.850 --> 00:00:55.040]   you
[00:00:55.040 --> 00:00:55.230]   you
[00:00:55.230 --> 00:00:55.620]   hardly
[00:00:55.620 --> 00:00:55.880]   have
[00:00:55.880 --> 00:00:56.070]   any
[00:00:56.070 --> 00:00:56.330]   rain
[00:00:56.330 --> 00:00:56.520]   and
[00:00:56.520 --> 00:00:56.780]   then
[00:00:56.780 --> 00:00:56.970]   the
[00:00:56.970 --> 00:00:57.360]   winter
[00:00:57.360 --> 00:00:57.620]   time
[00:00:57.620 --> 00:00:57.750]   it
[00:00:57.750 --> 00:00:58.110]   kinda
[00:00:58.110 --> 00:00:58.400]   comes
[00:00:58.400 --> 00:00:58.530]   on
[00:00:58.530 --> 00:00:59.190]   pretty
[00:00:59.190 --> 00:00:59.270]   hard
[00:00:59.270 --> 00:00:59.380]  .
[00:00:59.380 --> 00:00:59.510]   So
[00:00:59.510 --> 00:00:59.700]   but
[00:00:59.700 --> 00:00:59.890]   you
[00:00:59.890 --> 00:01:00.150]   know
[00:01:00.150 --> 00:01:00.670]   whatever
[00:01:00.670 --> 00:01:00.750]   I
[00:01:00.750 --> 00:01:01.040]  ,
[00:01:01.040 --> 00:01:01.120]   mean
[00:01:01.120 --> 00:01:01.250]   it
[00:01:01.250 --> 00:01:01.370]  's
[00:01:01.370 --> 00:01:01.970]   something
[00:01:01.970 --> 00:01:02.560]   different
[00:01:02.560 --> 00:01:02.750]  .
[00:01:02.750 --> 00:01:02.880]   It
[00:01:02.880 --> 00:01:03.060]  'll
[00:01:03.060 --> 00:01:03.130]   s
[00:01:03.130 --> 00:01:03.260]   it
[00:01:03.260 --> 00:01:03.500]  'll
[00:01:03.500 --> 00:01:03.580]   be
[00:01:03.580 --> 00:01:03.830]   over
[00:01:03.830 --> 00:01:03.970]   in
[00:01:03.970 --> 00:01:04.170]   a
[00:01:04.170 --> 00:01:04.440]   couple
[00:01:04.440 --> 00:01:04.660]   of
[00:01:04.660 --> 00:01:04.880]   weeks
[00:01:04.880 --> 00:01:05.880]  . [SPEAKER_TURN]
[00:01:05.880 --> 00:01:14.350]   Okay
[00:01:14.350 --> 00:01:20.520]  .
[00:01:20.520 --> 00:01:20.520]  
[00:01:20.520 --> 00:01:20.660]   Yeah
[00:01:20.660 --> 00:01:21.080]  . [SPEAKER_TURN]
[00:01:21.080 --> 00:01:23.920]   But
[00:01:23.920 --> 00:01:23.960]   I
[00:01:23.960 --> 00:01:24.230]   wouldn
[00:01:24.230 --> 00:01:24.330]  't
[00:01:24.330 --> 00:01:24.650]   sweat
[00:01:24.650 --> 00:01:24.790]   it
[00:01:24.790 --> 00:01:24.800]  .
[00:01:24.800 --> 00:01:24.880]   It
[00:01:24.880 --> 00:01:25.020]  'll
[00:01:25.020 --> 00:01:25.110]   be
[00:01:25.110 --> 00:01:25.290]   over
[00:01:25.290 --> 00:01:25.430]   and
[00:01:25.430 --> 00:01:25.520]   it
[00:01:25.520 --> 00:01:25.660]  'll
[00:01:25.660 --> 00:01:25.750]   be
[00:01:25.750 --> 00:01:25.980]   sunny
[00:01:25.980 --> 00:01:26.120]   for
[00:01:26.120 --> 00:01:26.300]   like
[00:01:26.300 --> 00:01:26.580]   months
[00:01:26.580 --> 00:01:26.670]   on
[00:01:26.670 --> 00:01:26.810]   end
[00:01:26.810 --> 00:01:26.950]   for
[00:01:26.950 --> 00:01:27.090]   too
[00:01:27.090 --> 00:01:27.350]   long
[00:01:27.350 --> 00:01:27.900]  . [SPEAKER_TURN]
[00:01:27.900 --> 00:01:28.220]   Okay
[00:01:28.220 --> 00:01:28.470]   so
[00:01:28.470 --> 00:01:28.550]   I
[00:01:28.550 --> 00:01:28.550]   c
[00:01:28.550 --> 00:01:28.630]   I
[00:01:28.630 --> 00:01:28.880]   got
[00:01:28.880 --> 00:01:29.040]   in
[00:01:29.040 --> 00:01:29.290]   the
[00:01:29.290 --> 00:01:29.640]   post
[00:01:29.640 --> 00:01:30.030]   today
[00:01:30.030 --> 00:01:30.360]   your
[00:01:30.360 --> 00:01:30.520]   uh
[00:01:30.520 --> 00:01:30.780]   mic
[00:01:30.780 --> 00:01:31.100]   port
[00:01:31.100 --> 00:01:31.710]   pro
[00:01:31.710 --> 00:01:31.760]   which
[00:01:31.760 --> 00:01:31.920]   is
[00:01:31.920 --> 00:01:32.250]   your
[00:01:32.250 --> 00:01:32.710]   audio
[00:01:32.710 --> 00:01:33.400]   interface
[00:01:33.400 --> 00:01:33.810]   which
[00:01:33.810 --> 00:01:34.050]   uh
[00:01:34.050 --> 00:01:34.130]   we
[00:01:34.130 --> 00:01:34.620]   bought
[00:01:34.620 --> 00:01:34.990]   with
[00:01:34.990 --> 00:01:35.200]   the
[00:01:35.200 --> 00:01:35.610]   money
[00:01:35.610 --> 00:01:35.940]   that
[00:01:35.940 --> 00:01:36.120]   we
[00:01:36.120 --> 00:01:36.540]   raised
[00:01:36.540 --> 00:01:37.170]   and
[00:01:37.170 --> 00:01:37.230]   that
[00:01:37.230 --> 00:01:37.330]  's
[00:01:37.330 --> 00:01:37.660]   yeah
[00:01:37.660 --> 00:01:37.990]   that
[00:01:37.990 --> 00:01:38.150]  's
[00:01:38.150 --> 00:01:38.430]   one
[00:01:38.430 --> 00:01:38.650]   one
[00:01:38.650 --> 00:01:38.980]   half
[00:01:38.980 --> 00:01:39.300]   of
[00:01:39.300 --> 00:01:39.630]   of
[00:01:39.630 --> 00:01:39.720]   your
[00:01:39.720 --> 00:01:40.040]   audio
[00:01:40.040 --> 00:01:40.520]   stuff
[00:01:40.520 --> 00:01:40.610]   so
[00:01:40.610 --> 00:01:40.770]   we
[00:01:40.770 --> 00:01:40.850]   I
[00:01:40.850 --> 00:01:41.010]  'm
[00:01:41.010 --> 00:01:41.590]   waiting
[00:01:41.590 --> 00:01:41.920]   for
[00:01:41.920 --> 00:01:42.090]   the
[00:01:42.090 --> 00:01:42.340]   mic
[00:01:42.340 --> 00:01:42.500]   to
[00:01:42.500 --> 00:01:42.830]   come
[00:01:42.830 --> 00:01:43.370]  .
[00:01:43.370 --> 00:01:43.500]   Now
[00:01:43.500 --> 00:01:43.680]   the
[00:01:43.680 --> 00:01:43.920]   the
[00:01:43.920 --> 00:01:44.150]   idiot
[00:01:44.150 --> 00:01:44.330]   who
[00:01:44.330 --> 00:01:44.860]   delivered
[00:01:44.860 --> 00:01:44.980]   it
[00:01:44.980 --> 00:01:45.530]   basically
[00:01:45.530 --> 00:01:45.630]   in
[00:01:45.630 --> 00:01:45.850]   the
[00:01:45.850 --> 00:01:46.220]   pouring
[00:01:46.220 --> 00:01:46.440]   rain
[00:01:46.440 --> 00:01:46.460]   there
[00:01:46.460 --> 00:01:46.930]   was
[00:01:46.930 --> 00:01:47.170]   a
[00:01:47.170 --> 00:01:47.400]   balcony
[00:01:47.400 --> 00:01:47.580]   but
[00:01:47.580 --> 00:01:47.730]   he
[00:01:47.730 --> 00:01:48.220]   decided
[00:01:48.220 --> 00:01:48.350]   just
[00:01:48.350 --> 00:01:48.470]   to
[00:01:48.470 --> 00:01:48.800]   leave
[00:01:48.800 --> 00:01:48.940]   it
[00:01:48.940 --> 00:01:49.000]   on
[00:01:49.000 --> 00:01:49.180]   the
[00:01:49.180 --> 00:01:49.550]   front
[00:01:49.550 --> 00:01:50.020]   steps
[00:01:50.020 --> 00:01:50.020]  .
[00:01:50.960 --> 00:01:50.220]   So
[00:01:50.220 --> 00:01:50.240]   it
[00:01:50.240 --> 00:01:50.430]  's
[00:01:50.430 --> 00:01:50.580]   just
[00:01:50.580 --> 00:01:51.170]   completely
[00:01:51.170 --> 00:01:51.520]   soaked
[00:01:51.520 --> 00:01:51.690]   and
[00:01:51.690 --> 00:01:52.190]   covered
[00:01:52.190 --> 00:01:52.270]   the
[00:01:52.270 --> 00:01:52.500]   main
[00:01:52.500 --> 00:01:52.670]   box
[00:01:52.670 --> 00:01:52.840]   but
[00:01:52.840 --> 00:01:53.070]   then
[00:01:53.070 --> 00:01:53.300]   when
[00:01:53.300 --> 00:01:53.390]   I
[00:01:53.390 --> 00:01:53.710]   opened
[00:01:53.710 --> 00:01:53.810]   it
[00:01:53.810 --> 00:01:53.860]   up
[00:01:53.860 --> 00:01:54.180]   it
[00:01:54.180 --> 00:01:54.210]   was
[00:01:54.210 --> 00:01:54.620]   alright
[00:01:54.620 --> 00:01:54.970]   inside
[00:01:54.970 --> 00:01:55.140]   but
[00:01:55.140 --> 00:01:55.370]   just
[00:01:55.370 --> 00:01:55.540]   why
[00:01:55.540 --> 00:01:55.830]   would
[00:01:55.830 --> 00:01:56.240]   someone
[00:01:56.240 --> 00:01:56.350]   do
[00:01:56.350 --> 00:01:56.630]   that
[00:01:56.630 --> 00:01:56.690]   it
[00:01:56.690 --> 00:01:56.800]  's
[00:01:56.800 --> 00:01:56.940]   so
[00:01:56.940 --> 00:01:57.260]   stupid
[00:01:57.260 --> 00:01:58.200]  . [SPEAKER_TURN]
[00:01:58.200 --> 00:01:58.600]   Yeah
[00:01:58.600 --> 00:01:58.780]   that
[00:01:58.780 --> 00:01:58.920]  's
[00:01:58.920 --> 00:01:59.370]   pretty
[00:01:59.370 --> 00:01:59.640]   poor
[00:01:59.640 --> 00:02:00.070]   pretty
[00:02:00.070 --> 00:02:00.490]   poor
[00:02:00.490 --> 00:02:00.960]   service
[00:02:00.960 --> 00:02:01.070]  .
[00:02:01.070 --> 00:02:01.360]   Well
[00:02:01.360 --> 00:02:01.660]   yeah
[00:02:01.660 --> 00:02:01.790]   so
[00:02:01.790 --> 00:02:01.960]   we
[00:02:01.960 --> 00:02:02.430]   decided
[00:02:02.430 --> 00:02:02.570]   to
[00:02:02.570 --> 00:02:02.930]   spend
[00:02:02.930 --> 00:02:03.140]   the
