
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.210]   Hey
[00:00:00.210 --> 00:00:00.560]  ,
[00:00:00.560 --> 00:00:00.630]   what
[00:00:00.630 --> 00:00:00.810]  's
[00:00:00.810 --> 00:00:00.980]   his
[00:00:00.980 --> 00:00:01.410]   Skype
[00:00:01.410 --> 00:00:01.470]  ?
[00:00:01.470 --> 00:00:02.210]   Is
[00:00:02.210 --> 00:00:02.220]   he
[00:00:02.220 --> 00:00:03.040]   gonna
[00:00:03.040 --> 00:00:03.740]   be
[00:00:03.740 --> 00:00:04.030]   here
[00:00:04.030 --> 00:00:04.520]   for
[00:00:04.520 --> 00:00:05.700]   this
[00:00:05.700 --> 00:00:05.740]  ?
[00:00:05.740 --> 00:00:06.350]   I
[00:00:06.350 --> 00:00:07.330]   b
[00:00:07.330 --> 00:00:07.880]   hope
[00:00:07.880 --> 00:00:08.680]   so
[00:00:08.680 --> 00:00:09.040]  .
[00:00:09.040 --> 00:00:09.250]   I
[00:00:09.250 --> 00:00:10.110]   sure
[00:00:10.110 --> 00:00:10.330]   b
[00:00:10.330 --> 00:00:11.180]   hope
[00:00:11.180 --> 00:00:11.620]   so
[00:00:11.620 --> 00:00:12.320]  .
[00:00:26.240 --> 00:00:26.240]  
[00:00:26.240 --> 00:00:28.840]   Welcome
[00:00:28.840 --> 00:00:29.580]   to
[00:00:29.580 --> 00:00:32.180]   episode
[00:00:32.180 --> 00:00:32.550]   a
[00:00:32.550 --> 00:00:35.230]   hundred
[00:00:35.230 --> 00:00:36.260]   and
[00:00:36.260 --> 00:00:39.010]   seventy
[00:00:39.010 --> 00:00:40.720]   seven
[00:00:40.720 --> 00:00:41.460]   of
[00:00:41.460 --> 00:00:42.940]   Tech
[00:00:42.940 --> 00:00:43.360]  S
[00:00:43.360 --> 00:00:43.360]  ik
[00:00:43.360 --> 00:00:43.360]   hosted
[00:00:43.360 --> 00:00:43.360]   by
[00:00:43.360 --> 00:00:43.360]   myself
[00:00:43.360 --> 00:00:43.360]   Justin
[00:00:43.360 --> 00:00:43.360]  ,
[00:00:43.360 --> 00:00:43.360]   Vincent
