
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.740]   This
[00:00:00.740 --> 00:00:00.860]   show
[00:00:00.860 --> 00:00:01.070]   is
[00:00:01.070 --> 00:00:01.280]   so
[00:00:01.280 --> 00:00:01.930]   stupid
[00:00:01.930 --> 00:00:02.350]  .
[00:00:02.350 --> 00:00:02.680]   Play
[00:00:02.680 --> 00:00:03.110]   some
[00:00:03.110 --> 00:00:03.710]   games
[00:00:03.710 --> 00:00:03.970]  .
[00:00:03.970 --> 00:00:04.400]   Play
[00:00:04.400 --> 00:00:04.830]   some
[00:00:04.830 --> 00:00:05.240]  .
[00:00:05.240 --> 00:00:05.240]  
[00:00:05.240 --> 00:00:05.640]   M
[00:00:05.640 --> 00:00:06.030]  m
[00:00:06.030 --> 00:00:07.240]  .
[00:00:07.240 --> 00:00:07.440]   M
[00:00:07.440 --> 00:00:07.640]  m
[00:00:07.640 --> 00:00:08.250]  .
[00:00:08.250 --> 00:00:08.450]   M
[00:00:08.450 --> 00:00:08.650]  m
[00:00:08.650 --> 00:00:10.960]  . [SPEAKER_TURN]
[00:00:10.960 --> 00:00:11.380]   â™
[00:00:11.380 --> 00:00:11.590]  ª
[00:00:11.590 --> 00:00:13.690]   Generation
[00:00:13.690 --> 00:00:14.530]   Zero
[00:00:14.530 --> 00:00:14.950]  ,
[00:00:14.950 --> 00:00:17.050]   generation
[00:00:17.050 --> 00:00:17.890]   Zero
[00:00:17.890 --> 00:00:18.310]  ,
[00:00:18.310 --> 00:00:20.410]   generation
[00:00:20.410 --> 00:00:21.250]   Zero
[00:00:21.250 --> 00:00:21.670]  ,
[00:00:21.670 --> 00:00:23.770]   generation
[00:00:23.770 --> 00:00:24.610]   Zero
[00:00:24.610 --> 00:00:25.240]  .
[00:00:25.240 --> 00:00:25.660]   â™
[00:00:25.660 --> 00:00:25.940]  ª
[00:00:26.360 --> 00:00:26.390]  
[00:00:26.390 --> 00:00:26.740]   Welcome
[00:00:26.740 --> 00:00:26.850]   to
[00:00:26.850 --> 00:00:27.240]   episode
[00:00:27.240 --> 00:00:27.390]   two
[00:00:27.390 --> 00:00:27.770]   hundred
[00:00:27.770 --> 00:00:27.930]   and
[00:00:27.930 --> 00:00:28.140]   five
