
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.310]   Just
[00:00:00.310 --> 00:00:00.760]   a
[00:00:00.760 --> 00:00:00.880]   quick
[00:00:00.880 --> 00:00:01.070]   note
[00:00:01.070 --> 00:00:01.220]   to
[00:00:01.220 --> 00:00:01.450]   say
[00:00:01.450 --> 00:00:01.760]   that
[00:00:01.760 --> 00:00:02.090]   this
[00:00:02.090 --> 00:00:02.610]   episode
[00:00:02.610 --> 00:00:02.760]   is
[00:00:02.760 --> 00:00:03.300]   fraught
[00:00:03.300 --> 00:00:03.610]   with
[00:00:03.610 --> 00:00:03.990]   audio
[00:00:03.990 --> 00:00:04.450]   issues
[00:00:04.450 --> 00:00:04.840]  .
[00:00:04.840 --> 00:00:05.050]   My
[00:00:05.050 --> 00:00:05.370]   microphone
[00:00:05.370 --> 00:00:05.530]   had
[00:00:05.530 --> 00:00:05.580]   a
[00:00:05.580 --> 00:00:05.900]   really
[00:00:05.900 --> 00:00:06.080]   bad
[00:00:06.080 --> 00:00:06.620]   background
[00:00:06.620 --> 00:00:06.780]   hum
[00:00:06.780 --> 00:00:06.880]   on
[00:00:06.880 --> 00:00:07.380]   it
[00:00:07.380 --> 00:00:09.240]   and
[00:00:09.240 --> 00:00:10.000]   U
[00:00:10.000 --> 00:00:10.070]  di
[00:00:10.070 --> 00:00:10.120]  's
[00:00:10.120 --> 00:00:10.460]   microphone
[00:00:10.460 --> 00:00:10.540]   just
[00:00:10.540 --> 00:00:10.660]   wasn
[00:00:10.660 --> 00:00:10.720]  't
[00:00:10.720 --> 00:00:10.840]   very
[00:00:10.840 --> 00:00:10.960]   good
[00:00:10.960 --> 00:00:11.020]  ,
[00:00:11.020 --> 00:00:11.110]   but
[00:00:11.110 --> 00:00:11.170]   we
[00:00:11.170 --> 00:00:11.260]  've
[00:00:11.260 --> 00:00:11.500]   edited
[00:00:11.500 --> 00:00:11.540]   it
[00:00:11.540 --> 00:00:11.560]   as
[00:00:11.560 --> 00:00:11.680]   best
[00:00:11.680 --> 00:00:11.740]   we
[00:00:11.740 --> 00:00:11.830]   can
[00:00:11.830 --> 00:00:11.890]   so
[00:00:11.890 --> 00:00:12.160]   hopefully
[00:00:12.160 --> 00:00:12.300]   you
[00:00:12.300 --> 00:00:12.340]   can
[00:00:12.340 --> 00:00:12.620]   forgive
[00:00:12.620 --> 00:00:12.640]   the
[00:00:12.640 --> 00:00:12.730]   odd
[00:00:12.730 --> 00:00:12.910]   glitch
