
[00:00:00.000 --> 00:00:00.100]  
[00:00:00.100 --> 00:00:00.350]   The
[00:00:00.350 --> 00:00:00.460]   audio
[00:00:00.460 --> 00:00:00.900]   quality
[00:00:00.900 --> 00:00:00.970]   of
[00:00:00.970 --> 00:00:01.200]   this
[00:00:01.200 --> 00:00:01.430]   show
[00:00:01.430 --> 00:00:01.600]   isn
[00:00:01.600 --> 00:00:01.710]  't
[00:00:01.710 --> 00:00:02.050]   quite
[00:00:02.050 --> 00:00:02.110]   as
[00:00:02.110 --> 00:00:02.340]   good
[00:00:02.340 --> 00:00:02.460]   as
[00:00:02.460 --> 00:00:02.620]   our
[00:00:02.620 --> 00:00:02.960]   normal
[00:00:02.960 --> 00:00:03.400]   shows
[00:00:03.400 --> 00:00:03.650]  ,
[00:00:03.650 --> 00:00:03.830]   because
[00:00:03.830 --> 00:00:03.940]   it
[00:00:03.940 --> 00:00:04.170]   was
[00:00:04.170 --> 00:00:04.560]   recorded
[00:00:04.560 --> 00:00:04.670]   on
[00:00:04.670 --> 00:00:04.780]   my
[00:00:04.780 --> 00:00:04.960]   Mac
[00:00:04.960 --> 00:00:05.060]  's
[00:00:05.060 --> 00:00:05.510]   internal
[00:00:05.510 --> 00:00:05.660]   mic
[00:00:05.660 --> 00:00:06.190]   rather
[00:00:06.190 --> 00:00:06.250]   than
[00:00:06.250 --> 00:00:06.420]   our
[00:00:06.420 --> 00:00:06.840]   special
[00:00:06.840 --> 00:00:07.050]   high
[00:00:07.050 --> 00:00:07.450]   quality
[00:00:07.450 --> 00:00:07.490]   m
[00:00:07.490 --> 00:00:07.710]  ics
[00:00:07.710 --> 00:00:08.120]  .
[00:00:08.120 --> 00:00:08.170]   This
[00:00:08.170 --> 00:00:08.360]   was
[00:00:08.360 --> 00:00:08.550]   due
[00:00:08.550 --> 00:00:08.690]   to
[00:00:08.690 --> 00:00:08.720]   a
[00:00:08.720 --> 00:00:08.930]   mis
[00:00:08.930 --> 00:00:09.300]  config
[00:00:09.300 --> 00:00:09.740]  uration
[00:00:09.740 --> 00:00:10.050]   error
[00:00:10.050 --> 00:00:10.170]   on
[00:00:10.170 --> 00:00:10.290]   my
[00:00:10.290 --> 00:00:10.540]   part
[00:00:10.540 --> 00:00:10.780]  .
[00:00:10.780 --> 00:00:10.850]   Ap
[00:00:10.850 --> 00:00:11.290]  ologies
[00:00:11.290 --> 00:00:11.480]   for
[00:00:11.480 --> 00:00:11.730]   that
[00:00:11.730 --> 00:00:12.000]  .
[00:00:12.000 --> 00:00:13.710]   Welcome
[00:00:13.710 --> 00:00:14.200]   to
[00:00:14.200 --> 00:00:15.910]   episode
[00:00:15.910 --> 00:00:16.640]   two
[00:00:16.640 --> 00:00:18.350]   hundred
[00:00:18.350 --> 00:00:19.080]   and
[00:00:19.080 --> 00:00:20.540]   thirty
[00:00:20.540 --> 00:00:21.760]   eight
[00:00:21.760 --> 00:00:22.250]   of
[00:00:22.250 --> 00:00:23.960]   texting
[00:00:23.960 --> 00:00:25.420]   hosted
[00:00:25.420 --> 00:00:25.910]   by
[00:00:25.910 --> 00:00:27.370]   myself
[00:00:27.370 --> 00:00:27.850]  ,
[00:00:27.850 --> 00:00:29.400]   Justin
[00:00:29.400 --> 00:00:29.920]   Vincent
[00:00:29.920 --> 00:00:29.960]  .
[00:00:30.120 --> 00:00:30.260]   Jason
[00:00:30.260 --> 00:00:30.680]   Roberts
[00:00:30.680 --> 00:00:30.850]  .
[00:00:30.850 --> 00:00:31.040]   And
[00:00:31.040 --> 00:00:31.340]   today
[00:00:31.340 --> 00:00:31.460]  's
[00:00:31.460 --> 00:00:31.980]   episode
[00:00:31.980 --> 00:00:32.000]   is
[00:00:32.000 --> 00:00:32.360]   coming
[00:00:32.360 --> 00:00:32.480]   to
[00:00:32.480 --> 00:00:32.670]   you
[00:00:32.670 --> 00:00:32.890]   from
[00:00:32.890 --> 00:00:33.200]   Add
[00:00:33.200 --> 00:00:33.230]  ie
[00:00:33.230 --> 00:00:33.400]   and
[00:00:33.400 --> 00:00:33.620]   Matt
[00:00:33.620 --> 00:00:33.740]  's
[00:00:33.740 --> 00:00:34.040]   house
[00:00:34.040 --> 00:00:34.160]   in
[00:00:34.160 --> 00:00:34.580]   Chicago
[00:00:34.580 --> 00:00:34.760]   and
[00:00:34.760 --> 00:00:35.040]   from
[00:00:35.040 --> 00:00:35.300]   Jason
[00:00:35.300 --> 00:00:35.560]  's
[00:00:35.560 --> 00:00:35.730]   house
[00:00:35.730 --> 00:00:35.840]   in
[00:00:35.840 --> 00:00:36.500]   Pasadena
[00:00:36.500 --> 00:00:36.520]  .
[00:00:36.520 --> 00:00:36.680]   Hey
[00:00:36.680 --> 00:00:37.010]   Jason
[00:00:37.010 --> 00:00:37.100]  ,
[00:00:37.100 --> 00:00:37.460]   how
[00:00:37.460 --> 00:00:37.760]   you
[00:00:37.760 --> 00:00:37.780]   doing
[00:00:37.780 --> 00:00:38.460]  ? [SPEAKER_TURN]
[00:00:38.460 --> 00:00:38.800]   Doing
[00:00:38.800 --> 00:00:38.880]   great
[00:00:38.880 --> 00:00:38.900]   How
[00:00:38.900 --> 00:00:39.000]  .
[00:00:39.000 --> 00:00:39.170]   about
