
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.330]   Oh
[00:00:00.330 --> 00:00:00.360]   this
[00:00:00.360 --> 00:00:00.440]   is
[00:00:00.440 --> 00:00:00.660]   easy
[00:00:00.660 --> 00:00:00.790]   we
[00:00:00.790 --> 00:00:01.030]   take
[00:00:01.030 --> 00:00:01.100]   up
[00:00:01.100 --> 00:00:01.210]   we
[00:00:01.210 --> 00:00:01.320]  ,
[00:00:01.320 --> 00:00:01.500]   go
[00:00:01.500 --> 00:00:01.540]   to
[00:00:01.540 --> 00:00:01.740]   our
[00:00:01.740 --> 00:00:02.190]   favourite
[00:00:02.190 --> 00:00:02.570]   French
[00:00:02.570 --> 00:00:03.070]   restaurant
[00:00:03.070 --> 00:00:03.180]   we
[00:00:03.180 --> 00:00:03.400]   take
[00:00:03.400 --> 00:00:03.580]   the
[00:00:03.580 --> 00:00:03.780]   baby
[00:00:03.780 --> 00:00:03.940]   and
[00:00:03.940 --> 00:00:04.380]   everyone
[00:00:04.380 --> 00:00:04.600]   goes
[00:00:04.600 --> 00:00:04.650]   o
[00:00:04.650 --> 00:00:04.760]  oh
[00:00:04.760 --> 00:00:04.920]   the
[00:00:04.920 --> 00:00:05.140]   baby
[00:00:05.140 --> 00:00:05.300]   and
[00:00:05.300 --> 00:00:05.420]   we
[00:00:05.420 --> 00:00:05.570]   eat
[00:00:05.570 --> 00:00:05.720]   our
[00:00:05.720 --> 00:00:05.880]   f
[00:00:05.880 --> 00:00:06.240]   â™
[00:00:06.240 --> 00:00:06.420]  ª
[00:00:06.420 --> 00:00:08.220]   Generation
[00:00:08.220 --> 00:00:08.940]   Hero
[00:00:08.940 --> 00:00:09.300]   â™
[00:00:09.300 --> 00:00:09.500]  ª
[00:00:09.500 --> 00:00:09.850]   â™
[00:00:09.850 --> 00:00:10.020]  ª
[00:00:10.020 --> 00:00:11.760]   Generation
[00:00:11.760 --> 00:00:12.460]   Hero
[00:00:12.460 --> 00:00:12.810]   â™
[00:00:12.810 --> 00:00:13.000]  ª
[00:00:13.000 --> 00:00:13.330]   â™
[00:00:13.330 --> 00:00:13.490]  ª
[00:00:13.490 --> 00:00:15.160]   Generation
[00:00:15.160 --> 00:00:15.830]   Hero
[00:00:15.830 --> 00:00:16.160]   â™
[00:00:16.160 --> 00:00:16.360]  ª
[00:00:16.360 --> 00:00:16.710]   â™
[00:00:16.710 --> 00:00:16.880]  ª
[00:00:16.880 --> 00:00:18.620]   Generation
[00:00:18.620 --> 00:00:19.320]   Hero
[00:00:19.320 --> 00:00:19.670]   â™
[00:00:19.670 --> 00:00:19.860]  ª
[00:00:19.860 --> 00:00:19.980]   It
[00:00:19.980 --> 00:00:20.100]  's
[00:00:20.100 --> 00:00:20.550]   episode
[00:00:20.550 --> 00:00:20.730]   two
[00:00:20.730 --> 00:00:21.170]   hundred
[00:00:21.170 --> 00:00:21.360]   and
[00:00:21.360 --> 00:00:21.660]   sixty
[00:00:21.660 --> 00:00:21.790]   of
[00:00:21.790 --> 00:00:22.230]   texting
[00:00:22.230 --> 00:00:22.460]  .
[00:00:22.460 --> 00:00:22.810]   What
[00:00:22.810 --> 00:00:22.970]  's
[00:00:22.970 --> 00:00:23.130]   up
[00:00:23.130 --> 00:00:23.540]   Jason
[00:00:23.540 --> 00:00:23.800]  ? [SPEAKER_TURN]
[00:00:24.520 --> 00:00:24.530]  
[00:00:24.530 --> 00:00:24.670]   Um
[00:00:24.670 --> 00:00:24.970]   good
[00:00:24.970 --> 00:00:25.040]   I
[00:00:25.040 --> 00:00:25.110]   g
[00:00:25.110 --> 00:00:25.400]   that
[00:00:25.400 --> 00:00:25.560]  's
[00:00:25.560 --> 00:00:25.630]   a
[00:00:25.630 --> 00:00:26.120]   little
[00:00:26.120 --> 00:00:26.160]   s
[00:00:26.160 --> 00:00:26.620]   little
[00:00:26.620 --> 00:00:26.920]   more
[00:00:26.920 --> 00:00:27.380]   abrupt
[00:00:27.380 --> 00:00:27.760]   intro
[00:00:27.760 --> 00:00:28.060]   than
[00:00:28.060 --> 00:00:28.130]   I
[00:00:28.130 --> 00:00:28.360]   was
[00:00:28.360 --> 00:00:29.050]   expecting
[00:00:29.050 --> 00:00:30.020]  . [SPEAKER_TURN]
[00:00:30.020 --> 00:00:30.060]   I
[00:00:30.060 --> 00:00:30.300]   wanted
[00:00:30.300 --> 00:00:30.380]   to
[00:00:30.380 --> 00:00:30.650]   throw
[00:00:30.650 --> 00:00:30.700]   you
[00:00:30.700 --> 00:00:30.740]   a
[00:00:30.740 --> 00:00:30.930]   curve
[00:00:30.930 --> 00:00:31.100]  ball
[00:00:31.100 --> 00:00:31.210]   so
[00:00:31.210 --> 00:00:31.300]   you
[00:00:31.300 --> 00:00:31.440]   how
[00:00:31.440 --> 00:00:31.540]   you
[00:00:31.540 --> 00:00:31.620]  'd
[00:00:31.620 --> 00:00:31.850]   handle
[00:00:31.850 --> 00:00:31.940]   it
[00:00:31.940 --> 00:00:32.440]  . [SPEAKER_TURN]
[00:00:32.440 --> 00:00:32.710]   Well
[00:00:32.710 --> 00:00:32.770]   it
[00:00:32.770 --> 00:00:32.800]  's
[00:00:32.800 --> 00:00:32.840]   a
[00:00:32.840 --> 00:00:33.120]   little
[00:00:33.120 --> 00:00:33.350]   early
[00:00:33.350 --> 00:00:33.440]   so
[00:00:33.440 --> 00:00:33.480]   I
[00:00:33.480 --> 00:00:33.570]  'm
[00:00:33.570 --> 00:00:33.710]   not
[00:00:33.710 --> 00:00:33.940]   gonna
[00:00:33.940 --> 00:00:34.220]   handle
[00:00:34.220 --> 00:00:34.310]   it
[00:00:34.310 --> 00:00:34.490]   well
[00:00:34.490 --> 00:00:34.620]   How
[00:00:34.620 --> 00:00:34.650]  .
[00:00:34.650 --> 00:00:34.910]   you
[00:00:34.910 --> 00:00:35.230]   feeling
[00:00:35.230 --> 00:00:35.510]  ?
[00:00:35.510 --> 00:00:35.520]   You
[00:00:35.520 --> 00:00:35.660]  're
[00:00:35.660 --> 00:00:36.030]   normally
[00:00:36.030 --> 00:00:36.170]   not
[00:00:36.170 --> 00:00:36.210]   a
[00:00:36.210 --> 00:00:36.540]   morning
[00:00:36.540 --> 00:00:36.820]   person
[00:00:36.820 --> 00:00:37.440]  . [SPEAKER_TURN]
[00:00:37.440 --> 00:00:37.740]   Well
[00:00:37.740 --> 00:00:37.740]   I
[00:00:37.740 --> 00:00:37.920]  've
[00:00:37.920 --> 00:00:38.160]   been
[00:00:38.160 --> 00:00:38.320]   up
[00:00:38.320 --> 00:00:38.590]   since
[00:00:38.590 --> 00:00:38.900]   seven
[00:00:38.900 --> 00:00:39.020]   so
[00:00:39.020 --> 00:00:39.140]   it
[00:00:39.140 --> 00:00:39.260]  's
[00:00:39.260 --> 00:00:39.380]   uh
[00:00:39.380 --> 00:00:39.500]   it
[00:00:39.500 --> 00:00:39.630]  's
[00:00:39.630 --> 00:00:39.990]   Sunday
[00:00:39.990 --> 00:00:40.110]   uh
[00:00:40.110 --> 00:00:40.350]   nine
[00:00:40.350 --> 00:00:40.410]   A
[00:00:40.410 --> 00:00:40.470]  _
[00:00:40.470 --> 00:00:40.530]  M
[00:00:40.530 --> 00:00:40.590]  _
[00:00:40.590 --> 00:00:40.830]   here
[00:00:40.830 --> 00:00:40.950]   in
[00:00:40.950 --> 00:00:41.440]   Pasadena
[00:00:41.440 --> 00:00:42.220]  . [SPEAKER_TURN]
[00:00:42.220 --> 00:00:42.340]   Why
[00:00:42.340 --> 00:00:42.460]   are
[00:00:42.460 --> 00:00:42.610]   you
[00:00:42.610 --> 00:00:42.660]   up
[00:00:42.660 --> 00:00:42.740]   at
[00:00:42.740 --> 00:00:42.940]   seven
[00:00:42.940 --> 00:00:42.980]   o
[00:00:42.980 --> 00:00:43.030]  '
[00:00:43.030 --> 00:00:43.220]  clock
[00:00:43.220 --> 00:00:43.340]   on
[00:00:43.340 --> 00:00:43.370]   a
[00:00:43.370 --> 00:00:43.580]   Sunday
[00:00:43.580 --> 00:00:43.890]   morning
[00:00:43.890 --> 00:00:44.320]  ? [SPEAKER_TURN]
[00:00:44.320 --> 00:00:44.550]   I
[00:00:44.550 --> 00:00:44.830]   guess
[00:00:44.830 --> 00:00:44.910]   I
[00:00:44.910 --> 00:00:45.080]  'm
[00:00:45.080 --> 00:00:45.430]   just
[00:00:45.430 --> 00:00:46.040]   getting
[00:00:46.040 --> 00:00:46.730]   ready
