
[00:00:00.000 --> 00:00:00.820]  
[00:00:00.820 --> 00:00:09.710]   ðŸ
[00:00:09.710 --> 00:00:14.540]  Ž
[00:00:14.540 --> 00:00:19.380]  µ
[00:00:21.840 --> 00:00:21.840]  
[00:00:21.840 --> 00:00:22.150]   Welcome
[00:00:22.150 --> 00:00:22.240]   to
[00:00:22.240 --> 00:00:22.550]   episode
[00:00:22.550 --> 00:00:22.690]   two
[00:00:22.690 --> 00:00:22.990]   hundred
[00:00:22.990 --> 00:00:23.120]   and
[00:00:23.120 --> 00:00:23.340]   sixty
[00:00:23.340 --> 00:00:23.470]   two
[00:00:23.470 --> 00:00:23.560]   of
[00:00:23.560 --> 00:00:23.800]   Text
[00:00:23.800 --> 00:00:23.990]  ing
[00:00:23.990 --> 00:00:24.210]  .
[00:00:24.210 --> 00:00:24.330]   In
[00:00:24.330 --> 00:00:24.600]   this
[00:00:24.600 --> 00:00:24.870]   very
[00:00:24.870 --> 00:00:25.610]   technically
[00:00:25.610 --> 00:00:26.150]   oriented
[00:00:26.150 --> 00:00:26.430]   show
[00:00:26.430 --> 00:00:26.480]   I
[00:00:26.480 --> 00:00:26.610]  'm
[00:00:26.610 --> 00:00:27.080]   talking
[00:00:27.080 --> 00:00:27.210]   to
[00:00:27.210 --> 00:00:27.410]   Rob
[00:00:27.410 --> 00:00:27.680]   Wall
[00:00:27.680 --> 00:00:28.030]  ing
[00:00:28.030 --> 00:00:28.090]   and
[00:00:28.090 --> 00:00:28.500]   Derek
[00:00:28.500 --> 00:00:28.550]   Re
[00:00:28.550 --> 00:00:28.840]  imer
[00:00:28.840 --> 00:00:29.090]   from
[00:00:29.090 --> 00:00:29.280]   DR
[00:00:29.280 --> 00:00:29.690]  IP
[00:00:29.690 --> 00:00:29.750]   about
[00:00:29.750 --> 00:00:29.890]   the
[00:00:29.890 --> 00:00:30.110]   inn
[00:00:30.110 --> 00:00:30.360]  ards
[00:00:30.360 --> 00:00:30.490]   of
[00:00:30.490 --> 00:00:30.690]   the
[00:00:30.690 --> 00:00:30.830]   DR
[00:00:30.830 --> 00:00:30.980]  IP
[00:00:30.980 --> 00:00:31.220]   tech
[00:00:31.220 --> 00:00:31.560]   stack
[00:00:31.560 --> 00:00:31.880]  .
[00:00:31.880 --> 00:00:32.060]   Hey
[00:00:32.060 --> 00:00:32.340]   guys
[00:00:32.340 --> 00:00:32.520]   how
[00:00:32.520 --> 00:00:32.600]  ,
[00:00:32.600 --> 00:00:32.670]   you
[00:00:32.670 --> 00:00:32.970]   doing
[00:00:32.970 --> 00:00:33.480]  ? [SPEAKER_TURN]
[00:00:33.480 --> 00:00:33.860]   Hey
[00:00:33.860 --> 00:00:33.900]   Justin
[00:00:33.900 --> 00:00:33.990]  ,
[00:00:33.990 --> 00:00:34.210]   doing
[00:00:34.210 --> 00:00:34.480]   well
[00:00:34.480 --> 00:00:34.960]  . [SPEAKER_TURN]
[00:00:34.960 --> 00:00:35.280]   Yeah
[00:00:35.280 --> 00:00:35.300]   doing
[00:00:35.300 --> 00:00:35.420]   good
[00:00:35.420 --> 00:00:35.640]   thanks
[00:00:35.640 --> 00:00:35.710]  ,
[00:00:35.710 --> 00:00:35.820]   for
[00:00:35.820 --> 00:00:36.040]   having
[00:00:36.040 --> 00:00:36.140]   us
[00:00:36.140 --> 00:00:36.180]   on
[00:00:36.180 --> 00:00:36.290]   the
[00:00:36.290 --> 00:00:36.430]   show
[00:00:36.430 --> 00:00:36.880]  . [SPEAKER_TURN]
[00:00:37.240 --> 00:00:37.250]  
[00:00:37.250 --> 00:00:37.250]   Yeah
[00:00:37.250 --> 00:00:37.250]   so
[00:00:37.250 --> 00:00:37.260]   um
[00:00:37.260 --> 00:00:37.270]   well
[00:00:37.270 --> 00:00:37.270]   this
[00:00:37.270 --> 00:00:37.280]   is
[00:00:37.280 --> 00:00:37.280]   this
