
[00:00:00.480 --> 00:00:00.590]   Wow
[00:00:00.590 --> 00:00:00.640]   man
[00:00:00.640 --> 00:00:00.850]  ,
[00:00:00.850 --> 00:00:01.230]   this
[00:00:01.230 --> 00:00:01.480]   is
[00:00:01.480 --> 00:00:02.230]   amazing
[00:00:02.230 --> 00:00:02.650]   dude
[00:00:02.650 --> 00:00:02.970]  ,
[00:00:02.970 --> 00:00:03.170]   we
[00:00:03.170 --> 00:00:04.120]   thought
[00:00:04.120 --> 00:00:04.350]   about
[00:00:04.350 --> 00:00:04.670]   how
[00:00:04.670 --> 00:00:05.010]   big
[00:00:05.010 --> 00:00:05.310]   the
[00:00:05.310 --> 00:00:06.160]   universe
[00:00:06.160 --> 00:00:06.370]   is
[00:00:06.370 --> 00:00:06.930]   crazy
[00:00:06.930 --> 00:00:07.110]  ,
[00:00:07.110 --> 00:00:07.420]   man
[00:00:07.420 --> 00:00:07.840]  .
[00:00:22.000 --> 00:00:22.000]  
[00:00:22.000 --> 00:00:22.480]   Welcome
[00:00:22.480 --> 00:00:22.610]   to
[00:00:22.610 --> 00:00:23.130]   episode
[00:00:23.130 --> 00:00:23.290]   two
[00:00:23.290 --> 00:00:23.770]   hundred
[00:00:23.770 --> 00:00:24.000]   and
[00:00:24.000 --> 00:00:24.310]   sixty
[00:00:24.310 --> 00:00:24.580]   four
[00:00:24.580 --> 00:00:24.710]   of
[00:00:24.710 --> 00:00:24.970]   Text
[00:00:24.970 --> 00:00:25.180]  ing
[00:00:25.180 --> 00:00:25.400]  .
[00:00:25.400 --> 00:00:25.650]   Host
[00:00:25.650 --> 00:00:25.780]  ed
[00:00:25.780 --> 00:00:25.910]   by
[00:00:25.910 --> 00:00:26.320]   myself
[00:00:26.320 --> 00:00:26.730]   Justin
[00:00:26.730 --> 00:00:26.870]  ,
[00:00:26.870 --> 00:00:27.340]   Vincent
[00:00:27.340 --> 00:00:27.540]   and
[00:00:27.540 --> 00:00:27.870]   Jason
[00:00:27.870 --> 00:00:28.370]   Roberts
[00:00:28.370 --> 00:00:28.610]  .
[00:00:28.610 --> 00:00:29.040]   Sitting
[00:00:29.040 --> 00:00:29.430]   here
[00:00:29.430 --> 00:00:29.440]   in
[00:00:29.440 --> 00:00:29.570]   my
[00:00:29.570 --> 00:00:29.910]   front
[00:00:29.910 --> 00:00:30.180]   room
[00:00:30.180 --> 00:00:30.340]   in
[00:00:30.340 --> 00:00:30.370]   a
