
[00:00:00.660 --> 00:00:09.820]   Music
[00:00:21.700 --> 00:00:21.700]  
[00:00:21.700 --> 00:00:22.100]   Welcome
[00:00:22.100 --> 00:00:22.210]   to
[00:00:22.210 --> 00:00:22.610]   episode
[00:00:22.610 --> 00:00:22.780]   two
[00:00:22.780 --> 00:00:23.180]   hundred
[00:00:23.180 --> 00:00:23.350]   and
[00:00:23.350 --> 00:00:23.640]   sixty
[00:00:23.640 --> 00:00:23.930]   seven
[00:00:23.930 --> 00:00:24.040]   of
[00:00:24.040 --> 00:00:24.270]   Tech
[00:00:24.270 --> 00:00:24.320]  S
[00:00:24.320 --> 00:00:24.490]  ync
[00:00:24.490 --> 00:00:24.840]   hosted
[00:00:24.840 --> 00:00:24.950]   by
[00:00:24.950 --> 00:00:25.300]   myself
[00:00:25.300 --> 00:00:25.650]   Justin
[00:00:25.650 --> 00:00:25.760]  ,
[00:00:25.760 --> 00:00:26.160]   Vincent
[00:00:26.160 --> 00:00:26.330]   and
[00:00:26.330 --> 00:00:26.620]   Jason
[00:00:26.620 --> 00:00:27.020]   Roberts
[00:00:27.020 --> 00:00:27.190]  .
[00:00:27.190 --> 00:00:27.300]   On
[00:00:27.300 --> 00:00:27.590]   today
[00:00:27.590 --> 00:00:27.700]  's
[00:00:27.700 --> 00:00:27.930]   show
[00:00:27.930 --> 00:00:28.030]   we
[00:00:28.030 --> 00:00:28.230]  're
[00:00:28.230 --> 00:00:28.610]   talking
[00:00:28.610 --> 00:00:28.720]   to
[00:00:28.720 --> 00:00:29.120]   Gabriel
[00:00:29.120 --> 00:00:29.360]   Wein
[00:00:29.360 --> 00:00:29.650]  berg
[00:00:29.650 --> 00:00:29.690]  ,
[00:00:29.690 --> 00:00:30.090]   founder
[00:00:30.090 --> 00:00:30.250]   of
[00:00:30.250 --> 00:00:30.460]   Duck
[00:00:30.460 --> 00:00:30.480]  D
[00:00:30.480 --> 00:00:30.650]  uck
[00:00:30.650 --> 00:00:30.930]  Go
[00:00:30.930 --> 00:00:31.040]   and
[00:00:31.040 --> 00:00:31.050]   co
[00:00:31.050 --> 00:00:31.090]  -
[00:00:31.090 --> 00:00:31.440]  author
[00:00:31.440 --> 00:00:31.610]   of
[00:00:31.610 --> 00:00:31.720]   Tra
[00:00:31.720 --> 00:00:32.010]  ction
[00:00:32.010 --> 00:00:32.120]  ,
[00:00:32.120 --> 00:00:32.170]   a
[00:00:32.170 --> 00:00:32.510]   start
[00:00:32.510 --> 00:00:32.620]  -
[00:00:32.620 --> 00:00:32.690]  up
[00:00:32.690 --> 00:00:32.910]   guide
[00:00:32.910 --> 00:00:33.020]   to
[00:00:33.020 --> 00:00:33.420]   getting
[00:00:33.420 --> 00:00:33.940]   customers
[00:00:33.940 --> 00:00:34.420]  .
[00:00:34.420 --> 00:00:34.630]   Hey
[00:00:34.630 --> 00:00:34.910]   Gabe
[00:00:34.910 --> 00:00:35.000]  ,
[00:00:35.000 --> 00:00:35.290]   welcome
[00:00:35.290 --> 00:00:35.380]   to
[00:00:35.380 --> 00:00:35.560]   the
[00:00:35.560 --> 00:00:35.750]   show
[00:00:35.750 --> 00:00:35.980]  . [SPEAKER_TURN]
[00:00:35.980 --> 00:00:36.470]   Nice
[00:00:36.470 --> 00:00:36.530]   to
