
[00:00:00.640 --> 00:00:01.010]   (
[00:00:01.010 --> 00:00:06.040]  Music
[00:00:06.040 --> 00:00:07.060]  )
[00:00:07.060 --> 00:00:07.480]   â™
[00:00:07.480 --> 00:00:07.950]  ª
[00:00:07.950 --> 00:00:08.100]   â™
[00:00:08.100 --> 00:00:08.320]  ª
[00:00:21.900 --> 00:00:21.900]  
[00:00:21.900 --> 00:00:22.280]   Episode
[00:00:22.280 --> 00:00:22.440]   two
[00:00:22.440 --> 00:00:22.820]   hundred
[00:00:22.820 --> 00:00:22.980]   and
[00:00:22.980 --> 00:00:23.360]   seventy
[00:00:23.360 --> 00:00:23.520]   six
[00:00:23.520 --> 00:00:23.620]   of
[00:00:23.620 --> 00:00:23.860]   Text
[00:00:23.860 --> 00:00:24.120]   Sing
[00:00:24.120 --> 00:00:24.510]   hosted
[00:00:24.510 --> 00:00:24.640]   by
[00:00:24.640 --> 00:00:25.030]   myself
[00:00:25.030 --> 00:00:25.410]   Justin
[00:00:25.410 --> 00:00:25.550]  ,
[00:00:25.550 --> 00:00:26.000]   Vincent
[00:00:26.000 --> 00:00:26.190]   and
[00:00:26.190 --> 00:00:26.510]   Jason
[00:00:26.510 --> 00:00:26.830]   Roberts
[00:00:26.830 --> 00:00:27.180]  .
[00:00:27.180 --> 00:00:27.540]   Coming
[00:00:27.540 --> 00:00:27.670]   to
[00:00:27.670 --> 00:00:27.860]   you
[00:00:27.860 --> 00:00:27.990]   uh
[00:00:27.990 --> 00:00:28.250]   from
[00:00:28.250 --> 00:00:28.770]   Pasadena
[00:00:28.770 --> 00:00:28.900]   uh
[00:00:28.900 --> 00:00:29.090]   it
[00:00:29.090 --> 00:00:29.160]   is
[00:00:29.160 --> 00:00:29.220]   a
[00:00:29.220 --> 00:00:29.490]   very
[00:00:29.490 --> 00:00:29.870]   lovely
[00:00:29.870 --> 00:00:30.060]   day
[00:00:30.060 --> 00:00:30.190]   um
[00:00:30.190 --> 00:00:30.320]   it
[00:00:30.320 --> 00:00:30.450]  's
[00:00:30.450 --> 00:00:30.510]   a
[00:00:30.510 --> 00:00:30.940]   Sunday
[00:00:30.940 --> 00:00:31.090]   and
[00:00:31.090 --> 00:00:31.220]   uh
[00:00:31.220 --> 00:00:31.350]   we
[00:00:31.350 --> 00:00:31.540]   are
[00:00:31.540 --> 00:00:32.280]   recording
[00:00:32.280 --> 00:00:32.380]   this
[00:00:32.380 --> 00:00:32.640]   show
[00:00:32.640 --> 00:00:32.770]   in
[00:00:32.770 --> 00:00:32.900]   my
[00:00:32.900 --> 00:00:33.220]   front
[00:00:33.220 --> 00:00:33.480]   room
[00:00:33.480 --> 00:00:33.670]   and
[00:00:33.670 --> 00:00:33.730]   I
[00:00:33.730 --> 00:00:34.040]   have
[00:00:34.040 --> 00:00:34.120]   to
[00:00:34.120 --> 00:00:34.380]   tell
[00:00:34.380 --> 00:00:34.570]   you
[00:00:34.570 --> 00:00:34.890]   Jason
[00:00:34.890 --> 00:00:34.950]   I
[00:00:34.950 --> 00:00:35.080]  'm
[00:00:35.080 --> 00:00:35.530]   running
[00:00:35.530 --> 00:00:35.660]   on
[00:00:35.660 --> 00:00:35.980]   fumes
[00:00:35.980 --> 00:00:36.350]   today
[00:00:36.350 --> 00:00:37.430]  .
[00:00:37.430 --> 00:00:37.620]   Running
[00:00:37.620 --> 00:00:37.900]   on
[00:00:37.900 --> 00:00:38.600]   fumes
[00:00:38.600 --> 00:00:39.060]  .
[00:00:39.060 --> 00:00:39.280]   Oh
[00:00:39.280 --> 00:00:40.010]   thanks
[00:00:40.010 --> 00:00:40.460]   man
[00:00:40.460 --> 00:00:40.930]  .
[00:00:40.930 --> 00:00:41.130]   Well
[00:00:41.130 --> 00:00:41.310]   I
[00:00:41.310 --> 00:00:41.320]   I
[00:00:41.320 --> 00:00:41.400]   d
[00:00:41.400 --> 00:00:41.580]   uh
[00:00:41.580 --> 00:00:41.950]   just
[00:00:41.950 --> 00:00:42.320]   just
[00:00:42.320 --> 00:00:42.500]   uh
[00:00:42.500 --> 00:00:42.870]   they
[00:00:42.870 --> 00:00:43.260]   they
[00:00:43.260 --> 00:00:43.810]   called
[00:00:43.810 --> 00:00:44.010]   it
[00:00:44.010 --> 00:00:44.300]   the
[00:00:44.300 --> 00:00:44.510]   six
[00:00:44.510 --> 00:00:45.050]   month
[00:00:45.050 --> 00:00:45.430]   sleep
[00:00:45.430 --> 00:00:46.350]   regression
[00:00:46.350 --> 00:00:46.550]   um
[00:00:46.550 --> 00:00:46.960]   but
[00:00:46.960 --> 00:00:47.200]   Jack
[00:00:47.200 --> 00:00:47.350]   is
[00:00:47.350 --> 00:00:47.720]   just
[00:00:47.720 --> 00:00:48.360]   up
[00:00:48.360 --> 00:00:48.730]   every
[00:00:48.730 --> 00:00:48.740]   hour
[00:00:48.740 --> 00:00:49.000]   and
[00:00:49.000 --> 00:00:49.180]   um
[00:00:49.180 --> 00:00:49.550]   yeah
[00:00:49.550 --> 00:00:49.810]  .
[00:00:49.810 --> 00:00:50.840]   Um [SPEAKER_TURN]
[00:00:50.840 --> 00:00:51.040]   M
[00:00:51.040 --> 00:00:51.250]  m
[00:00:51.250 --> 00:00:51.880]  . [SPEAKER_TURN]
[00:00:51.880 --> 00:00:51.890]  
[00:00:51.890 --> 00:00:51.970]   both
[00:00:51.970 --> 00:00:52.050]   of
[00:00:52.050 --> 00:00:52.070]   you
[00:00:52.070 --> 00:00:52.140]   are
[00:00:52.140 --> 00:00:52.400]  ? [SPEAKER_TURN]
[00:00:52.400 --> 00:00:52.510]   Y
[00:00:52.510 --> 00:00:52.690]   well
[00:00:52.690 --> 00:00:52.800]   we
[00:00:52.800 --> 00:00:53.030]   just
[00:00:53.030 --> 00:00:53.320]   kinda
[00:00:53.320 --> 00:00:53.560]   have
[00:00:53.560 --> 00:00:53.660]   to
[00:00:53.660 --> 00:00:53.890]   take
[00:00:53.890 --> 00:00:54.000]   it
[00:00:54.000 --> 00:00:54.110]   in
[00:00:54.110 --> 00:00:54.400]   turns
[00:00:54.400 --> 00:00:54.570]   but
[00:00:54.570 --> 00:00:54.800]   yeah
[00:00:54.800 --> 00:00:54.860]   I
[00:00:54.860 --> 00:00:55.090]   mean
[00:00:55.090 --> 00:00:55.200]   he
[00:00:55.200 --> 00:00:55.260]   w
[00:00:55.260 --> 00:00:55.320]   w
[00:00:55.320 --> 00:00:55.380]   w
[00:00:55.380 --> 00:00:55.900]   because
[00:00:55.900 --> 00:00:55.900]   he
[00:00:55.900 --> 00:00:56.010]  's
[00:00:56.010 --> 00:00:56.140]   he
[00:00:56.140 --> 00:00:56.470]   sleeps
[00:00:56.470 --> 00:00:56.580]   in
[00:00:56.580 --> 00:00:56.750]   the
[00:00:56.750 --> 00:00:56.980]   same
[00:00:56.980 --> 00:00:57.210]   room
[00:00:57.210 --> 00:00:57.340]   as
[00:00:57.340 --> 00:00:57.430]   us
[00:00:57.430 --> 00:00:57.540]   in
[00:00:57.540 --> 00:00:57.600]   a
[00:00:57.600 --> 00:00:57.660]   c
[00:00:57.660 --> 00:00:57.770]  ot
[00:00:57.770 --> 00:00:57.880]   in
[00:00:57.880 --> 00:00:58.080]   the
[00:00:58.080 --> 00:00:58.280]   same
[00:00:58.280 --> 00:00:58.510]   room
[00:00:58.510 --> 00:00:58.730]   as
[00:00:58.730 --> 00:00:58.780]   us
[00:00:58.780 --> 00:00:58.840]   so
[00:00:58.840 --> 00:00:58.950]  ,
[00:00:58.950 --> 00:00:59.180]   yeah
[00:00:59.180 --> 00:00:59.450]   yeah
[00:00:59.450 --> 00:00:59.520]  ,
[00:00:59.520 --> 00:00:59.750]   Yeah
[00:00:59.750 --> 00:01:00.430]  .
[00:01:00.430 --> 00:01:00.430]   So
[00:01:00.430 --> 00:01:01.300]  . [SPEAKER_TURN]
[00:01:21.580 --> 00:01:21.580]  
[00:01:21.580 --> 00:01:21.700]   I
[00:01:21.700 --> 00:01:21.880]   going
[00:01:21.880 --> 00:01:21.980]   up
[00:01:21.980 --> 00:01:22.090]   to
[00:01:22.090 --> 00:01:22.430]   Chicago
[00:01:22.430 --> 00:01:22.580]  .
[00:01:22.580 --> 00:01:22.930]   Alright
[00:01:22.930 --> 00:01:23.500]  . [SPEAKER_TURN]
[00:01:23.500 --> 00:01:23.910]   But
[00:01:23.910 --> 00:01:24.040]   I
[00:01:24.040 --> 00:01:24.170]   s
[00:01:24.170 --> 00:01:24.300]   I
[00:01:24.300 --> 00:01:24.710]   can
[00:01:24.710 --> 00:01:25.400]   never
[00:01:25.400 --> 00:01:25.920]   get
[00:01:25.920 --> 00:01:26.080]   it
[00:01:26.080 --> 00:01:26.770]   right
[00:01:26.770 --> 00:01:27.590]   anyway
[00:01:27.590 --> 00:01:28.140]   yeah
[00:01:28.140 --> 00:01:28.620]  , [SPEAKER_TURN]
[00:01:28.620 --> 00:01:28.890]   You
[00:01:28.890 --> 00:01:29.160]   use
[00:01:29.160 --> 00:01:29.340]   it
[00:01:29.340 --> 00:01:29.610]   you
[00:01:29.610 --> 00:01:30.040]   always
[00:01:30.040 --> 00:01:30.970]   say
[00:01:30.970 --> 00:01:31.460]   down
[00:01:31.460 --> 00:01:32.200]   when
[00:01:32.200 --> 00:01:32.660]   it
[00:01:32.660 --> 00:01:32.960]  's
[00:01:32.960 --> 00:01:33.500]   up
[00:01:33.500 --> 00:01:34.320]  . [SPEAKER_TURN]
[00:01:34.320 --> 00:01:34.590]   Well
[00:01:34.590 --> 00:01:34.610]   I
[00:01:34.610 --> 00:01:34.810]   will
[00:01:34.810 --> 00:01:34.920]   be
[00:01:34.920 --> 00:01:35.250]   flying
[00:01:35.250 --> 00:01:35.360]   to
[00:01:35.360 --> 00:01:35.740]   Chicago
[00:01:35.740 --> 00:01:36.180]   tomorrow
[00:01:36.180 --> 00:01:36.290]   at
[00:01:36.290 --> 00:01:36.450]   two
[00:01:36.450 --> 00:01:36.500]   P
[00:01:36.500 --> 00:01:36.550]  _
[00:01:36.550 --> 00:01:36.600]  M
[00:01:36.600 --> 00:01:36.650]  _
[00:01:36.650 --> 00:01:36.810]   and
[00:01:36.810 --> 00:01:37.030]   then
[00:01:37.030 --> 00:01:37.180]   I
[00:01:37.180 --> 00:01:37.240]  'll
[00:01:37.240 --> 00:01:37.420]   be
[00:01:37.420 --> 00:01:37.570]   back
[00:01:37.570 --> 00:01:37.680]   on
[00:01:37.680 --> 00:01:38.120]   Thursday
[00:01:38.120 --> 00:01:38.230]   so
[00:01:38.230 --> 00:01:38.360]  ,
[00:01:38.360 --> 00:01:38.550]   yeah
[00:01:38.550 --> 00:01:38.600]   I
[00:01:38.600 --> 00:01:38.760]  'll
[00:01:38.760 --> 00:01:38.870]   be
[00:01:38.870 --> 00:01:39.140]   there
[00:01:39.140 --> 00:01:39.300]   for
[00:01:39.300 --> 00:01:39.460]   the
[00:01:39.460 --> 00:01:39.680]   week
[00:01:39.680 --> 00:01:40.020]  . [SPEAKER_TURN]
[00:01:40.020 --> 00:01:40.060]   Yeah
[00:01:40.060 --> 00:01:41.440]  . [SPEAKER_TURN]
[00:01:41.440 --> 00:01:41.440]  
[00:01:41.440 --> 00:01:41.560]   '
[00:01:41.560 --> 00:01:41.690]  Kay
[00:01:41.690 --> 00:01:41.980]   Cool
