
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:00.070]   <
[00:00:00.070 --> 00:00:00.290]  anu
[00:00:00.290 --> 00:00:00.360]  -
[00:00:00.360 --> 00:00:00.640]  uu
[00:00:00.640 --> 00:00:00.700]  uh
[00:00:00.700 --> 00:00:00.740]  -
[00:00:00.740 --> 00:00:00.810]  h
[00:00:00.810 --> 00:00:00.920]  uh
[00:00:00.920 --> 00:00:00.990]  -
[00:00:00.990 --> 00:00:01.130]  uh
[00:00:01.130 --> 00:00:01.200]  -
[00:00:01.200 --> 00:00:01.340]  uh
[00:00:01.340 --> 00:00:01.410]  -
[00:00:01.410 --> 00:00:01.480]  h
[00:00:01.480 --> 00:00:01.620]  oo
[00:00:01.620 --> 00:00:01.690]  -
[00:00:01.690 --> 00:00:01.760]  h
[00:00:01.760 --> 00:00:01.900]  oo
[00:00:01.900 --> 00:00:01.970]  -
[00:00:01.970 --> 00:00:02.040]  h
[00:00:02.040 --> 00:00:02.180]  oo
[00:00:02.180 --> 00:00:02.250]  -
[00:00:02.250 --> 00:00:02.320]  h
[00:00:02.320 --> 00:00:02.460]  oo
[00:00:02.460 --> 00:00:02.530]  -
[00:00:02.530 --> 00:00:02.600]  h
[00:00:02.600 --> 00:00:02.740]  oo
[00:00:02.740 --> 00:00:02.810]  -
[00:00:02.810 --> 00:00:02.880]  h
[00:00:02.880 --> 00:00:03.020]  oo
[00:00:03.020 --> 00:00:03.090]  -
[00:00:03.090 --> 00:00:03.160]  h
[00:00:03.160 --> 00:00:03.300]  oo
[00:00:03.300 --> 00:00:03.370]  -
[00:00:03.370 --> 00:00:03.440]  h
[00:00:03.440 --> 00:00:03.580]  oo
[00:00:03.580 --> 00:00:03.650]  -
[00:00:03.650 --> 00:00:03.720]  h
[00:00:03.720 --> 00:00:03.860]  oo
[00:00:03.860 --> 00:00:03.930]  -
[00:00:03.930 --> 00:00:04.000]  h
[00:00:04.000 --> 00:00:04.140]  oo
[00:00:04.140 --> 00:00:04.210]  -
[00:00:04.210 --> 00:00:04.280]  h
[00:00:04.280 --> 00:00:04.420]  oo
[00:00:04.420 --> 00:00:04.490]  -
[00:00:04.490 --> 00:00:04.560]  h
[00:00:04.560 --> 00:00:04.700]  oo
[00:00:04.700 --> 00:00:04.770]  -
[00:00:04.770 --> 00:00:04.840]  h
[00:00:04.840 --> 00:00:04.980]  oo
[00:00:04.980 --> 00:00:05.050]  -
[00:00:05.050 --> 00:00:05.120]  h
[00:00:05.120 --> 00:00:05.260]  oo
[00:00:05.260 --> 00:00:05.330]  -
[00:00:05.330 --> 00:00:05.400]  h
[00:00:05.400 --> 00:00:05.540]  oo
