
[00:00:00.000 --> 00:00:00.910]  
[00:00:00.910 --> 00:00:22.110]   Welcome
[00:00:22.110 --> 00:00:22.260]   to
[00:00:22.260 --> 00:00:22.760]   episode
[00:00:22.760 --> 00:00:22.970]   two
[00:00:22.970 --> 00:00:23.470]   hundred
[00:00:23.470 --> 00:00:23.680]   and
[00:00:23.680 --> 00:00:24.110]   ninety
[00:00:24.110 --> 00:00:24.320]   one
[00:00:24.320 --> 00:00:24.460]   of
[00:00:24.460 --> 00:00:24.750]   Tech
[00:00:24.750 --> 00:00:24.820]  S
[00:00:24.820 --> 00:00:24.960]  ig
[00:00:24.960 --> 00:00:25.100]  ,
[00:00:25.100 --> 00:00:25.550]   hosted
[00:00:25.550 --> 00:00:25.670]   by
[00:00:25.670 --> 00:00:26.100]   myself
[00:00:26.100 --> 00:00:26.530]   Justin
[00:00:26.530 --> 00:00:26.600]   F
[00:00:26.600 --> 00:00:26.810]  inc
[00:00:26.810 --> 00:00:26.950]  er
[00:00:26.950 --> 00:00:27.170]   and
[00:00:27.170 --> 00:00:27.640]   Jason
[00:00:27.640 --> 00:00:28.650]   Roberts
[00:00:28.650 --> 00:00:29.100]  .
[00:00:29.100 --> 00:00:29.280]   This
[00:00:29.280 --> 00:00:29.570]   feels
[00:00:29.570 --> 00:00:29.690]   like
[00:00:29.690 --> 00:00:29.780]   de
[00:00:29.780 --> 00:00:29.870]  ja
[00:00:29.870 --> 00:00:29.910]   v
[00:00:29.910 --> 00:00:29.980]  u
[00:00:29.980 --> 00:00:29.980]  
[00:00:29.980 --> 00:00:30.150]   It
[00:00:30.150 --> 00:00:30.380]   does
[00:00:30.380 --> 00:00:30.870]   it
[00:00:30.870 --> 00:00:31.020]   does
[00:00:31.020 --> 00:00:31.630]   Alright
[00:00:31.630 --> 00:00:31.890]  .
[00:00:31.890 --> 00:00:32.100]   so
[00:00:32.100 --> 00:00:32.230]   we
[00:00:32.230 --> 00:00:32.950]   recorded
[00:00:32.950 --> 00:00:33.000]   a
[00:00:33.000 --> 00:00:33.350]   show
[00:00:33.350 --> 00:00:33.430]   a
[00:00:33.430 --> 00:00:33.510]   a
[00:00:33.510 --> 00:00:34.020]   couple
[00:00:34.020 --> 00:00:34.460]   weeks
[00:00:34.460 --> 00:00:34.760]   ago
[00:00:34.760 --> 00:00:34.980]  .
[00:00:34.980 --> 00:00:35.320]   Uh
[00:00:35.320 --> 00:00:35.560]   it
[00:00:35.560 --> 00:00:35.580]   was
[00:00:35.580 --> 00:00:36.100]   mostly
[00:00:36.100 --> 00:00:36.180]   a
[00:00:36.180 --> 00:00:36.460]   Jason
[00:00:36.460 --> 00:00:36.930]   show
[00:00:36.930 --> 00:00:37.330]   it
[00:00:37.330 --> 00:00:37.390]   was
[00:00:37.390 --> 00:00:37.470]   a
[00:00:37.470 --> 00:00:37.950]   catch
[00:00:37.950 --> 00:00:38.070]   up
[00:00:38.070 --> 00:00:38.200]   a
[00:00:38.200 --> 00:00:38.410]   lot
[00:00:38.410 --> 00:00:38.580]   of
[00:00:38.580 --> 00:00:39.100]   things
[00:00:39.100 --> 00:00:39.450]   that
[00:00:39.450 --> 00:00:39.530]   I
[00:00:39.530 --> 00:00:39.790]  've
[00:00:39.790 --> 00:00:40.190]   been
[00:00:40.190 --> 00:00:40.570]   doing
[00:00:40.570 --> 00:00:40.830]  .
[00:00:40.830 --> 00:00:41.260]   Um
[00:00:41.260 --> 00:00:41.450]   you
[00:00:41.450 --> 00:00:41.610]   didn
[00:00:41.610 --> 00:00:41.780]  't
[00:00:41.780 --> 00:00:42.100]   have
[00:00:42.100 --> 00:00:42.200]   a
[00:00:42.200 --> 00:00:42.460]   lot
[00:00:42.460 --> 00:00:42.900]  ,
[00:00:42.900 --> 00:00:43.000]   you
[00:00:43.000 --> 00:00:43.420]   wanted
[00:00:43.420 --> 00:00:43.590]   to
[00:00:43.590 --> 00:00:43.950]   talk
