
[00:00:00.000 --> 00:00:00.880]  
[00:00:00.880 --> 00:00:02.000]   ordinary
[00:00:02.000 --> 00:00:04.000]   generation
[00:00:04.000 --> 00:00:04.420]   Is
[00:00:04.420 --> 00:00:05.050]  .
[00:00:05.050 --> 00:00:05.470]   to
[00:00:05.470 --> 00:00:07.150]   generate
[00:00:07.150 --> 00:00:08.020]   new
[00:00:08.020 --> 00:00:09.040]   heroes
[00:00:09.040 --> 00:00:09.250]   A
[00:00:09.250 --> 00:00:09.880]  .
[00:00:09.880 --> 00:00:11.980]   generation
[00:00:11.980 --> 00:00:12.400]  's
[00:00:12.400 --> 00:00:13.030]   new
[00:00:13.030 --> 00:00:14.290]   heroes
[00:00:14.290 --> 00:00:14.500]   A
[00:00:14.500 --> 00:00:15.130]  .
[00:00:15.130 --> 00:00:17.230]   generation
[00:00:17.230 --> 00:00:17.650]  's
[00:00:17.650 --> 00:00:18.280]   new
[00:00:18.280 --> 00:00:19.540]   heroes
[00:00:19.540 --> 00:00:21.900]  . [SPEAKER_TURN]
[00:00:21.940 --> 00:00:21.940]  
[00:00:21.940 --> 00:00:22.470]   Welcome
[00:00:22.470 --> 00:00:22.620]   to
[00:00:22.620 --> 00:00:23.150]   episode
[00:00:23.150 --> 00:00:23.380]   two
[00:00:23.380 --> 00:00:23.910]   hundred
[00:00:23.910 --> 00:00:24.140]   and
[00:00:24.140 --> 00:00:24.590]   ninety
[00:00:24.590 --> 00:00:24.970]   three
[00:00:24.970 --> 00:00:25.130]   of
[00:00:25.130 --> 00:00:25.430]   Text
[00:00:25.430 --> 00:00:25.650]  ing
[00:00:25.650 --> 00:00:25.800]  ,
[00:00:25.800 --> 00:00:26.250]   hosted
[00:00:26.250 --> 00:00:26.410]   by
[00:00:26.410 --> 00:00:26.870]   myself
[00:00:26.870 --> 00:00:27.320]   Justin
[00:00:27.320 --> 00:00:27.470]  ,
[00:00:27.470 --> 00:00:28.010]   Vincent
[00:00:28.010 --> 00:00:28.240]   and
[00:00:28.240 --> 00:00:28.620]   Jason
[00:00:28.620 --> 00:00:28.990]   Roberts
[00:00:28.990 --> 00:00:29.520]  .
