
[00:00:00.000 --> 00:00:00.830]  
[00:00:00.830 --> 00:00:03.120]   [
[00:00:03.120 --> 00:00:06.200]  M
[00:00:06.200 --> 00:00:12.370]  US
[00:00:12.370 --> 00:00:18.540]  IC
[00:00:18.540 --> 00:00:21.660]  ]
[00:00:21.660 --> 00:00:22.150]   Welcome
[00:00:22.150 --> 00:00:22.300]   to
[00:00:22.300 --> 00:00:22.800]   episode
[00:00:22.800 --> 00:00:23.010]   two
[00:00:23.010 --> 00:00:23.510]   hundred
[00:00:23.510 --> 00:00:23.720]   and
[00:00:23.720 --> 00:00:24.140]   ninety
[00:00:24.140 --> 00:00:24.420]   nine
[00:00:24.420 --> 00:00:24.620]   and
[00:00:24.620 --> 00:00:24.700]   a
[00:00:24.700 --> 00:00:24.980]   half
[00:00:24.980 --> 00:00:25.120]   of
[00:00:25.120 --> 00:00:25.620]   texting
[00:00:25.620 --> 00:00:26.040]   hosted
[00:00:26.040 --> 00:00:26.180]   by
[00:00:26.180 --> 00:00:26.600]   myself
[00:00:26.600 --> 00:00:27.020]   Justin
[00:00:27.020 --> 00:00:27.520]   Vincent
[00:00:27.520 --> 00:00:27.740]   and
[00:00:27.740 --> 00:00:28.070]   Jason
[00:00:28.070 --> 00:00:28.580]   Roberts
[00:00:28.580 --> 00:00:28.990]  .
[00:00:28.990 --> 00:00:29.000]   Hey
[00:00:29.000 --> 00:00:29.180]   there
[00:00:29.180 --> 00:00:29.430]   Jason
[00:00:29.430 --> 00:00:29.440]  ,
[00:00:29.440 --> 00:00:29.530]   how
[00:00:29.530 --> 00:00:29.630]   you
[00:00:29.630 --> 00:00:29.840]   doing
[00:00:29.840 --> 00:00:29.840]  ?
[00:00:29.920 --> 00:00:29.920]   I
[00:00:29.920 --> 00:00:29.930]  'm
[00:00:29.930 --> 00:00:30.080]   doing
[00:00:30.080 --> 00:00:30.290]   alright
[00:00:30.290 --> 00:00:30.380]   how
[00:00:30.380 --> 00:00:30.440]  ,
[00:00:30.440 --> 00:00:30.590]   about
[00:00:30.590 --> 00:00:30.900]   yourself
[00:00:30.900 --> 00:00:31.200]  ? [SPEAKER_TURN]
[00:00:31.200 --> 00:00:31.510]   You
[00:00:31.510 --> 00:00:31.610]  're
[00:00:31.610 --> 00:00:31.670]   not
[00:00:31.670 --> 00:00:31.940]   too
[00:00:31.940 --> 00:00:31.990]   bad
[00:00:31.990 --> 00:00:32.050]   I
[00:00:32.050 --> 00:00:32.190]  .
[00:00:32.190 --> 00:00:32.400]   love
[00:00:32.400 --> 00:00:32.560]   the
[00:00:32.560 --> 00:00:32.610]   I
[00:00:32.610 --> 00:00:32.820]   love
[00:00:32.820 --> 00:00:33.040]   the
[00:00:33.040 --> 00:00:33.170]   two
[00:00:33.170 --> 00:00:33.510]   hundred
[00:00:33.510 --> 00:00:33.730]   and
[00:00:33.730 --> 00:00:33.980]   ninety
[00:00:33.980 --> 00:00:34.190]   nine
[00:00:34.190 --> 00:00:34.400]   and
[00:00:34.400 --> 00:00:34.430]   a
[00:00:34.430 --> 00:00:34.630]   half
[00:00:34.630 --> 00:00:34.730]   it
[00:00:34.730 --> 00:00:34.810]  's
[00:00:34.810 --> 00:00:35.020]   like
[00:00:35.020 --> 00:00:35.310]   the
[00:00:35.310 --> 00:00:35.660]   Hogwarts
[00:00:35.660 --> 00:00:36.020]   platform
[00:00:36.020 --> 00:00:36.240]   nine
[00:00:36.240 --> 00:00:36.490]   and
[00:00:36.490 --> 00:00:36.650]   three
[00:00:36.650 --> 00:00:37.070]   quarters
[00:00:37.070 --> 00:00:37.760]  . [SPEAKER_TURN]
[00:00:37.760 --> 00:00:37.990]   I
[00:00:37.990 --> 00:00:38.250]   thought
[00:00:38.250 --> 00:00:38.430]   you
[00:00:38.430 --> 00:00:38.680]   know
[00:00:38.680 --> 00:00:38.930]   when
[00:00:38.930 --> 00:00:39.040]   we
[00:00:39.040 --> 00:00:39.300]   were
[00:00:39.300 --> 00:00:39.670]   trying
[00:00:39.670 --> 00:00:39.790]   to
[00:00:39.790 --> 00:00:40.290]   organise
[00:00:40.290 --> 00:00:40.470]   the
[00:00:40.470 --> 00:00:40.590]   uh
[00:00:40.590 --> 00:00:41.050]   special
[00:00:41.050 --> 00:00:41.330]   three
[00:00:41.330 --> 00:00:41.760]   hundred
[00:00:41.760 --> 00:00:42.010]   show
[00:00:42.010 --> 00:00:42.310]   which
[00:00:42.310 --> 00:00:42.500]   Rob
[00:00:42.500 --> 00:00:42.750]   Wall
[00:00:42.750 --> 00:00:42.930]  ing
[00:00:42.930 --> 00:00:43.070]   is
[00:00:43.070 --> 00:00:43.360]   gonna
[00:00:43.360 --> 00:00:43.720]   host
[00:00:43.720 --> 00:00:43.730]   we
[00:00:43.730 --> 00:00:43.850]  ,
[00:00:43.850 --> 00:00:44.100]   just
[00:00:44.100 --> 00:00:44.470]   couldn
[00:00:44.470 --> 00:00:44.590]  't
[00:00:44.590 --> 00:00:44.780]   get
[00:00:44.780 --> 00:00:44.790]   a
[00:00:44.790 --> 00:00:44.890]   a
[00:00:44.890 --> 00:00:45.140]   date
[00:00:45.140 --> 00:00:45.570]   that
[00:00:45.570 --> 00:00:45.600]   was
[00:00:45.600 --> 00:00:45.880]   gonna
[00:00:45.880 --> 00:00:46.130]   work
[00:00:46.130 --> 00:00:46.310]   out
[00:00:46.310 --> 00:00:46.620]   until
[00:00:46.620 --> 00:00:46.920]   what
[00:00:46.920 --> 00:00:47.050]   end
[00:00:47.050 --> 00:00:47.220]   of
[00:00:47.220 --> 00:00:47.350]   the
[00:00:47.350 --> 00:00:47.700]   month
[00:00:47.700 --> 00:00:47.780]   or
[00:00:47.780 --> 00:00:48.520]   something
[00:00:48.520 --> 00:00:48.540]  ?
[00:00:48.540 --> 00:00:48.700]   And
[00:00:48.700 --> 00:00:48.820]   it
[00:00:48.820 --> 00:00:49.000]   and
[00:00:49.000 --> 00:00:49.120]   it
[00:00:49.120 --> 00:00:49.300]   had
[00:00:49.300 --> 00:00:49.810]   already
[00:00:49.810 --> 00:00:49.980]   been
[00:00:49.980 --> 00:00:50.230]   like
[00:00:50.230 --> 00:00:50.290]   a
[00:00:50.290 --> 00:00:50.600]   month
[00:00:50.600 --> 00:00:50.720]   so
[00:00:50.720 --> 00:00:50.770]   I
[00:00:50.770 --> 00:00:51.210]   figured
[00:00:51.210 --> 00:00:51.330]   we
[00:00:51.330 --> 00:00:51.640]   gotta
[00:00:51.640 --> 00:00:51.820]   get
[00:00:51.820 --> 00:00:52.370]   something
[00:00:52.370 --> 00:00:52.690]   going
[00:00:52.690 --> 00:00:52.810]   so
[00:00:52.810 --> 00:00:53.760]  , [SPEAKER_TURN]
[00:00:57.420 --> 00:00:57.650]  
[00:00:57.650 --> 00:00:57.670]   That
[00:00:57.670 --> 00:00:57.790]  's
[00:00:57.790 --> 00:00:58.260]   awesome
[00:00:58.260 --> 00:00:58.530]  .
[00:00:58.530 --> 00:00:58.750]   That
[00:00:58.750 --> 00:00:58.800]  's
[00:00:58.800 --> 00:00:58.960]   so
[00:00:58.960 --> 00:00:59.420]   texting
[00:00:59.420 --> 00:00:59.540]  .
[00:00:59.540 --> 00:00:59.600]   I
[00:00:59.600 --> 00:00:59.890]   mean
[00:00:59.890 --> 00:01:00.040]   but
[00:01:00.040 --> 00:01:00.230]   the
[00:01:00.230 --> 00:01:00.560]   truth
[00:01:00.560 --> 00:01:00.690]   is
[00:01:00.690 --> 00:01:00.910]   this
[00:01:00.910 --> 00:01:01.040]   uh
[00:01:01.040 --> 00:01:01.280]   this
[00:01:01.280 --> 00:01:01.790]   already
[00:01:01.790 --> 00:01:01.840]   is
[00:01:01.840 --> 00:01:02.030]   episode
[00:01:02.030 --> 00:01:03.030]   three
[00:01:03.030 --> 00:01:03.040]   hundred
[00:01:03.040 --> 00:01:03.220]   and
[00:01:03.220 --> 00:01:03.410]   one
[00:01:03.410 --> 00:01:03.720]   right
[00:01:03.720 --> 00:01:04.030]   now
[00:01:04.030 --> 00:01:04.120]   in
[00:01:04.120 --> 00:01:04.630]   technical
[00:01:04.630 --> 00:01:04.910]   terms
[00:01:04.910 --> 00:01:05.760]  . [SPEAKER_TURN]
[00:01:05.760 --> 00:01:05.760]  
[00:01:05.760 --> 00:01:05.870]   Yeah
[00:01:05.870 --> 00:01:06.200]  . [SPEAKER_TURN]
[00:01:06.200 --> 00:01:06.650]   Missing
[00:01:06.650 --> 00:01:06.900]   show
[00:01:06.900 --> 00:01:07.150]   yeah
[00:01:07.150 --> 00:01:07.300]  ,
[00:01:07.300 --> 00:01:07.760]   exactly
[00:01:07.760 --> 00:01:07.910]  .
[00:01:07.910 --> 00:01:08.350]   Yeah
[00:01:08.350 --> 00:01:08.900]  . [SPEAKER_TURN]
[00:01:08.920 --> 00:01:08.920]  
[00:01:08.920 --> 00:01:09.110]   the
[00:01:09.110 --> 00:01:09.230]   uh
[00:01:09.230 --> 00:01:09.480]   this
[00:01:09.480 --> 00:01:09.730]   show
[00:01:09.730 --> 00:01:09.980]   that
[00:01:09.980 --> 00:01:10.290]   never
[00:01:10.290 --> 00:01:10.480]   was
[00:01:10.480 --> 00:01:10.600]  ,
[00:01:10.600 --> 00:01:10.850]   the
[00:01:10.850 --> 00:01:11.230]   phantom
[00:01:11.230 --> 00:01:11.480]   show
[00:01:11.480 --> 00:01:11.700]  .
[00:01:11.700 --> 00:01:11.790]   So
[00:01:11.790 --> 00:01:11.910]   um
[00:01:11.910 --> 00:01:12.160]   yeah
[00:01:12.160 --> 00:01:12.220]   I
[00:01:12.220 --> 00:01:12.470]   feel
[00:01:12.470 --> 00:01:12.690]   like
[00:01:12.690 --> 00:01:13.060]   there
[00:01:13.060 --> 00:01:13.350]   was
[00:01:13.350 --> 00:01:13.470]   just
[00:01:13.470 --> 00:01:13.580]   so
[00:01:13.580 --> 00:01:13.840]   much
[00:01:13.840 --> 00:01:14.150]   going
[00:01:14.150 --> 00:01:14.270]   on
[00:01:14.270 --> 00:01:14.520]   that
[00:01:14.520 --> 00:01:14.640]   we
[00:01:14.640 --> 00:01:14.830]   had
[00:01:14.830 --> 00:01:14.940]   to
[00:01:14.940 --> 00:01:15.200]   give
[00:01:15.200 --> 00:01:15.450]   kind
