
[00:00:01.000 --> 00:00:01.030]   [
[00:00:01.030 --> 00:00:02.660]  Int
[00:00:02.660 --> 00:00:03.990]  ro
[00:00:03.990 --> 00:00:07.320]   Music
[00:00:07.320 --> 00:00:08.000]  ]
[00:00:22.460 --> 00:00:22.460]  
[00:00:22.460 --> 00:00:27.170]   Welcome
[00:00:27.170 --> 00:00:28.810]   to
[00:00:28.810 --> 00:00:33.230]   episode
[00:00:33.230 --> 00:00:36.850]   three
[00:00:36.850 --> 00:00:41.760]   hundred
[00:00:41.760 --> 00:00:43.420]   and
[00:00:43.420 --> 00:00:47.310]   three
[00:00:47.310 --> 00:00:48.030]   of
[00:00:48.030 --> 00:00:51.320]   Tech
[00:00:51.320 --> 00:00:51.420]  S
[00:00:51.420 --> 00:00:51.420]  
[00:00:51.420 --> 00:00:52.230]   Hi
[00:00:52.230 --> 00:00:56.240]  .
[00:00:56.240 --> 00:00:56.300]   M
[00:00:56.300 --> 00:00:56.350]  m
[00:00:56.350 --> 00:00:56.400]  -
[00:00:56.400 --> 00:00:56.450]  h
[00:00:56.450 --> 00:00:56.580]  mm
[00:00:56.580 --> 00:00:56.780]  .
[00:00:56.780 --> 00:01:00.750]   Really
[00:01:00.750 --> 00:01:01.240]  ?
[00:01:01.240 --> 00:01:01.300]   Oh
[00:01:01.300 --> 00:01:01.360]  ,
[00:01:01.360 --> 00:01:01.610]   that
[00:01:01.610 --> 00:01:01.730]  's
[00:01:01.730 --> 00:01:01.790]   '
[00:01:01.790 --> 00:01:02.100]  cause
[00:01:02.100 --> 00:01:02.280]   you
[00:01:02.280 --> 00:01:02.530]   live
[00:01:02.530 --> 00:01:02.710]   you
[00:01:02.710 --> 00:01:02.890]  're
[00:01:02.890 --> 00:01:03.070]   liv
[00:01:03.070 --> 00:01:03.250]   you
[00:01:03.250 --> 00:01:03.430]   and
[00:01:03.430 --> 00:01:03.760]   Georg
[00:01:03.760 --> 00:01:03.800]  i
[00:01:03.800 --> 00:01:03.920]  's
[00:01:03.920 --> 00:01:04.100]   and
[00:01:04.100 --> 00:01:04.280]   her
[00:01:04.280 --> 00:01:04.650]   sister
[00:01:04.650 --> 00:01:04.830]  .
[00:01:04.830 --> 00:01:05.000]   You
[00:01:05.000 --> 00:01:05.410]   guys
[00:01:05.410 --> 00:01:05.440]   all
[00:01:05.440 --> 00:01:05.690]   live
[00:01:05.690 --> 00:01:06.180]   together
[00:01:06.180 --> 00:01:06.360]  .
[00:01:06.360 --> 00:01:07.120]   So [SPEAKER_TURN]
[00:01:07.120 --> 00:01:07.270]   It
[00:01:07.270 --> 00:01:07.570]   would
[00:01:07.570 --> 00:01:07.960]   just
[00:01:07.960 --> 00:01:08.310]   be
[00:01:08.310 --> 00:01:08.350]   easier
[00:01:08.350 --> 00:01:08.540]   for
[00:01:08.540 --> 00:01:08.800]   just
[00:01:08.800 --> 00:01:08.990]   two
[00:01:08.990 --> 00:01:09.760]   grandparents
[00:01:09.760 --> 00:01:09.900]   to
[00:01:09.900 --> 00:01:10.160]   come
[00:01:10.160 --> 00:01:10.440]   over
[00:01:10.440 --> 00:01:10.550]   to
[00:01:10.550 --> 00:01:10.810]   our
[00:01:10.810 --> 00:01:11.150]   place
[00:01:11.150 --> 00:01:11.440]   versus
[00:01:11.440 --> 00:01:11.790]   ship
[00:01:11.790 --> 00:01:12.270]   everyone
[00:01:12.270 --> 00:01:12.360]   to
[00:01:12.360 --> 00:01:12.670]   their
[00:01:12.670 --> 00:01:13.000]   house
[00:01:13.000 --> 00:01:13.840]  . [SPEAKER_TURN]
[00:01:13.840 --> 00:01:14.460]   Cool
[00:01:14.460 --> 00:01:15.040]  .
[00:01:15.040 --> 00:01:15.230]   So
[00:01:15.230 --> 00:01:15.690]   you
[00:01:15.690 --> 00:01:16.140]   get
[00:01:16.140 --> 00:01:17.780]   anything
[00:01:17.780 --> 00:01:18.470]   special
[00:01:18.470 --> 00:01:18.960]  ? [SPEAKER_TURN]
[00:01:20.080 --> 00:01:20.120]  
[00:01:20.120 --> 00:01:20.230]   Um
[00:01:20.230 --> 00:01:20.300]   I
[00:01:20.300 --> 00:01:20.500]   got
[00:01:20.500 --> 00:01:20.610]   a
[00:01:20.610 --> 00:01:20.740]   V
[00:01:20.740 --> 00:01:20.760]  _
[00:01:20.760 --> 00:01:20.810]  R
[00:01:20.810 --> 00:01:20.900]  _
[00:01:20.900 --> 00:01:21.420]   headset
[00:01:21.420 --> 00:01:21.650]  .
[00:01:21.650 --> 00:01:21.850]   Um
[00:01:21.850 --> 00:01:22.340]   you
[00:01:22.340 --> 00:01:22.570]   know
[00:01:22.570 --> 00:01:22.630]   you
[00:01:22.630 --> 00:01:22.880]   plug
[00:01:22.880 --> 00:01:23.460]   your
[00:01:23.460 --> 00:01:23.650]   iPhone
[00:01:23.650 --> 00:01:24.030]   into
[00:01:24.030 --> 00:01:24.110]   it
[00:01:24.110 --> 00:01:24.340]  .
[00:01:24.340 --> 00:01:24.410]   I
[00:01:24.410 --> 00:01:24.720]   mean
[00:01:24.720 --> 00:01:24.890]   I
[00:01:24.890 --> 00:01:24.940]  'm
[00:01:24.940 --> 00:01:25.390]   really
[00:01:25.390 --> 00:01:25.940]   excited
[00:01:25.940 --> 00:01:26.320]   about
[00:01:26.320 --> 00:01:26.390]   V
[00:01:26.390 --> 00:01:26.460]  _
