
[00:00:00.000 --> 00:00:00.000]  
[00:00:00.000 --> 00:00:01.030]  ced
[00:00:01.030 --> 00:00:07.600]  children
[00:00:07.600 --> 00:00:08.460]  )
[00:00:21.980 --> 00:00:21.980]  
[00:00:21.980 --> 00:00:22.410]   Welcome
[00:00:22.410 --> 00:00:22.530]   to
[00:00:22.530 --> 00:00:22.960]   episode
[00:00:22.960 --> 00:00:23.270]   three
[00:00:23.270 --> 00:00:23.700]   hundred
[00:00:23.700 --> 00:00:23.880]   and
[00:00:23.880 --> 00:00:24.250]   twenty
[00:00:24.250 --> 00:00:24.370]   of
[00:00:24.370 --> 00:00:24.610]   Text
[00:00:24.610 --> 00:00:24.790]  ing
[00:00:24.790 --> 00:00:25.180]   hosted
[00:00:25.180 --> 00:00:25.280]   by
[00:00:25.280 --> 00:00:25.650]   myself
[00:00:25.650 --> 00:00:26.010]   Justin
[00:00:26.010 --> 00:00:26.140]  ,
[00:00:26.140 --> 00:00:26.570]   Vincent
[00:00:26.570 --> 00:00:26.760]   and
[00:00:26.760 --> 00:00:27.060]   Jason
[00:00:27.060 --> 00:00:27.490]   Roberts
[00:00:27.490 --> 00:00:27.670]  .
[00:00:27.670 --> 00:00:27.790]   On
[00:00:27.790 --> 00:00:28.130]   today
[00:00:28.130 --> 00:00:28.220]  's
[00:00:28.220 --> 00:00:28.460]   show
[00:00:28.460 --> 00:00:28.580]   we
[00:00:28.580 --> 00:00:28.760]   are
[00:00:28.760 --> 00:00:28.880]   it
[00:00:28.880 --> 00:00:29.000]  's
[00:00:29.000 --> 00:00:29.240]   nine
[00:00:29.240 --> 00:00:29.610]   thirty
[00:00:29.610 --> 00:00:29.730]   in
[00:00:29.730 --> 00:00:29.940]   the
[00:00:29.940 --> 00:00:30.340]   morning
[00:00:30.340 --> 00:00:30.460]   we
[00:00:30.460 --> 00:00:30.640]  're
[00:00:30.640 --> 00:00:30.760]   in
[00:00:30.760 --> 00:00:31.070]   Jason
[00:00:31.070 --> 00:00:31.190]  's
[00:00:31.190 --> 00:00:31.450]   bat
[00:00:31.450 --> 00:00:31.670]   cave
[00:00:31.670 --> 00:00:31.790]   and
[00:00:31.790 --> 00:00:32.030]   um
[00:00:32.030 --> 00:00:32.030]   we
[00:00:32.030 --> 00:00:32.460]   haven
[00:00:32.460 --> 00:00:32.500]  't
[00:00:32.500 --> 00:00:32.700]   seen
[00:00:32.700 --> 00:00:32.880]   you
[00:00:32.880 --> 00:00:33.220]   guys
[00:00:33.220 --> 00:00:33.300]   for
[00:00:33.300 --> 00:00:33.360]   a
[00:00:33.360 --> 00:00:33.690]   while
[00:00:33.690 --> 00:00:34.600]  . [SPEAKER_TURN]
[00:00:34.800 --> 00:00:34.880]  
[00:00:34.880 --> 00:00:35.110]   Yeah
[00:00:35.110 --> 00:00:35.350]   so
[00:00:35.350 --> 00:00:35.370]   we
[00:00:35.370 --> 00:00:35.660]   got
[00:00:35.660 --> 00:00:35.730]   an
[00:00:35.730 --> 00:00:35.800]   e
[00:00:35.800 --> 00:00:35.870]   I
[00:00:35.870 --> 00:00:36.090]   got
[00:00:36.090 --> 00:00:36.230]   an
[00:00:36.230 --> 00:00:36.680]   email
[00:00:36.680 --> 00:00:36.740]   or
[00:00:36.740 --> 00:00:36.880]   we
[00:00:36.880 --> 00:00:37.120]   got
[00:00:37.120 --> 00:00:37.240]   an
[00:00:37.240 --> 00:00:37.610]   email
[00:00:37.610 --> 00:00:37.680]   I
[00:00:37.680 --> 00:00:38.110]   guess
[00:00:38.110 --> 00:00:38.340]   from
[00:00:38.340 --> 00:00:38.480]   uh
[00:00:38.480 --> 00:00:38.700]   Ken
[00:00:38.700 --> 00:00:38.770]   A
[00:00:38.770 --> 00:00:38.980]  _
[00:00:38.980 --> 00:00:39.000]   he
[00:00:39.000 --> 00:00:39.200]   one
[00:00:39.200 --> 00:00:39.340]   of
[00:00:39.340 --> 00:00:39.560]   our
[00:00:39.560 --> 00:00:40.220]   listeners
[00:00:40.220 --> 00:00:40.360]   he
[00:00:40.360 --> 00:00:40.680]   didn
[00:00:40.680 --> 00:00:40.790]  't
[00:00:40.790 --> 00:00:41.120]   have
[00:00:41.120 --> 00:00:41.220]   a
[00:00:41.220 --> 00:00:41.440]   last
[00:00:41.440 --> 00:00:41.730]   name
[00:00:41.730 --> 00:00:41.870]   on
[00:00:41.870 --> 00:00:42.080]   his
[00:00:42.080 --> 00:00:42.250]   on
[00:00:42.250 --> 00:00:42.450]   his
[00:00:42.450 --> 00:00:42.660]   email
[00:00:42.660 --> 00:00:43.040]   but
[00:00:43.040 --> 00:00:43.280]   uh
[00:00:43.280 --> 00:00:43.320]   he
[00:00:43.320 --> 00:00:43.460]   uh
