
[00:00:01.320 --> 00:00:00.560]   Welcome
[00:00:00.560 --> 00:00:01.100]   to
[00:00:01.100 --> 00:00:01.410]   episode
[00:00:01.410 --> 00:00:01.680]   three
[00:00:01.680 --> 00:00:02.240]   hundred
[00:00:02.240 --> 00:00:02.520]   and
[00:00:02.520 --> 00:00:02.960]   thirty
[00:00:02.960 --> 00:00:03.280]   four
[00:00:03.280 --> 00:00:03.460]   of
[00:00:03.460 --> 00:00:03.790]   Text
[00:00:03.790 --> 00:00:04.000]  ing
[00:00:04.000 --> 00:00:04.280]  .
[00:00:04.280 --> 00:00:04.400]   On
[00:00:04.400 --> 00:00:04.720]   today
[00:00:04.720 --> 00:00:05.050]  's
[00:00:05.050 --> 00:00:05.090]   show
[00:00:05.090 --> 00:00:05.170]   I
[00:00:05.170 --> 00:00:05.300]  'm
[00:00:05.300 --> 00:00:05.710]   talking
[00:00:05.710 --> 00:00:05.830]   to
[00:00:05.830 --> 00:00:06.080]   Adam
[00:00:06.080 --> 00:00:06.200]   W
[00:00:06.200 --> 00:00:06.330]  aff
[00:00:06.330 --> 00:00:06.450]  en
[00:00:06.450 --> 00:00:06.570]  ,
[00:00:06.570 --> 00:00:07.010]   creator
[00:00:07.010 --> 00:00:07.130]   of
[00:00:07.130 --> 00:00:07.560]   Tail
[00:00:07.560 --> 00:00:07.630]  wind
[00:00:07.630 --> 00:00:07.690]   C
[00:00:07.690 --> 00:00:07.750]  _
[00:00:07.750 --> 00:00:07.830]  S
[00:00:07.830 --> 00:00:07.870]  _
[00:00:07.870 --> 00:00:07.930]  S
[00:00:07.930 --> 00:00:08.320]  _.
[00:00:08.320 --> 00:00:08.490]   We
[00:00:08.490 --> 00:00:08.900]   start
[00:00:08.900 --> 00:00:09.160]   out
[00:00:09.160 --> 00:00:09.320]   by
[00:00:09.320 --> 00:00:10.220]   talking
[00:00:10.220 --> 00:00:10.380]   about
[00:00:10.380 --> 00:00:10.590]   how
[00:00:10.590 --> 00:00:11.350]   important
[00:00:11.350 --> 00:00:12.370]   distribution
[00:00:12.370 --> 00:00:12.540]   is
[00:00:12.540 --> 00:00:12.710]   to
[00:00:12.710 --> 00:00:12.950]   the
[00:00:12.950 --> 00:00:13.380]   indie
[00:00:13.380 --> 00:00:13.970]   founder
[00:00:13.970 --> 00:00:14.560]   journey
[00:00:14.560 --> 00:00:14.730]  ,
[00:00:14.730 --> 00:00:14.980]   not
[00:00:14.980 --> 00:00:15.320]   just
[00:00:15.320 --> 00:00:16.340]   distribution
[00:00:16.340 --> 00:00:16.510]   of
[00:00:16.510 --> 00:00:17.210]   product
[00:00:17.210 --> 00:00:17.270]  ,
[00:00:17.270 --> 00:00:18.070]   but
[00:00:18.070 --> 00:00:18.540]   distribution
[00:00:18.540 --> 00:00:18.710]   of
[00:00:18.710 --> 00:00:19.050]   your
[00:00:19.050 --> 00:00:19.470]   ideas
[00:00:19.470 --> 00:00:19.710]   and
[00:00:19.710 --> 00:00:20.280]   efforts
[00:00:20.280 --> 00:00:20.700]  .
[00:00:20.700 --> 00:00:20.880]   Then
[00:00:20.880 --> 00:00:20.980]   we
[00:00:20.980 --> 00:00:21.170]   talk
[00:00:21.170 --> 00:00:21.560]   about
[00:00:21.560 --> 00:00:21.610]   Adam
[00:00:21.610 --> 00:00:21.690]  's
[00:00:21.690 --> 00:00:22.060]   journey
[00:00:22.060 --> 00:00:22.250]   from
[00:00:22.250 --> 00:00:22.410]   zero
[00:00:22.410 --> 00:00:22.500]   to
[00:00:22.500 --> 00:00:22.640]   two
[00:00:22.640 --> 00:00:22.980]   million
[00:00:22.980 --> 00:00:23.240]  .
[00:00:23.240 --> 00:00:23.590]   And
[00:00:23.590 --> 00:00:24.180]   finally
[00:00:24.180 --> 00:00:24.380]   we
[00:00:24.380 --> 00:00:24.820]   talk
[00:00:24.820 --> 00:00:25.220]   about
[00:00:25.220 --> 00:00:25.780]   start
[00:00:25.780 --> 00:00:25.820]  -
[00:00:25.820 --> 00:00:25.960]  up
[00:00:25.960 --> 00:00:26.620]   lessons
[00:00:26.620 --> 00:00:27.280]   learned
[00:00:27.280 --> 00:00:27.980]   from
[00:00:27.980 --> 00:00:28.320]   playing
[00:00:28.320 --> 00:00:28.880]   guitar
[00:00:28.880 --> 00:00:29.130]   in
[00:00:29.130 --> 00:00:29.550]   death
[00:00:29.550 --> 00:00:30.030]   metal
[00:00:30.030 --> 00:00:30.480]   bands
[00:00:30.480 --> 00:00:30.840]  .
[00:00:30.920 --> 00:00:33.100]   Generations
[00:00:33.100 --> 00:00:34.330]   Heroes
[00:00:34.330 --> 00:00:34.740]  ,
[00:00:34.740 --> 00:00:37.000]   Generations
[00:00:37.000 --> 00:00:38.240]   Heroes
[00:00:38.240 --> 00:00:40.440]   Generations
[00:00:40.440 --> 00:00:41.640]   Heroes
[00:00:41.640 --> 00:00:42.040]  ,
[00:00:42.040 --> 00:00:44.240]   Generations
[00:00:44.240 --> 00:00:45.460]   Heroes
[00:00:45.460 --> 00:00:45.460]  
[00:00:45.460 --> 00:00:45.600]   so
[00:00:45.600 --> 00:00:45.880]   Adam
[00:00:45.880 --> 00:00:46.300]   thanks
[00:00:46.300 --> 00:00:46.450]  ,
[00:00:46.450 --> 00:00:46.590]   so
[00:00:46.590 --> 00:00:46.870]   much
[00:00:46.870 --> 00:00:47.080]   for
[00:00:47.080 --> 00:00:47.510]   coming
[00:00:47.510 --> 00:00:47.650]   on
[00:00:47.650 --> 00:00:47.860]   the
[00:00:47.860 --> 00:00:48.140]   show
[00:00:48.140 --> 00:00:48.280]   um
[00:00:48.280 --> 00:00:48.350]   I
[00:00:48.350 --> 00:00:48.780]   really
[00:00:48.780 --> 00:00:49.500]   appreciate
[00:00:49.500 --> 00:00:49.640]   it
[00:00:49.640 --> 00:00:49.850]  .
[00:00:49.850 --> 00:00:50.130]   This
[00:00:50.130 --> 00:00:50.270]   is
[00:00:50.270 --> 00:00:50.770]   another
[00:00:50.770 --> 00:00:51.000]   imp
[00:00:51.000 --> 00:00:51.420]  romptu
[00:00:51.420 --> 00:00:51.790]   kind
[00:00:51.790 --> 00:00:51.830]   of
[00:00:51.830 --> 00:00:52.330]   episode
[00:00:52.330 --> 00:00:52.510]   um
[00:00:52.510 --> 00:00:52.750]   like
[00:00:52.750 --> 00:00:52.960]   the
[00:00:52.960 --> 00:00:53.240]   last
[00:00:53.240 --> 00:00:53.740]   episode
[00:00:53.740 --> 00:00:54.040]   that
[00:00:54.040 --> 00:00:54.090]   I
[00:00:54.090 --> 00:00:54.380]   did
[00:00:54.380 --> 00:00:54.620]   with
[00:00:54.620 --> 00:00:55.100]   Justin
[00:00:55.100 --> 00:00:55.510]   Jackson
[00:00:55.510 --> 00:00:55.930]  .
[00:00:55.930 --> 00:00:56.060]   And
[00:00:56.060 --> 00:00:56.590]   um
[00:00:56.590 --> 00:00:56.650]   where
[00:00:56.650 --> 00:00:56.930]   this
[00:00:56.930 --> 00:00:57.440]   comes
[00:00:57.440 --> 00:00:57.690]   from
[00:00:57.690 --> 00:00:57.710]   is
[00:00:57.710 --> 00:00:57.780]   a
[00:00:57.780 --> 00:00:58.140]   tweet
[00:00:58.140 --> 00:00:58.420]   that
[00:00:58.420 --> 00:00:58.630]   you
[00:00:58.630 --> 00:00:58.770]   uh
[00:00:58.770 --> 00:00:59.300]   posted
[00:00:59.300 --> 00:00:59.340]   on
[00:00:59.340 --> 00:00:59.840]   Twitter
[00:00:59.840 --> 00:01:00.260]   that
[00:01:00.260 --> 00:01:00.260]   uh
[00:01:00.260 --> 00:01:00.540]   I
[00:01:00.540 --> 00:01:00.570]  'll
[00:01:00.570 --> 00:01:00.820]   read
[00:01:00.820 --> 00:01:00.960]   it
[00:01:00.960 --> 00:01:01.170]   and
[00:01:01.170 --> 00:01:01.460]   then
[00:01:01.460 --> 00:01:01.690]   you
[00:01:01.690 --> 00:01:01.950]   can
[00:01:01.950 --> 00:01:02.290]   tell
[00:01:02.290 --> 00:01:02.330]   us
[00:01:02.330 --> 00:01:02.360]   a
[00:01:02.360 --> 00:01:02.800]   little
[00:01:02.800 --> 00:01:03.000]   bit
[00:01:03.000 --> 00:01:03.280]   more
[00:01:03.280 --> 00:01:03.560]   what
[00:01:03.560 --> 00:01:03.820]   you
[00:01:03.820 --> 00:01:03.980]  're
[00:01:03.980 --> 00:01:04.550]   thinking
[00:01:04.550 --> 00:01:04.910]   about
[00:01:04.910 --> 00:01:05.050]   it
[00:01:05.050 --> 00:01:05.260]  .
[00:01:05.260 --> 00:01:05.470]   You
[00:01:05.470 --> 00:01:05.680]   say
[00:01:05.680 --> 00:01:06.080]   you
[00:01:06.080 --> 00:01:06.100]   say
[00:01:06.100 --> 00:01:07.020]   something
[00:01:07.020 --> 00:01:07.020]   that
[00:01:07.020 --> 00:01:07.410]  's
[00:01:07.410 --> 00:01:07.590]   become
[00:01:07.590 --> 00:01:07.950]   clear
[00:01:07.950 --> 00:01:08.090]   to
[00:01:08.090 --> 00:01:08.230]   me
[00:01:08.230 --> 00:01:08.410]   is
[00:01:08.410 --> 00:01:08.680]   that
[00:01:08.680 --> 00:01:09.570]   distribution
[00:01:09.570 --> 00:01:09.650]   is
[00:01:09.650 --> 00:01:10.220]   actually
[00:01:10.220 --> 00:01:10.420]   the
[00:01:10.420 --> 00:01:10.980]   biggest
[00:01:10.980 --> 00:01:11.290]   lever
